ENTIDAD,CL_VEHI,TIPO_VREC,ESTATUS,TT_VEHI
"01","1","1","","1349"
"01","1","2","","613"
"01","1","3","","9"
"01","1","4","","194"
"01","1","5","","7"
"01","2","1","","1604"
"01","2","2","2",""
"01","2","3","","15"
"01","2","4","","93"
"01","2","5","","15"
"02","1","1","","8757"
"02","1","2","","1128"
"02","1","3","","102"
"02","1","4","","303"
"02","1","5","","12006"
"02","2","1","","2740"
"02","2","2","","376"
"02","2","3","","40"
"02","2","4","","44"
"02","2","5","","5298"
"03","1","1","","631"
"03","1","2","","369"
"03","1","4","","40"
"03","2","1","","490"
"03","2","2","","260"
"03","2","4","","10"
"04","1","1","","48"
"04","1","2","","16"
"04","1","3","","9"
"04","1","4","","179"
"04","1","5","","3"
"04","2","1","","25"
"04","2","2","","5"
"04","2","4","","23"
"05","1","1","2",""
"05","1","2","2",""
"05","1","3","2",""
"05","1","4","2",""
"05","1","5","2",""
"05","1","9","","1888"
"05","2","1","2",""
"05","2","2","2",""
"05","2","3","2",""
"05","2","4","2",""
"05","2","5","2",""
"05","2","9","","1749"
"06","1","1","","548"
"06","1","2","","634"
"06","1","3","","56"
"06","1","4","","394"
"06","1","5","","38"
"06","2","1","","237"
"06","2","2","","217"
"06","2","3","","24"
"06","2","4","","53"
"06","2","5","","3"
"07","1","1","","771"
"07","1","2","","727"
"07","1","4","","280"
"07","2","1","","282"
"07","2","2","","163"
"07","2","4","","44"
"08","1","1","","10112"
"08","1","2","","10933"
"08","1","3","2",""
"08","1","4","","424"
"08","1","5","2",""
"08","2","1","","4971"
"08","2","2","","3811"
"08","2","3","2",""
"08","2","4","","167"
"08","2","5","2",""
"09","1","1","","15689"
"09","1","2","","1585"
"09","1","3","","230"
"09","1","4","","1658"
"09","1","5","","8"
"09","2","1","","6642"
"09","2","2","","500"
"09","2","3","","104"
"09","2","4","","266"
"09","2","5","","5"
"10","1","1","","2324"
"10","1","2","","955"
"10","1","4","","197"
"10","2","1","","825"
"10","2","2","","299"
"10","2","4","","20"
"11","1","1","","2266"
"11","1","2","","1979"
"11","1","3","","11"
"11","1","4","","1682"
"11","1","5","","1"
"11","2","1","","1748"
"11","2","2","","1223"
"11","2","3","","15"
"11","2","4","","955"
"11","2","5","","9"
"12","1","1","2",""
"12","1","2","2",""
"12","1","3","2",""
"12","1","4","2",""
"12","1","5","2",""
"12","1","9","","5792"
"12","2","1","2",""
"12","2","2","2",""
"12","2","3","2",""
"12","2","4","2",""
"12","2","5","2",""
"12","2","9","","2000"
"13","1","1","","1734"
"13","1","2","","515"
"13","1","3","","104"
"13","1","4","","189"
"13","1","5","","364"
"13","2","1","","419"
"13","2","2","","54"
"13","2","3","","58"
"13","2","4","","43"
"13","2","5","","1158"
"14","1","1","2",""
"14","1","2","2",""
"14","1","3","2",""
"14","1","4","2",""
"14","1","5","2",""
"14","1","9","2",""
