ENTIDAD,CL_VEHI,TIPO_VEH,ESTRUCTU,TT_VEHI,EST_TTVE
"14",1,5,2390,,2
"14",2,5,2390,,2
"15",1,5,2390,8740,
"15",2,5,2390,2885,
"16",1,5,2390,4569,
"16",2,5,2390,0,
"17",1,5,2390,0,
"17",2,5,2390,0,
"18",1,5,2390,59,
"18",2,5,2390,38,
"19",1,5,2390,0,
"19",2,5,2390,0,
"20",1,5,2390,493,
"20",2,5,2390,180,
"21",1,5,2390,23,
"21",2,5,2390,0,
"22",1,5,2390,56,
"22",2,5,2390,15,
"23",1,5,2390,0,
"23",2,5,2390,0,
"24",1,5,2390,147,
"24",2,5,2390,86,
"25",1,5,2390,277,
"25",2,5,2390,121,
"26",1,5,2390,1937,
"26",2,5,2390,615,
"27",1,5,2390,277,
"27",2,5,2390,33,
"28",1,5,2390,,2
"28",2,5,2390,,2
"29",1,5,2390,103,
"29",2,5,2390,295,
"30",1,5,2390,,2
"30",2,5,2390,,2
"31",1,5,2390,0,
"31",2,5,2390,0,
"32",1,5,2390,83,
"32",2,5,2390,43,
"06",1,9,2390,1355,
"06",2,9,2390,776,
"14",1,9,2390,9893,
"14",2,9,2390,4631,
"28",1,9,2390,6065,
"28",2,9,2390,2721,
"30",1,9,2390,6867,
"01",1,1,2390,917,
"01",2,1,2390,1071,
"02",1,1,2390,4595,
"02",2,1,2390,3714,
"03",1,1,2390,848,
"03",2,1,2390,735,
"04",1,1,2390,41,
"04",2,1,2390,19,
"05",1,1,2390,1414,
"05",2,1,2390,748,
"06",1,1,2390,,2
"06",2,1,2390,,2
"07",1,1,2390,678,
"07",2,1,2390,213,
"08",1,1,2390,4046,
"08",2,1,2390,2551,
"09",1,1,2390,13553,
"09",2,1,2390,5050,
"10",1,1,2390,1810,
"10",2,1,2390,894,
"11",1,1,2390,1671,
"11",2,1,2390,1415,
"12",1,1,2390,2764,
"12",2,1,2390,1154,
"13",1,1,2390,1531,
"13",2,1,2390,1251,
"14",1,1,2390,,2
"14",2,1,2390,,2
"15",1,1,2390,33017,
"15",2,1,2390,8409,
"16",1,1,2390,1102,
"16",2,1,2390,1197,
"17",1,1,2390,2789,
"17",2,1,2390,998,
"18",1,1,2390,179,
"18",2,1,2390,127,
"19",1,1,2390,2339,
"19",2,1,2390,2463,
"20",1,1,2390,546,
"20",2,1,2390,446,
"21",1,1,2390,1929,
"21",2,1,2390,1236,
"22",1,1,2390,1530,
"22",2,1,2390,1209,
"23",1,1,2390,682,
"23",2,1,2390,147,
"24",1,1,2390,256,
"24",2,1,2390,568,
"25",1,1,2390,2566,
"25",2,1,2390,1222,
"26",1,1,2390,1541,
"26",2,1,2390,736,
"27",1,1,2390,460,
"27",2,1,2390,226,
"28",1,1,2390,,2
"28",2,1,2390,,2
"29",1,1,2390,445,
"29",2,1,2390,131,
"30",1,1,2390,,2
"30",2,1,2390,,2
"31",1,1,2390,182,
"31",2,1,2390,75,
"32",1,1,2390,1244,
"32",2,1,2390,702,
"01",1,2,2390,572,
"01",2,2,2390,348,
"02",1,2,2390,3410,
"02",2,2,2390,1870,
"03",1,2,2390,196,
"03",2,2,2390,144,
"04",1,2,2390,22,
"04",2,2,2390,5,
"05",1,2,2390,1264,
"05",2,2,2390,496,
"06",1,2,2390,,2
"06",2,2,2390,,2
"07",1,2,2390,610,
"07",2,2,2390,149,
"08",1,2,2390,4631,
"08",2,2,2390,2071,
"09",1,2,2390,1984,
"09",2,2,2390,493,
"10",1,2,2390,797,
"10",2,2,2390,439,
"11",1,2,2390,2386,
