ENTIDAD,CL_VEHI,tipo_veh,estructu,TT_VEHI,est_ttve
1,1,1,20904600,1175,
1,1,2,20904600,467,
1,1,3,20904600,0,
1,1,4,20904600,351,
1,1,5,20904600,0,
1,2,1,20904600,,2
1,2,2,20904600,,2
1,2,3,20904600,,2
1,2,4,20904600,,2
1,2,5,20904600,,2
1,2,9,20904600,1387,
2,1,1,20904600,6208,
2,1,2,20904600,4389,
2,1,3,20904600,99,
2,1,4,20904600,379,
2,1,5,20904600,2565,
2,2,1,20904600,2666,
2,2,2,20904600,1578,
2,2,3,20904600,40,
2,2,4,20904600,66,
2,2,5,20904600,697,
3,1,1,20904600,710,
3,1,2,20904600,185,
3,1,3,20904600,3,
3,1,4,20904600,103,
3,1,5,20904600,1,
3,2,1,20904600,612,
3,2,2,20904600,159,
3,2,3,20904600,3,
3,2,4,20904600,43,
3,2,5,20904600,1,
4,1,1,20904600,51,
4,1,2,20904600,22,
4,1,3,20904600,0,
4,1,4,20904600,280,
4,1,5,20904600,0,
4,2,1,20904600,35,
4,2,2,20904600,4,
4,2,3,20904600,0,
4,2,4,20904600,35,
4,2,5,20904600,0,
5,1,1,20904600,828,
5,1,2,20904600,571,
5,1,3,20904600,44,
5,1,4,20904600,2,
5,1,5,20904600,8,
5,2,1,20904600,279,
5,2,2,20904600,150,
5,2,3,20904600,11,
5,2,4,20904600,0,
5,2,5,20904600,0,
6,1,1,20904600,205,
6,1,2,20904600,190,
6,1,3,20904600,25,
6,1,4,20904600,304,
6,1,5,20904600,9,
6,2,1,20904600,376,
6,2,2,20904600,221,
6,2,3,20904600,20,
6,2,4,20904600,72,
6,2,5,20904600,2,
7,1,1,20904600,935,
7,1,2,20904600,420,
7,1,3,20904600,28,
7,1,4,20904600,602,
7,1,5,20904600,314,
7,2,1,20904600,155,
7,2,2,20904600,54,
7,2,3,20904600,13,
7,2,4,20904600,35,
7,2,5,20904600,81,
8,1,1,20904600,2091,
8,1,2,20904600,1684,
8,1,3,20904600,20,
8,1,4,20904600,431,
8,1,5,20904600,1363,
8,2,1,20904600,1815,
8,2,2,20904600,1192,
8,2,3,20904600,20,
8,2,4,20904600,363,
8,2,5,20904600,439,
9,1,1,20904600,9143,
9,1,2,20904600,1304,
9,1,3,20904600,158,
9,1,4,20904600,2004,
9,1,5,20904600,6,
9,2,1,20904600,2858,
9,2,2,20904600,346,
9,2,3,20904600,73,
9,2,4,20904600,225,
9,2,5,20904600,2,
10,1,1,20904600,833,
10,1,2,20904600,530,
10,1,3,20904600,17,
10,1,4,20904600,121,
10,1,5,20904600,3,
10,2,1,20904600,510,
