entidad,vicfuett,vicfue1,vicfue2,vicfue3,vicfue4,vicfue5,vicfue6,vicfue7,vicfue8,vicfue9,vicfue10,vicfue11,vicfue12,vicfue13,vicfue14,vicfue15,vicfue16,vicfue17,vicfue18
"01","24469","5120","3236","15","535","513","0","0","0","154","7265","5170","14","313","463","0","0","0","1671"
"02","112528","12558","10145","1757","1962","658","500","0","663","111","36604","31311","1583","305","102","80","0","2249","11940"
"03","25448","2193","2152","108","4","104","0","0","0","548","9864","8855","0","37","356","30","0","0","1197"
"04","1870","148","142","5","9","7","7","0","0","0","833","597","1","43","67","11","0","0","0"
"05","53093","1832","1317","38","450","508","125","0","NSS","295","16095","17971","82","1925","7397","2122","0","NSS","2936"
"06","10877","728","312","331","32","450","582","0","0","0","1440","621","576","3","4184","1618","0","0","0"
"07","33289","1005","874","106","32","43","13","9","0","0","16593","10149","2892","876","469","118","110","0","0"
"08","75733","NA","NA","NA","NA","NA","NA","NA","NA","NA","31126","34181","1","4989","5400","14","22","0","0"
"09","179720","17612","12471","433","3587","NSS","NSS","NSS","NSS","6412","59724","47161","754","14571","NSS","NSS","NSS","NSS","16995"
"10","32390","333","64","0","0","2","0","0","0","0","16662","14350","0","335","633","11","0","0","0"
"11","116945","7687","5531","34","NSS","NSS","NSS","NSS","NSS","1690","47963","40974","718","NSS","NSS","NSS","NSS","NSS","12348"
"12","26973","2844","1748","1582","331","253","1","13","0","1471","7165","4314","3937","936","170","19","129","80","1980"
"13","37492","1511","985","249","34","5","78","0","0","0","19000","14025","251","909","19","426","0","0","0"
"14","106709","6392","8485","14370","1791","47","206","2322","0","2898","19992","17146","26428","2000","33","250","2468","0","1881"
"15","222025","NA","NA","NA","NA","NA","NA","NA","NA","NA","151474","69654","659","67","77","94","0","0","0"
"16","36645","NSS","NSS","781","NSS","NSS","NSS","NSS","NSS","1855","NSS","9","9434","NSS","NSS","NSS","NSS","NSS","24566"
"17","32181","NA","NA","NA","NA","NA","NA","NA","NA","NA","NSS","10","NSS","NSS","NSS","NSS","0","0","NSS"
"18","4200","1127","976","33","NSS","NSS","NSS","NSS","NSS","218","675","761","47","NSS","NSS","NSS","NSS","NSS","363"
"19","96404","151","83","0","5","0","0","2","0","0","48385","47019","0","505","0","0","254","0","0"
"20","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21","51536","12692","9440","193","NSS","392","NSS","NSS","NSS","680","16468","10584","81","NSS","261","NSS","NSS","NSS","745"
"22","59792","7698","5495","2157","2563","69","113","0","12","0","21567","13613","601","5473","146","262","0","23","0"
"23","18421","908","957","NSS","NSS","NSS","NSS","NSS","NSS","156","7416","5880","0","1501","1122","481","0","0","0"
"24","28503","1935","1963","899","0","181","NSS","NSS","50","0","7986","7975","7419","0","95","0","0","0","0"
"25","26227","3998","2782","263","1244","151","0","307","0","12","8423","6131","507","1978","324","10","96","0","1"
"26","46426","5331","6181","2594","2247","NSS","NSS","NSS","NSS","402","16695","12125","7","844","0","0","0","0","0"
"27","104158","11230","6233","1265","43","497","42","NSS","2","0","52823","29503","2339","0","98","5","NSS","78","0"
"28","51273","6932","4188","55","355","731","72","76","NSS","419","16284","18194","728","243","78","75","133","NSS","2710"
"29","6550","1583","801","284","471","0","0","0","0","0","1555","759","567","528","2","0","0","0","0"
"30","56730","4584","3275","0","579","0","0","0","0","476","24535","17515","0","2510","0","0","0","0","3256"
"31","34344","NA","NA","NA","NA","NA","NA","NA","NA","NA","21736","12608","0","NSS","NSS","NSS","0","0","0"
"32","18840","312","176","0","NSS","NSS","NSS","NSS","NSS","58","9991","6702","53","NSS","NSS","NSS","NSS","NSS","1548"
