ENTIDAD,ORDDETCO,ORDECOTT,ORDECO1,ORDECO2,ORDECO3
1,1,13,11,0,2
1,2,0,0,0,0
2,1,NSS,NSS,NSS,NSS
2,2,NSS,NSS,NSS,NSS
3,1,7,5,2,0
3,2,0,0,0,0
4,1,0,0,0,0
4,2,10,10,0,0
5,1,13,10,3,0
5,2,10,7,3,0
7,1,NSS,NSS,NSS,NSS
7,2,NSS,NSS,NSS,NSS
8,1,0,0,0,0
8,2,46,46,0,0
9,1,0,0,0,0
9,2,0,0,0,0
10,1,0,0,0,0
10,2,62,62,0,0
11,1,110,68,23,19
11,2,1,1,0,0
12,1,0,0,0,0
12,2,11,8,2,1
13,1,0,0,0,0
13,2,1,0,0,1
14,1,282,186,96,0
14,2,0,0,0,0
15,1,NSS,NSS,NSS,NSS
15,2,NSS,NSS,NSS,NSS
16,1,NSS,NSS,NSS,NSS
16,2,NSS,NSS,NSS,NSS
17,1,0,0,0,0
17,2,15,12,3,0
18,1,28,22,6,0
18,2,4,4,0,0
19,1,0,0,0,0
19,2,23,23,0,0
20,1,0,0,0,0
20,2,14,14,0,0
21,1,NSS,NSS,NSS,NSS
21,2,NSS,NSS,NSS,NSS
22,1,0,0,0,0
22,2,10,10,0,0
23,1,0,0,0,0
23,2,3,3,0,0
24,1,4,3,1,0
24,2,1,1,0,0
25,1,0,0,0,0
25,2,4,0,2,2
26,1,48,38,10,0
26,2,5,5,0,0
27,1,0,0,0,0
27,2,3,3,0,0
28,1,78,23,55,0
28,2,0,0,0,0
29,1,4,3,1,0
29,2,0,0,0,0
30,1,NSS,NSS,NSS,NSS
30,2,NSS,NSS,NSS,NSS
31,1,0,0,0,0
31,2,19,19,0,0
32,1,0,0,0,0
32,2,0,0,0,0
