ENTIDAD,ORDDETPE,TOTALCA1
1,1,2
1,2,0
1,3,2
1,9,
2,1,NSS
2,2,NSS
2,3,NSS
2,9,
3,1,12
3,2,0
3,3,12
3,9,
4,1,0
4,2,5
4,3,5
4,9,
5,1,22
5,2,0
5,3,22
5,9,
7,1,0
7,2,1
7,3,1
7,9,
8,1,0
8,2,18
8,3,18
8,9,
9,1,0
9,2,0
9,3,0
9,9,
10,1,0
10,2,30
10,3,30
10,9,
11,1,67
11,2,0
11,3,67
11,9,
12,1,0
12,2,20
12,3,20
12,9,
13,1,0
13,2,1
13,3,1
13,9,
14,1,NSS
14,2,0
14,3,NSS
14,9,
15,1,NSS
15,2,NSS
15,3,NSS
15,9,
16,1,NSS
16,2,NSS
16,3,NSS
16,9,
17,1,0
17,2,7
17,3,7
17,9,
18,1,189
18,2,0
18,3,189
18,9,
19,1,0
19,2,9
19,3,9
19,9,
20,1,0
20,2,34
20,3,34
20,9,
21,1,NSS
21,2,NSS
21,3,NSS
21,9,
22,1,0
22,2,1
22,3,1
22,9,
23,1,0
23,2,0
23,3,0
23,9,
24,1,0
24,2,0
24,3,0
24,9,
25,1,0
25,2,76
25,3,76
25,9,
26,1,NSS
26,2,NSS
26,3,NSS
26,9,
27,1,0
27,2,0
27,3,0
27,9,
28,1,NSS
28,2,NSS
28,3,81
28,9,81
29,1,26
29,2,0
29,3,26
29,9,
30,1,NSS
30,2,NSS
30,3,NSS
30,9,
31,1,0
31,2,12
31,3,12
31,9,
32,1,0
32,2,39
32,3,39
32,9,
