ENTIDAD,ORDGIRAD,TOTALCA1
1,1,13
1,2,0
1,3,13
1,9,
2,1,NSS
2,2,NSS
2,3,NSS
2,9,
3,1,12
3,2,0
3,3,12
3,9,
4,1,0
4,2,5
4,3,5
4,9,
5,1,7
5,2,10
5,3,17
5,9,
7,1,0
7,2,1
7,3,1
7,9,
8,1,0
8,2,57
8,3,57
8,9,
9,1,0
9,2,0
9,3,0
9,9,
10,1,0
10,2,42
10,3,42
10,9,
11,1,68
11,2,2
11,3,70
11,9,
12,1,0
12,2,14
12,3,14
12,9,
13,1,0
13,2,1
13,3,1
13,9,
14,1,431
14,2,0
14,3,431
14,9,
15,1,NSS
15,2,NSS
15,3,NSS
15,9,
16,1,NSS
16,2,NSS
16,3,NSS
16,9,
17,1,0
17,2,15
17,3,15
17,9,
18,1,56
18,2,4
18,3,60
18,9,
19,1,0
19,2,29
19,3,29
19,9,
20,1,0
20,2,18
20,3,18
20,9,
21,1,NSS
21,2,NSS
21,3,NSS
21,9,
22,1,0
22,2,10
22,3,10
22,9,
23,1,0
23,2,6
23,3,6
23,9,
24,1,5
24,2,1
24,3,6
24,9,
25,1,0
25,2,3
25,3,3
25,9,
26,1,49
26,2,5
26,3,54
26,9,
27,1,0
27,2,3
27,3,3
27,9,
28,1,89
28,2,0
28,3,89
28,9,
29,1,17
29,2,0
29,3,17
29,9,
30,1,NSS
30,2,NSS
30,3,NSS
30,9,
31,1,0
31,2,9
31,3,9
31,9,
32,1,0
32,2,17
32,3,17
32,9,
