ENTIDAD,ORPENDIE,TOTALCA1
1,1,2
1,2,0
1,3,2
1,9,
2,1,NSS
2,2,NSS
2,3,NSS
2,9,
3,1,17
3,2,0
3,3,17
3,9,
4,1,0
4,2,0
4,3,0
4,9,
5,1,16
5,2,0
5,3,16
5,9,
7,1,NSS
7,2,NSS
7,3,NSS
7,9,
8,1,0
8,2,29
8,3,29
8,9,
9,1,0
9,2,0
9,3,0
9,9,
10,1,0
10,2,10
10,3,10
10,9,
11,1,25
11,2,1
11,3,26
11,9,
12,1,0
12,2,23
12,3,23
12,9,
13,1,0
13,2,1
13,3,1
13,9,
14,1,NSS
14,2,0
14,3,NSS
14,9,
15,1,NSS
15,2,NSS
15,3,NSS
15,9,
16,1,NSS
16,2,NSS
16,3,NSS
16,9,
17,1,0
17,2,7
17,3,7
17,9,
18,1,217
18,2,0
18,3,217
18,9,
19,1,0
19,2,15
19,3,15
19,9,
20,1,0
20,2,38
20,3,38
20,9,
21,1,NSS
21,2,NSS
21,3,NSS
21,9,
22,1,0
22,2,1
22,3,1
22,9,
23,1,0
23,2,3
23,3,3
23,9,
24,1,1
24,2,0
24,3,1
24,9,
25,1,0
25,2,75
25,3,75
25,9,
26,1,1
26,2,0
26,3,1
26,9,
27,1,0
27,2,0
27,3,0
27,9,
28,1,92
28,2,0
28,3,92
28,9,
29,1,39
29,2,0
29,3,39
29,9,
30,1,NSS
30,2,NSS
30,3,NSS
30,9,
31,1,0
31,2,2
31,3,2
31,9,
32,1,0
32,2,56
32,3,56
32,9,
