entidad,vic_deli,vicfuett,vicfue1,vicfue2,vicfue3,vicfue4,vicfue5,vicfue6,vicfue7,vicfue8,vicfue9,vicfue10,vicfue11,vicfue12,vicfue13,vicfue14,vicfue15,vicfue16,vicfue17,vicfue18,vicfuene
"01",1,"24469","5120","3236","15","535","513","0","0","0","154","7265","5170","14","313","463","0","0","0","1671",""
"01",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01",9,"","","","","","","","","","","","","","","","","","","",""
"02",1,"112528","12558","10145","1757","1962","658","500","0","663","111","36604","31311","1583","305","102","80","0","2249","11940",""
"02",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"02",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"02",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"02",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"02",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"02",9,"","","","","","","","","","","","","","","","","","","",""
"03",1,"24595","2141","2114","84","4","104","0","0","0","658","9440","8482","0","35","356","30","0","0","1147",""
"03",2,"461","23","16","12","0","0","0","0","0","2","200","182","0","1","0","0","0","0","25",""
"03",3,"15","2","2","0","0","0","0","0","0","0","8","3","0","0","0","0","0","0","0",""
"03",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"03",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
