entidad,ocupacio,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"01",1,"NSS","NSS","NSS","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"NSS","NSS","NSS","NSS","NSS"
"01",9,"NSS","NSS","NSS","NSS","NSS"
"01",10,"NSS","NSS","NSS","NSS","NSS"
"01",11,"20791","5120","3236","7265","5170"
"02",1,"989","96","89","457","347"
"02",2,"9074","1099","612","4751","2612"
"02",3,"1191","48","143","326","674"
"02",4,"8976","1130","888","4124","2834"
"02",5,"2497","333","110","1262","792"
"02",6,"676","84","7","546","39"
"02",7,"2547","549","37","1845","116"
"02",8,"3299","542","96","2049","612"
"02",9,"959","54","45","544","316"
"02",10,"17226","935","2879","3344","10068"
"02",11,"43184","7688","5239","17356","12901"
"03",1,"103","47","56","NSS","NSS"
"03",2,"272","72","200","NSS","NSS"
"03",3,"56","8","48","NSS","NSS"
"03",4,"280","59","221","NSS","NSS"
"03",5,"77","28","49","NSS","NSS"
"03",6,"10","7","3","NSS","NSS"
"03",7,"35","21","14","NSS","NSS"
"03",8,"10","8","2","NSS","NSS"
"03",9,"673","37","636","NSS","NSS"
"03",10,"715","16","699","NSS","NSS"
"03",11,"20382","1863","204","9648","8667"
"04",1,"11","3","0","5","3"
"04",2,"122","30","15","49","28"
"04",3,"22","9","1","7","5"
"04",4,"127","26","21","30","50"
"04",5,"13","1","2","8","2"
"04",6,"62","35","6","19","2"
"04",7,"5","1","2","0","2"
"04",8,"20","8","0","12","0"
"04",9,"209","0","0","150","59"
"04",10,"619","5","35","225","354"
"04",11,"510","30","60","328","92"
"05",1,"366","5","6","121","234"
"05",2,"6223","562","128","3177","2356"
"05",3,"1156","467","260","4","425"
"05",4,"4528","356","678","2340","1154"
"05",5,"496","78","12","345","61"
"05",6,"641","45","0","471","125"
"05",7,"955","78","0","788","89"
"05",8,"10781","151","23","7234","3373"
"05",9,"569","56","6","162","345"
"05",10,"6064","2","204","567","5291"
"05",11,"5436","32","0","886","4518"
"06",1,"NSS","NSS","NSS","NSS","NSS"
"06",2,"NSS","NSS","NSS","NSS","NSS"
"06",3,"NSS","NSS","NSS","NSS","NSS"
"06",4,"NSS","NSS","NSS","NSS","NSS"
"06",5,"NSS","NSS","NSS","NSS","NSS"
"06",6,"NSS","NSS","NSS","NSS","NSS"
"06",7,"NSS","NSS","NSS","NSS","NSS"
"06",8,"NSS","NSS","NSS","NSS","NSS"
"06",9,"NSS","NSS","NSS","NSS","NSS"
"06",10,"NSS","NSS","NSS","NSS","NSS"
"06",11,"3101","728","312","1440","621"
"07",1,"737","19","6","479","233"
"07",2,"4540","181","188","2383","1788"
"07",3,"110","1","2","66","41"
"07",4,"3440","90","46","1868","1436"
"07",5,"2742","18","1","2461","262"
"07",6,"1744","183","6","1507","48"
"07",7,"78","5","2","62","9"
"07",8,"863","35","3","779","46"
"07",9,"8106","165","462","3018","4461"
"07",10,"1117","26","19","907","165"
"07",11,"1706","204","102","947","453"
"08",1,"NSS","NA","NA","NSS","NSS"
"08",2,"NSS","NA","NA","NSS","NSS"
"08",3,"NSS","NA","NA","NSS","NSS"
"08",4,"NSS","NA","NA","NSS","NSS"
"08",5,"NSS","NA","NA","NSS","NSS"
"08",6,"NSS","NA","NA","NSS","NSS"
"08",7,"NSS","NA","NA","NSS","NSS"
"08",8,"NSS","NA","NA","NSS","NSS"
"08",9,"NSS","NA","NA","NSS","NSS"
"08",10,"NSS","NA","NA","NSS","NSS"
"08",11,"65307","NA","NA","31126","34181"
"09",1,"NSS","NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS","NSS"
"09",4,"NSS","NSS","NSS","NSS","NSS"
"09",5,"NSS","NSS","NSS","NSS","NSS"
"09",6,"NSS","NSS","NSS","NSS","NSS"
"09",7,"NSS","NSS","NSS","NSS","NSS"
"09",8,"NSS","NSS","NSS","NSS","NSS"
"09",9,"NSS","NSS","NSS","NSS","NSS"
"09",10,"NSS","NSS","NSS","NSS","NSS"
"09",11,"136968","17612","12471","59724","47161"
"10",1,"1071","0","0","739","332"
"10",2,"4432","0","0","2366","2066"
"10",3,"4170","0","0","1881","2289"
"10",4,"4804","87","0","2376","2341"
"10",5,"3060","4","0","1849","1207"
"10",6,"3585","112","0","2107","1366"
"10",7,"1158","0","0","725","433"
"10",8,"2353","25","0","1522","806"
"10",9,"1362","0","0","556","806"
"10",10,"5414","105","64","2541","2704"
"10",11,"0","0","0","0","0"
"11",1,"599","17","22","324","236"
"11",2,"9371","684","390","5038","3259"
"11",3,"331","23","18","166","124"
"11",4,"9823","601","329","5316","3577"
"11",5,"504","49","5","363","87"
"11",6,"947","32","5","874","36"
"11",7,"584","50","2","495","37"
"11",8,"1603","137","2","1435","29"
"11",9,"53361","1912","1814","23148","26487"
"11",10,"2588","95","71","1492","930"
"11",11,"20262","3852","2715","8163","5532"
"12",1,"143","18","10","90","25"
"12",2,"1409","198","138","693","380"
"12",3,"1374","300","231","458","385"
"12",4,"2462","351","294","1021","796"
"12",5,"1108","236","107","460","305"
"12",6,"1196","177","84","659","276"
"12",7,"451","65","33","215","138"
"12",8,"678","197","4","459","18"
"12",9,"1255","195","167","546","347"
"12",10,"2157","129","347","970","711"
"12",11,"3838","978","333","1594","933"
"13",1,"899","11","9","579","300"
"13",2,"2584","28","15","1501","1040"
"13",3,"3145","315","111","2327","392"
"13",4,"3771","105","39","2320","1307"
"13",5,"1212","28","5","960","219"
"13",6,"1131","78","5","991","57"
"13",7,"57","2","0","26","29"
"13",8,"1684","5","2","1582","95"
"13",9,"5410","75","298","1663","3374"
"13",10,"3535","534","284","1482","1235"
"13",11,"4636","330","217","1120","2969"
"14",1,"43","11","1","26","5"
"14",2,"417","141","139","77","60"
"14",3,"1851","567","544","466","274"
"14",4,"739","221","195","239","84"
"14",5,"0","0","0","0","0"
"14",6,"457","125","0","331","1"
"14",7,"0","0","0","0","0"
"14",8,"16","0","0","16","0"
"14",9,"298","79","42","144","33"
"14",10,"5107","1160","2446","430","1071"
"14",11,"43087","4088","5118","18263","15618"
"15",1,"1111","NA","NA","799","312"
"15",2,"17560","NA","NA","11198","6362"
"15",3,"19974","NA","NA","13056","6918"
"15",4,"43692","NA","NA","30012","13680"
"15",5,"7282","NA","NA","4029","3253"
"15",6,"1853","NA","NA","1086","767"
"15",7,"287","NA","NA","143","144"
"15",8,"10377","NA","NA","8959","1418"
"15",9,"30369","NA","NA","23378","6991"
"15",10,"17492","NA","NA","9107","8385"
"15",11,"71131","NA","NA","49707","21424"
"16",1,"NSS","NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS"
"16",7,"NSS","NSS","NSS","NSS","NSS"
"16",8,"NSS","NSS","NSS","NSS","NSS"
"16",9,"NSS","NSS","NSS","NSS","NSS"
"16",10,"NSS","NSS","NSS","NSS","NSS"
"16",11,"9","NSS","NSS","NSS","9"
"17",1,"NSS","NA","NA","NSS","NSS"
"17",2,"NSS","NA","NA","NSS","NSS"
"17",3,"NSS","NA","NA","NSS","NSS"
"17",4,"NSS","NA","NA","NSS","NSS"
"17",5,"NSS","NA","NA","NSS","NSS"
"17",6,"NSS","NA","NA","NSS","NSS"
"17",7,"NSS","NA","NA","NSS","NSS"
"17",8,"NSS","NA","NA","NSS","NSS"
"17",9,"NSS","NA","NA","NSS","NSS"
"17",10,"NSS","NA","NA","NSS","NSS"
"17",11,"10","NA","NA","NSS","10"
"18",1,"NSS","NSS","NSS","NSS","NSS"
"18",2,"NSS","NSS","NSS","NSS","NSS"
"18",3,"NSS","NSS","NSS","NSS","NSS"
"18",4,"NSS","NSS","NSS","NSS","NSS"
"18",5,"NSS","NSS","NSS","NSS","NSS"
"18",6,"NSS","NSS","NSS","NSS","NSS"
"18",7,"NSS","NSS","NSS","NSS","NSS"
"18",8,"NSS","NSS","NSS","NSS","NSS"
"18",9,"NSS","NSS","NSS","NSS","NSS"
"18",10,"NSS","NSS","NSS","NSS","NSS"
"18",11,"3539","1127","976","675","761"
"19",1,"49","0","0","34","15"
"19",2,"7393","31","9","4600","2753"
"19",3,"197","0","0","4","193"
"19",4,"33899","66","31","19466","14336"
"19",5,"21710","6","19","4327","17358"
"19",6,"294","2","0","286","6"
"19",7,"902","3","0","886","13"
"19",8,"3570","8","0","2824","738"
"19",9,"230","5","0","207","18"
"19",10,"22722","30","24","12214","10454"
"19",11,"0","0","0","0","0"
"20",1,"NSS","NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS","NSS","NSS"
"20",4,"NSS","NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS","NSS"
"20",7,"NSS","NSS","NSS","NSS","NSS"
"20",8,"NSS","NSS","NSS","NSS","NSS"
"20",9,"NSS","NSS","NSS","NSS","NSS"
"20",10,"NSS","NSS","NSS","NSS","NSS"
"20",11,"NSS","NSS","NSS","NSS","NSS"
"21",1,"879","394","149","265","71"
"21",2,"5741","1725","1053","1776","1187"
"21",3,"338","80","174","28","56"
"21",4,"5847","1884","1031","2019","913"
"21",5,"664","269","150","191","54"
"21",6,"784","623","55","34","72"
"21",7,"462","419","6","32","5"
"21",8,"6311","4559","70","1670","12"
"21",9,"8730","174","2303","4453","1800"
"21",10,"9815","1112","3616","880","4207"
"21",11,"9613","1453","833","5120","2207"
"22",1,"NSS","NSS","NSS","NSS","NSS"
"22",2,"2822","577","250","1302","693"
"22",3,"12482","2204","1349","5726","3203"
"22",4,"4028","808","473","1696","1051"
"22",5,"5","0","1","1","3"
"22",6,"576","98","3","449","26"
"22",7,"539","120","4","405","10"
"22",8,"1095","208","67","625","195"
"22",9,"3280","27","1044","57","2152"
"22",10,"2995","558","550","1041","846"
"22",11,"18009","2549","1357","9294","4809"
"23",1,"632","35","15","350","232"
"23",2,"2817","211","122","1613","871"
"23",3,"1464","49","40","340","1035"
"23",4,"2296","105","89","857","1245"
"23",5,"2220","63","32","1138","987"
"23",6,"428","48","15","100","265"
"23",7,"60","9","NSS","34","17"
"23",8,"1608","189","19","1040","360"
"23",9,"1883","41","385","967","490"
"23",10,"1547","158","240","849","300"
"23",11,"206","NSS","NSS","128","78"
"24",1,"NSS","NSS","NSS","NSS","NSS"
"24",2,"NSS","NSS","NSS","NSS","NSS"
"24",3,"NSS","NSS","NSS","NSS","NSS"
"24",4,"NSS","NSS","NSS","NSS","NSS"
"24",5,"NSS","NSS","NSS","NSS","NSS"
"24",6,"NSS","NSS","NSS","NSS","NSS"
"24",7,"NSS","NSS","NSS","NSS","NSS"
"24",8,"NSS","NSS","NSS","NSS","NSS"
"24",9,"NSS","NSS","NSS","NSS","NSS"
"24",10,"NSS","NSS","NSS","NSS","NSS"
"24",11,"19859","1935","1963","7986","7975"
"25",1,"498","120","23","273","82"
"25",2,"4429","813","710","1553","1353"
"25",3,"58","9","9","22","18"
"25",4,"1800","411","160","808","421"
"25",5,"45","9","0","34","2"
"25",6,"865","177","9","650","29"
"25",7,"10","1","0","7","2"
"25",8,"380","107","7","249","17"
"25",9,"8936","1267","1324","3234","3111"
"25",10,"2471","836","321","913","401"
"25",11,"496","25","9","393","69"
"26",1,"454","153","59","188","54"
"26",2,"2140","355","262","986","537"
"26",3,"142","21","52","24","45"
