entidad,relvicti,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"01",1,"NSS","NSS","NSS","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"NSS","NSS","NSS","NSS","NSS"
"01",4,"NSS","NSS","NSS","NSS","NSS"
"01",5,"NSS","NSS","NSS","NSS","NSS"
"01",6,"NSS","NSS","NSS","NSS","NSS"
"01",7,"NSS","NSS","NSS","NSS","NSS"
"01",8,"NSS","NSS","NSS","NSS","NSS"
"01",9,"NSS","NSS","NSS","NSS","NSS"
"01",10,"20791","5120","3236","7265","5170"
"02",1,"NSS","NSS","NSS","NSS","NSS"
"02",2,"NSS","NSS","NSS","NSS","NSS"
"02",3,"NSS","NSS","NSS","NSS","NSS"
"02",4,"NSS","NSS","NSS","NSS","NSS"
"02",5,"NSS","NSS","NSS","NSS","NSS"
"02",6,"NSS","NSS","NSS","NSS","NSS"
"02",7,"NSS","NSS","NSS","NSS","NSS"
"02",8,"NSS","NSS","NSS","NSS","NSS"
"02",9,"NSS","NSS","NSS","NSS","NSS"
"02",10,"90618","12558","10145","36604","31311"
"03",1,"NSS","NSS","NSS","NSS","NSS"
"03",2,"NSS","NSS","NSS","NSS","NSS"
"03",3,"NSS","NSS","NSS","NSS","NSS"
"03",4,"NSS","NSS","NSS","NSS","NSS"
"03",5,"NSS","NSS","NSS","NSS","NSS"
"03",6,"NSS","NSS","NSS","NSS","NSS"
"03",7,"NSS","NSS","NSS","NSS","NSS"
"03",8,"NSS","NSS","NSS","NSS","NSS"
"03",9,"NSS","NSS","NSS","NSS","NSS"
"03",10,"22613","2166","2132","9648","8667"
"04",1,"7","0","0","1","6"
"04",2,"1","1","0","0","0"
"04",3,"102","5","35","6","56"
"04",4,"36","0","0","20","16"
"04",5,"121","7","7","37","70"
"04",6,"95","3","8","10","74"
"04",7,"5","0","0","0","5"
"04",8,"437","69","20","198","150"
"04",9,"464","48","50","301","65"
"04",10,"452","15","22","260","155"
"05",1,"NSS","NSS","NSS","NSS","NSS"
"05",2,"NSS","NSS","NSS","NSS","NSS"
"05",3,"NSS","NSS","NSS","NSS","NSS"
"05",4,"NSS","NSS","NSS","NSS","NSS"
"05",5,"NSS","NSS","NSS","NSS","NSS"
"05",6,"NSS","NSS","NSS","NSS","NSS"
"05",7,"NSS","NSS","NSS","NSS","NSS"
"05",8,"NSS","NSS","NSS","NSS","NSS"
"05",9,"NSS","NSS","NSS","NSS","NSS"
"05",10,"37215","1832","1317","16095","17971"
"06",1,"NSS","NSS","NSS","NSS","NSS"
"06",2,"NSS","NSS","NSS","NSS","NSS"
"06",3,"NSS","NSS","NSS","NSS","NSS"
"06",4,"NSS","NSS","NSS","NSS","NSS"
"06",5,"NSS","NSS","NSS","NSS","NSS"
"06",6,"NSS","NSS","NSS","NSS","NSS"
"06",7,"NSS","NSS","NSS","NSS","NSS"
"06",8,"NSS","NSS","NSS","NSS","NSS"
"06",9,"NSS","NSS","NSS","NSS","NSS"
"06",10,"3101","728","312","1440","621"
"07",1,"NSS","NSS","NSS","NSS","NSS"
"07",2,"NSS","NSS","NSS","NSS","NSS"
"07",3,"NSS","NSS","NSS","NSS","NSS"
"07",4,"NSS","NSS","NSS","NSS","NSS"
"07",5,"NSS","NSS","NSS","NSS","NSS"
"07",6,"NSS","NSS","NSS","NSS","NSS"
"07",7,"NSS","NSS","NSS","NSS","NSS"
"07",8,"NSS","NSS","NSS","NSS","NSS"
"07",9,"NSS","NSS","NSS","NSS","NSS"
"07",10,"25183","927","837","14477","8942"
"08",1,"NSS","NA","NA","NSS","NSS"
"08",2,"NSS","NA","NA","NSS","NSS"
"08",3,"NSS","NA","NA","NSS","NSS"
"08",4,"NSS","NA","NA","NSS","NSS"
"08",5,"NSS","NA","NA","NSS","NSS"
"08",6,"NSS","NA","NA","NSS","NSS"
"08",7,"NSS","NA","NA","NSS","NSS"
"08",8,"NSS","NA","NA","NSS","NSS"
"08",9,"NSS","NA","NA","NSS","NSS"
"08",10,"65307","NA","NA","31126","34181"
"09",1,"NSS","NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS","NSS"
"09",4,"NSS","NSS","NSS","NSS","NSS"
"09",5,"NSS","NSS","NSS","NSS","NSS"
"09",6,"NSS","NSS","NSS","NSS","NSS"
"09",7,"NSS","NSS","NSS","NSS","NSS"
"09",8,"NSS","NSS","NSS","NSS","NSS"
"09",9,"NSS","NSS","NSS","NSS","NSS"
"09",10,"136968","17612","12471","59724","47161"
"10",1,"30","0","0","25","5"
"10",2,"212","0","0","159","53"
"10",3,"4810","0","0","909","3901"
"10",4,"1818","0","0","1022","796"
"10",5,"2409","0","0","1246","1163"
"10",6,"1566","0","0","797","769"
"10",7,"298","0","0","189","109"
"10",8,"9673","0","0","5809","3864"
"10",9,"10593","333","64","6506","3690"
"10",10,"0","0","0","0","0"
"11",1,"8","0","0","1","7"
"11",2,"0","0","0","0","0"
"11",3,"2386","0","8","71","2307"
"11",4,"7","0","0","1","6"
"11",5,"85","0","1","18","66"
"11",6,"714","0","2","213","499"
"11",7,"0","0","0","0","0"
"11",8,"329","0","0","97","232"
"11",9,"0","0","0","0","0"
"11",10,"96444","7452","5362","46413","37217"
"12",1,"135","15","22","44","54"
"12",2,"100","4","3","56","37"
"12",3,"1101","72","170","240","619"
"12",4,"428","30","44","200","154"
"12",5,"536","50","102","203","181"
"12",6,"636","84","162","214","176"
"12",7,"53","4","8","11","30"
"12",8,"1231","121","79","696","335"
"12",9,"7480","1545","755","3539","1641"
"12",10,"4371","919","403","1962","1087"
"13",1,"12","1","2","2","7"
"13",2,"0","0","0","0","0"
"13",3,"0","0","0","0","0"
"13",4,"165","43","7","72","43"
"13",5,"2629","26","201","298","2104"
"13",6,"1180","63","53","482","582"
"13",7,"0","0","0","0","0"
"13",8,"265","11","9","133","112"
"13",9,"904","639","265","0","0"
"13",10,"22909","728","448","13564","8169"
"14",1,"0","0","0","0","0"
"14",2,"0","0","0","0","0"
"14",3,"0","0","0","0","0"
"14",4,"49","5","30","3","11"
"14",5,"3194","397","1327","48","1422"
"14",6,"2267","900","1015","128","224"
"14",7,"4","1","2","1","0"
"14",8,"538","162","277","10","89"
"14",9,"338","119","140","29","50"
"14",10,"45625","4808","5694","19773","15350"
"15",1,"2071","NA","NA","1396","675"
"15",2,"1610","NA","NA","1001","609"
"15",3,"2829","NA","NA","1245","1584"
"15",4,"8862","NA","NA","5642","3220"
"15",5,"5013","NA","NA","1981","3032"
"15",6,"7749","NA","NA","4199","3550"
"15",7,"42","NA","NA","22","20"
"15",8,"83995","NA","NA","61712","22283"
"15",9,"50484","NA","NA","29371","21113"
"15",10,"58473","NA","NA","44905","13568"
"16",1,"NSS","NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS"
"16",7,"NSS","NSS","NSS","NSS","NSS"
"16",8,"NSS","NSS","NSS","NSS","NSS"
"16",9,"NSS","NSS","NSS","NSS","NSS"
"16",10,"9","NSS","NSS","NSS","9"
"17",1,"NSS","NA","NA","NSS","NSS"
"17",2,"NSS","NA","NA","NSS","NSS"
"17",3,"NSS","NA","NA","NSS","NSS"
"17",4,"NSS","NA","NA","NSS","NSS"
"17",5,"NSS","NA","NA","NSS","NSS"
"17",6,"NSS","NA","NA","NSS","NSS"
"17",7,"NSS","NA","NA","NSS","NSS"
"17",8,"NSS","NA","NA","NSS","NSS"
"17",9,"NSS","NA","NA","NSS","NSS"
"17",10,"10","NA","NA","NSS","10"
"18",1,"NSS","NSS","NSS","NSS","NSS"
"18",2,"NSS","NSS","NSS","NSS","NSS"
"18",3,"NSS","NSS","NSS","NSS","NSS"
"18",4,"NSS","NSS","NSS","NSS","NSS"
"18",5,"NSS","NSS","NSS","NSS","NSS"
"18",6,"NSS","NSS","NSS","NSS","NSS"
"18",7,"NSS","NSS","NSS","NSS","NSS"
"18",8,"NSS","NSS","NSS","NSS","NSS"
"18",9,"NSS","NSS","NSS","NSS","NSS"
"18",10,"3539","1127","976","675","761"
"19",1,"0","0","0","0","0"
"19",2,"0","0","0","0","0"
"19",3,"4936","0","1","674","4261"
"19",4,"242","0","0","143","99"
"19",5,"10704","1","5","1866","8832"
"19",6,"5259","1","5","2308","2945"
"19",7,"64708","0","1","35884","28823"
"19",8,"192","0","0","103","89"
"19",9,"4925","149","71","3870","835"
"19",10,"0","0","0","0","0"
"20",1,"NSS","NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS","NSS","NSS"
"20",4,"NSS","NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS","NSS"
"20",7,"NSS","NSS","NSS","NSS","NSS"
"20",8,"NSS","NSS","NSS","NSS","NSS"
"20",9,"NSS","NSS","NSS","NSS","NSS"
"20",10,"NSS","NSS","NSS","NSS","NSS"
"21",1,"NSS","NSS","NSS","NSS","NSS"
"21",2,"NSS","NSS","NSS","NSS","NSS"
"21",3,"NSS","NSS","NSS","NSS","NSS"
"21",4,"NSS","NSS","NSS","NSS","NSS"
"21",5,"NSS","NSS","NSS","NSS","NSS"
"21",6,"NSS","NSS","NSS","NSS","NSS"
"21",7,"NSS","NSS","NSS","NSS","NSS"
"21",8,"NSS","NSS","NSS","NSS","NSS"
"21",9,"NSS","NSS","NSS","NSS","NSS"
"21",10,"49184","12692","9440","16468","10584"
"22",1,"NSS","NSS","NSS","NSS","NSS"
"22",2,"NSS","NSS","NSS","NSS","NSS"
"22",3,"71","NSS","71","NSS","NSS"
"22",4,"27","8","19","NSS","NSS"
"22",5,"159","8","151","NSS","NSS"
"22",6,"163","58","105","NSS","NSS"
"22",7,"NSS","NSS","NSS","NSS","NSS"
"22",8,"126","14","112","NSS","NSS"
"22",9,"205","96","109","NSS","NSS"
"22",10,"45080","6965","4531","20596","12988"
"23",1,"13","NSS","NSS","5","8"
"23",2,"764","NSS","NSS","450","314"
"23",3,"1915","NSS","NSS","1158","757"
"23",4,"232","NSS","NSS","131","101"
"23",5,"1485","NSS","NSS","798","687"
"23",6,"1728","NSS","NSS","964","764"
"23",7,"1104","NSS","NSS","573","531"
"23",8,"581","NSS","NSS","257","324"
"23",9,"3892","NSS","NSS","2345","1547"
"23",10,"3447","908","957","735","847"
"24",1,"NSS","NSS","NSS","NSS","NSS"
"24",2,"NSS","NSS","NSS","NSS","NSS"
"24",3,"NSS","NSS","NSS","NSS","NSS"
"24",4,"NSS","NSS","NSS","NSS","NSS"
"24",5,"NSS","NSS","NSS","NSS","NSS"
"24",6,"NSS","NSS","NSS","NSS","NSS"
"24",7,"NSS","NSS","NSS","NSS","NSS"
"24",8,"NSS","NSS","NSS","NSS","NSS"
"24",9,"NSS","NSS","NSS","NSS","NSS"
"24",10,"19859","1935","1963","7986","7975"
"25",1,"NSS","NSS","NSS","NSS","NSS"
"25",2,"NSS","NSS","NSS","NSS","NSS"
"25",3,"NSS","NSS","NSS","NSS","NSS"
"25",4,"NSS","NSS","NSS","NSS","NSS"
"25",5,"NSS","NSS","NSS","NSS","NSS"
"25",6,"NSS","NSS","NSS","NSS","NSS"
"25",7,"NSS","NSS","NSS","NSS","NSS"
"25",8,"NSS","NSS","NSS","NSS","NSS"
"25",9,"NSS","NSS","NSS","NSS","NSS"
"25",10,"19988","3775","2572","8136","5505"
"26",1,"NSS","NSS","NSS","NSS","NSS"
"26",2,"NSS","NSS","NSS","NSS","NSS"
"26",3,"NSS","NSS","NSS","NSS","NSS"
"26",4,"NSS","NSS","NSS","NSS","NSS"
