entidad,ran_edad,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"01",1,"22","3","3","5","11"
"01",2,"31","2","4","9","16"
"01",3,"77","13","11","16","37"
"01",4,"563","133","106","154","170"
"01",5,"1672","374","259","551","488"
"01",6,"2143","500","357","714","572"
"01",7,"2243","503","371","718","651"
"01",8,"2123","468","329","732","594"
"01",9,"1912","433","309","680","490"
"01",10,"1649","349","248","598","454"
"01",11,"1308","336","217","488","267"
"01",12,"914","252","146","325","191"
"01",13,"1357","379","151","579","248"
"01",14,"4777","1375","725","1696","981"
"02",1,"669","65","59","227","318"
"02",2,"1136","66","83","420","567"
"02",3,"1498","81","160","448","809"
"02",4,"3433","277","451","1156","1549"
"02",5,"7457","729","871","2739","3118"
"02",6,"9381","893","1046","3653","3789"
"02",7,"9505","944","1070","3788","3703"
"02",8,"9304","1026","983","3774","3521"
"02",9,"9090","1030","895","3860","3305"
"02",10,"7279","891","659","3220","2509"
"02",11,"5882","682","515","2645","2040"
"02",12,"4306","531","338","2151","1286"
"02",13,"7140","903","538","3638","2061"
"02",14,"14538","4440","2477","4885","2736"
"03",1,"123","6","3","51","63"
"03",2,"148","5","12","51","80"
"03",3,"221","9","16","69","127"
"03",4,"605","38","66","203","298"
"03",5,"1780","159","213","608","800"
"03",6,"2595","263","342","930","1060"
"03",7,"2667","286","369","938","1074"
"03",8,"2565","259","325","988","993"
"03",9,"2238","274","244","948","772"
"03",10,"1667","191","161","696","619"
"03",11,"1366","174","107","626","459"
"03",12,"996","109","63","498","326"
"03",13,"1573","180","83","896","414"
"03",14,"4069","213","128","2146","1582"
"04",1,"4","0","1","2","1"
"04",2,"31","0","8","5","18"
"04",3,"125","0","26","11","88"
"04",4,"119","9","7","22","81"
"04",5,"131","12","14","62","43"
"04",6,"189","20","14","102","53"
"04",7,"246","32","17","113","84"
"04",8,"261","34","18","158","51"
"04",9,"188","17","19","103","49"
"04",10,"177","9","9","117","42"
"04",11,"129","6","5","76","42"
"04",12,"58","5","1","27","25"
"04",13,"59","2","3","34","20"
"04",14,"3","2","0","1","0"
"05",1,"54","16","18","13","7"
"05",2,"108","24","22","28","34"
"05",3,"273","16","43","12","202"
"05",4,"1805","42","73","613","1077"
"05",5,"3588","159","131","1298","2000"
"05",6,"5004","228","219","2151","2406"
"05",7,"6179","343","193","2828","2815"
"05",8,"5920","366","194","2544","2816"
"05",9,"5087","276","170","2453","2188"
"05",10,"3803","210","137","1463","1993"
"05",11,"2428","89","70","1138","1131"
"05",12,"1851","27","19","898","907"
"05",13,"1065","32","28","641","364"
"05",14,"50","4","0","15","31"
"06",1,"NSS","NSS","NSS","NSS","NSS"
"06",2,"NSS","NSS","NSS","NSS","NSS"
"06",3,"NSS","NSS","NSS","NSS","NSS"
"06",4,"NSS","NSS","NSS","NSS","NSS"
"06",5,"NSS","NSS","NSS","NSS","NSS"
"06",6,"NSS","NSS","NSS","NSS","NSS"
"06",7,"NSS","NSS","NSS","NSS","NSS"
"06",8,"NSS","NSS","NSS","NSS","NSS"
"06",9,"NSS","NSS","NSS","NSS","NSS"
"06",10,"NSS","NSS","NSS","NSS","NSS"
"06",11,"NSS","NSS","NSS","NSS","NSS"
"06",12,"NSS","NSS","NSS","NSS","NSS"
"06",13,"NSS","NSS","NSS","NSS","NSS"
"06",14,"3101","728","312","1440","621"
"07",1,"335","27","29","128","151"
"07",2,"482","47","55","163","217"
"07",3,"692","45","70","172","405"
"07",4,"1317","47","93","515","662"
"07",5,"2486","52","81","1368","985"
"07",6,"3081","92","93","1716","1180"
"07",7,"3878","103","123","2227","1425"
"07",8,"3618","78","101","2153","1286"
"07",9,"2875","70","52","1814","939"
"07",10,"1937","68","35","1273","561"
"07",11,"1487","46","23","960","458"
"07",12,"965","44","21","637","263"
"07",13,"1325","58","20","845","402"
"07",14,"705","150","41","506","8"
"08",1,"1087","NA","NA","558","529"
"08",2,"1528","NA","NA","676","852"
"08",3,"1839","NA","NA","658","1181"
"08",4,"3576","NA","NA","1250","2326"
"08",5,"6604","NA","NA","2438","4166"
"08",6,"7782","NA","NA","3182","4600"
"08",7,"7632","NA","NA","3232","4400"
"08",8,"6963","NA","NA","3186","3777"
"08",9,"6270","NA","NA","3076","3194"
"08",10,"5196","NA","NA","2723","2473"
"08",11,"3802","NA","NA","2089","1713"
"08",12,"2583","NA","NA","1476","1107"
"08",13,"4110","NA","NA","2681","1429"
"08",14,"6335","NA","NA","3901","2434"
"09",1,"NSS","NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS","NSS"
"09",4,"NSS","NSS","NSS","NSS","NSS"
"09",5,"NSS","NSS","NSS","NSS","NSS"
"09",6,"NSS","NSS","NSS","NSS","NSS"
"09",7,"NSS","NSS","NSS","NSS","NSS"
"09",8,"NSS","NSS","NSS","NSS","NSS"
"09",9,"NSS","NSS","NSS","NSS","NSS"
"09",10,"NSS","NSS","NSS","NSS","NSS"
"09",11,"NSS","NSS","NSS","NSS","NSS"
"09",12,"NSS","NSS","NSS","NSS","NSS"
"09",13,"NSS","NSS","NSS","NSS","NSS"
"09",14,"136968","17612","12471","59724","47161"
"10",1,"111","0","0","55","56"
"10",2,"379","1","4","268","106"
"10",3,"371","0","4","244","123"
"10",4,"1529","0","3","693","833"
"10",5,"2982","6","0","1476","1500"
"10",6,"4101","2","0","1826","2273"
"10",7,"4138","1","2","2190","1945"
"10",8,"4482","18","14","2002","2448"
"10",9,"4217","19","11","2226","1961"
"10",10,"3093","23","12","1936","1122"
"10",11,"2635","152","4","1555","924"
"10",12,"1565","53","5","970","537"
"10",13,"1806","58","5","1221","522"
"10",14,"0","0","0","0","0"
"11",1,"994","108","122","341","423"
"11",2,"1234","75","105","485","569"
"11",3,"2119","85","163","632","1239"
"11",4,"5748","323","366","2131","2928"
"11",5,"10648","707","658","4592","4691"
"11",6,"12334","771","656","5458","5449"
"11",7,"12681","777","718","5579","5607"
"11",8,"11994","839","633","5449","5073"
"11",9,"10823","774","555","5218","4276"
"11",10,"8626","648","385","4486","3107"
"11",11,"6911","500","320","3513","2578"
"11",12,"4614","306","187","2694","1427"
"11",13,"8358","607","275","5031","2445"
"11",14,"2889","932","230","1205","522"
"12",1,"141","25","47","23","46"
"12",2,"211","29","57","59","66"
"12",3,"278","40","47","78","113"
"12",4,"828","84","144","349","251"
"12",5,"2564","456","253","1143","712"
"12",6,"3145","681","346","1280","838"
"12",7,"2642","490","194","1196","762"
"12",8,"2037","353","231","892","561"
"12",9,"1379","207","117","706","349"
"12",10,"1009","145","161","487","216"
"12",11,"548","78","63","260","147"
"12",12,"303","42","10","162","89"
"12",13,"273","54","24","128","67"
"12",14,"713","160","54","402","97"
"13",1,"267","16","19","112","120"
"13",2,"363","26","29","148","160"
"13",3,"489","22","35","153","279"
"13",4,"1167","49","77","477","564"
"13",5,"2509","99","69","1242","1099"
"13",6,"3200","130","79","1674","1317"
"13",7,"3297","152","98","1697","1350"
"13",8,"3226","157","102","1683","1284"
"13",9,"3056","139","75","1652","1190"
"13",10,"2549","146","94","1400","909"
"13",11,"1945","119","58","1068","700"
"13",12,"1540","61","38","956","485"
"13",13,"2405","158","59","1485","703"
"13",14,"2051","237","153","804","857"
"14",1,"1105","322","329","212","242"
"14",2,"1430","388","425","267","350"
"14",3,"1801","361","590","310","540"
"14",4,"3180","428","860","787","1105"
"14",5,"4911","517","868","1721","1805"
"14",6,"5497","532","853","2026","2086"
"14",7,"5710","545","841","2206","2118"
"14",8,"5191","530","827","1933","1901"
"14",9,"4311","429","587","1719","1576"
"14",10,"3682","409","512","1481","1280"
"14",11,"2511","246","292","1136","837"
"14",12,"1864","209","215","874","566"
"14",13,"3354","403","352","1658","941"
"14",14,"7468","1073","934","3662","1799"
"15",1,"61","NA","NA","35","26"
"15",2,"199","NA","NA","116","83"
"15",3,"496","NA","NA","361","135"
"15",4,"13689","NA","NA","7987","5702"
"15",5,"28872","NA","NA","18466","10406"
"15",6,"45946","NA","NA","28484","17462"
"15",7,"36488","NA","NA","25088","11400"
"15",8,"30505","NA","NA","21910","8595"
"15",9,"15230","NA","NA","11356","3874"
"15",10,"10161","NA","NA","7390","2771"
"15",11,"5804","NA","NA","4149","1655"
"15",12,"4117","NA","NA","3717","400"
"15",13,"404","NA","NA","298","106"
"15",14,"29156","NA","NA","22117","7039"
"16",1,"NSS","NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS"
"16",7,"NSS","NSS","NSS","NSS","NSS"
"16",8,"NSS","NSS","NSS","NSS","NSS"
"16",9,"NSS","NSS","NSS","NSS","NSS"
"16",10,"NSS","NSS","NSS","NSS","NSS"
"16",11,"NSS","NSS","NSS","NSS","NSS"
"16",12,"NSS","NSS","NSS","NSS","NSS"
