entidad,delitos,raedadtt,raedad1,raedad2,raedad3,raedad4,raedad5,raedad6,raedad7,raedad8,raedad9,raedad10,raedad11,raedad12,raedad13,raedad14
"09",70100,"25","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","25"
"09",70101,"25","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","25"
"09",70102,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70103,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70104,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70109,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70199,"","","","","","","","","","","","","","",""
"09",70200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70204,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70205,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70206,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70299,"","","","","","","","","","","","","","",""
"09",70300,"1","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1"
"09",70400,"30","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","30"
"09",70500,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70600,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80100,"550","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","550"
"09",80101,"149","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","149"
"09",80102,"307","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","307"
"09",80103,"92","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","92"
"09",80104,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80105,"1","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1"
"09",80106,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80107,"1","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1"
"09",80109,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80199,"","","","","","","","","","","","","","",""
"09",80200,"116","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","116"
"09",80201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80209,"116","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","116"
"09",80299,"","","","","","","","","","","","","","",""
"09",80300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80400,"3","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","3"
"09",80900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90100,"4283","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","4283"
"09",90200,"273","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","273"
"09",90300,"99","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","99"
"09",90400,"1203","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1203"
"09",90500,"52","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","52"
"09",90501,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90502,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90503,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90509,"52","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","52"
"09",90599,"","","","","","","","","","","","","","",""
"09",90600,"10","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","10"
"09",90700,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90701,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90709,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90799,"","","","","","","","","","","","","","",""
"09",90800,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91100,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91200,"33","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","33"
"09",91300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91400,"253","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","253"
"09",91500,"972","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","972"
"09",91600,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91900,"637","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","637"
"09",999999,"","","","","","","","","","","","","","",""
"10",10100,"436","8","4","6","21","45","29","72","72","60","71","17","16","15","0"
"10",10200,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10",10300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",10400,"2810","18","22","20","111","343","462","450","475","289","196","185","74","165","0"
"10",10900,"3","0","0","0","0","1","0","0","1","0","1","0","0","0","0"
"10",20100,"45","0","0","1","2","7","6","6","4","7","4","4","2","2","0"
"10",20200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20300,"32","3","11","18","0","0","0","0","0","0","0","0","0","0","0"
"10",20400,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20500,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10",20600,"12","0","0","0","1","1","3","2","0","0","0","1","3","1","0"
"10",20601,"12","0","0","0","1","1","3","2","0","0","0","1","3","1","0"
"10",20602,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20603,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20604,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20609,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20699,"","","","","","","","","","","","","","",""
"10",20900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",30100,"52","7","20","20","5","0","0","0","0","0","0","0","0","0","0"
"10",30200,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10",30300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",30400,"24","2","2","10","9","1","0","0","0","0","0","0","0","0","0"
"10",30500,"3","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"10",30600,"8","0","2","3","3","0","0","0","0","0","0","0","0","0","0"
"10",30700,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",30900,"35","6","3","8","5","3","10","0","0","0","0","0","0","0","0"
"10",40100,"6286","0","0","7","191","494","774","957","724","863","857","649","379","391","0"
"10",40101,"9","0","0","0","1","4","3","1","0","0","0","0","0","0","0"
"10",40102,"1409","0","0","0","31","115","183","262","165","138","166","146","126","77","0"
"10",40103,"913","0","0","0","21","107","124","183","82","126","96","83","46","45","0"
"10",40104,"96","0","0","0","10","5","12","14","9","6","15","8","13","4","0"
"10",40105,"414","0","0","0","35","61","47","79","35","56","63","22","12","4","0"
"10",40106,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40107,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40108,"5","0","0","0","0","1","0","1","1","2","0","0","0","0","0"
"10",40109,"37","0","0","0","0","0","11","13","4","5","4","0","0","0","0"
"10",40110,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40111,"416","0","0","0","0","54","30","48","65","64","37","41","25","52","0"
"10",40112,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"10",40113,"688","0","0","0","0","46","75","53","100","96","123","73","64","58","0"
"10",40114,"156","0","0","0","1","1","2","13","2","21","20","20","22","54","0"
"10",40115,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40116,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",40119,"2142","0","0","7","92","100","287","290","261","349","332","256","71","97","0"
"10",40199,"","","","","","","","","","","","","","",""
