entidad,delitos,raedadtt,raedad1,raedad2,raedad3,raedad4,raedad5,raedad6,raedad7,raedad8,raedad9,raedad10,raedad11,raedad12,raedad13,raedad14
"09",80101,"27","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","27"
"09",80102,"192","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","192"
"09",80103,"33","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","33"
"09",80104,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80105,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",80106,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80107,"2","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","2"
"09",80109,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80199,"","","","","","","","","","","","","","",""
"09",80200,"87","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","87"
"09",80201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80209,"87","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","87"
"09",80299,"","","","","","","","","","","","","","",""
"09",80300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80400,"7","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","7"
"09",80900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90100,"5032","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","5032"
"09",90200,"366","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","366"
"09",90300,"43","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","43"
"09",90400,"1428","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1428"
"09",90500,"35","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","35"
"09",90501,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90502,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90503,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90509,"35","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","35"
"09",90599,"","","","","","","","","","","","","","",""
"09",90600,"5","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","5"
"09",90700,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90701,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90709,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90799,"","","","","","","","","","","","","","",""
"09",90800,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91100,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91200,"13","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","13"
"09",91300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91400,"29","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","29"
"09",91500,"892","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","892"
"09",91600,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91900,"650","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","650"
"09",999999,"","","","","","","","","","","","","","",""
"10",10100,"55","1","1","2","2","2","9","3","10","15","2","3","3","2","0"
"10",10200,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"10",10300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",10400,"1775","19","15","17","73","181","297","318","334","167","126","104","59","65","0"
"10",10900,"20","0","0","0","1","3","4","4","3","2","1","0","1","1","0"
