entidad,averaini,vicreg1,vicreg2,vicreg3,vicreg4,vicreg5,vicreg6,vicreg7,vicreg8,vicreg9
"01",1,"5120","3236","15","535","513","0","0","0","154"
"01",2,"7265","5170","14","313","463","0","0","0","1671"
"02",1,"12558","10145","1757","1962","658","500","0","663","111"
"02",2,"36604","31311","1583","305","102","80","0","2249","11940"
"03",1,"2166","2132","96","4","104","0","0","0","660"
"03",2,"9648","8667","0","36","356","30","0","0","1172"
"04",1,"148","142","5","9","7","7","0","0","0"
"04",2,"833","597","1","43","67","11","0","0","0"
"05",1,"1832","1317","22","450","508","125","0","0","311"
"05",2,"16095","17971","82","1925","7397","2122","0","0","2936"
"06",1,"728","312","331","32","450","582","0","0","0"
"06",2,"1440","621","576","3","4184","1618","0","0","0"
"07",1,"927","837","77","30","40","10","7","0","0"
"07",2,"14477","8942","2414","863","384","111","105","0","0"
"08",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"08",2,"31126","34181","1","4989","5400","14","22","0","0"
"09",1,"17612","12471","433","3587","NSS","NSS","NSS","NSS","6412"
"09",2,"59724","47161","754","14571","NSS","NSS","NSS","NSS","16995"
"10",1,"333","64","0","0","2","0","0","0","0"
"10",2,"16662","14350","0","335","633","11","0","0","0"
"11",1,"7452","5373","34","NSS","NSS","NSS","NSS","NSS","1637"
"11",2,"46814","40334","718","NSS","NSS","NSS","NSS","NSS","12180"
"12",1,"2844","1748","1582","331","253","1","13","0","1471"
"12",2,"7165","4314","3937","936","170","19","129","80","1980"
"13",1,"1511","985","249","34","5","78","0","0","0"
"13",2,"14551","11017","241","714","16","285","0","0","0"
"14",1,"6392","8485","14370","1791","47","206","2322","0","2898"
"14",2,"19992","17146","26428","2000","33","250","2468","0","1881"
"15",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15",2,"151474","69654","659","67","77","94","0","0","0"
"16",1,"NSS","NSS","781","NSS","NSS","NSS","NSS","NSS","1855"
"16",2,"NSS","9","9434","NSS","NSS","NSS","NSS","NSS","24566"
"17",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17",2,"NSS","10","NSS","NSS","NSS","NSS","0","0","NSS"
"18",1,"1127","976","33","NSS","NSS","NSS","NSS","NSS","218"
"18",2,"675","761","47","NSS","NSS","NSS","NSS","NSS","363"
"19",1,"151","83","0","5","0","0","2","0","0"
"19",2,"44848","45884","0","501","0","0","251","0","0"
"20",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21",1,"12692","9440","193","NSS","392","NSS","NSS","NSS","680"
"21",2,"16468","10584","81","NSS","261","NSS","NSS","NSS","745"
"22",1,"7149","5098","2045","2463","36","106","0","9","0"
"22",2,"20596","12988","583","5332","128","257","0","22","0"
"23",1,"908","957","NSS","NSS","NSS","NSS","NSS","NSS","156"
"23",2,"7416","5880","0","1501","1122","481","0","0","0"
"24",1,"1935","1963","899","0","181","NSS","NSS","50","0"
"24",2,"7986","7975","7419","0","95","0","0","0","0"
"25",1,"3775","2572","222","1201","149","0","251","0","10"
"25",2,"8136","5505","376","1905","310","8","80","0","1"
"26",1,"5331","6181","2594","2247","NSS","NSS","NSS","NSS","402"
"26",2,"16695","12125","7","844","0","0","0","0","0"
"27",1,"11230","6233","1265","43","497","42","NSS","2","0"
"27",2,"52823","29503","2339","0","98","5","NSS","78","0"
"28",1,"6541","4131","219","355","731","72","76","NSS","419"
"28",2,"15805","18167","1138","243","78","75","133","NSS","2708"
"29",1,"1583","801","284","471","0","0","0","0","0"
"29",2,"1555","759","567","528","2","0","0","0","0"
"30",1,"4584","3275","0","579","0","0","0","0","476"
"30",2,"24535","17515","0","2510","0","0","0","0","3256"
"31",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31",2,"21736","12608","0","NSS","NSS","NSS","0","0","0"
"32",1,"312","176","0","NSS","NSS","NSS","NSS","NSS","58"
"32",2,"9991","6702","53","NSS","NSS","NSS","NSS","NSS","1548"
