entidad,delitos,vicfuett,vicfue1,vicfue2,vicfue3,vicfue4,vicfue5,vicfue6,vicfue7,vicfue8,vicfue9,vicfue10,vicfue11,vicfue12,vicfue13,vicfue14,vicfue15,vicfue16,vicfue17,vicfue18,vicfuene
"08",70299,"","","","","","","","","","","","","","","","","","","",""
"08",70300,"4","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","0","0","0","3","0","0","0","0",""
"08",70400,"32","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","0","0","1","24","0","0","0","0",""
"08",70500,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",70600,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",70900,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",80100,"647","NA","NA","NA","NA","NA","NA","NA","NA","NA","486","148","0","8","3","2","0","0","0",""
"08",80101,"21","NA","NA","NA","NA","NA","NA","NA","NA","NA","14","6","0","1","0","0","0","0","0",""
"08",80102,"554","NA","NA","NA","NA","NA","NA","NA","NA","NA","424","127","0","2","1","0","0","0","0",""
"08",80103,"11","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","3","0","0","0","0","0","0","0",""
"08",80104,"15","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","2","0","2","0","1","0","0","0",""
"08",80105,"1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","0","0","0","0","0","0","0","0",""
"08",80106,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",80107,"3","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","0","1","0","0","0","0","0",""
"08",80109,"42","NA","NA","NA","NA","NA","NA","NA","NA","NA","27","10","0","2","2","1","0","0","0",""
"08",80199,"","","","","","","","","","","","","","","","","","","",""
"08",80200,"15","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","0","0","0","5","0","0","0","0",""
"08",80201,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",80209,"15","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","0","0","0","5","0","0","0","0",""
"08",80299,"","","","","","","","","","","","","","","","","","","",""
"08",80300,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",80400,"13","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","1","0","0","7","0","0","0","0",""
"08",80900,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",90100,"2893","NA","NA","NA","NA","NA","NA","NA","NA","NA","1392","1484","0","16","1","0","0","0","0",""
"08",90200,"326","NA","NA","NA","NA","NA","NA","NA","NA","NA","158","152","0","16","0","0","0","0","0",""
"08",90300,"194","NA","NA","NA","NA","NA","NA","NA","NA","NA","90","45","0","25","34","0","0","0","0",""
"08",90400,"431","NA","NA","NA","NA","NA","NA","NA","NA","NA","195","117","0","47","72","0","0","0","0",""
"08",90500,"32","NA","NA","NA","NA","NA","NA","NA","NA","NA","12","5","0","6","1","8","0","0","0",""
"08",90501,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",90502,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",90503,"13","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","4","0","3","0","3","0","0","0",""
"08",90509,"19","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","1","0","3","1","5","0","0","0",""
"08",90599,"","","","","","","","","","","","","","","","","","","",""
"08",90600,"43","NA","NA","NA","NA","NA","NA","NA","NA","NA","24","1","0","18","0","0","0","0","0",""
"08",90700,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",90701,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",90709,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",90799,"","","","","","","","","","","","","","","","","","","",""
"08",90800,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",90900,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",91000,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",91100,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",91200,"7","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","0","1","4","0","0","0","0",""
"08",91300,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",91400,"66","NA","NA","NA","NA","NA","NA","NA","NA","NA","61","5","0","0","0","0","0","0","0",""
"08",91500,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"08",91600,"93","NA","NA","NA","NA","NA","NA","NA","NA","NA","23","64","0","6","0","0","0","0","0",""
"08",91900,"1870","NA","NA","NA","NA","NA","NA","NA","NA","NA","591","299","0","447","528","0","5","0","0",""
"08",999999,"","","","","","","","","","","","","","","","","","","",""
"09",10100,"1704","402","36","46","0","0","0","0","0","0","1002","196","22","0","0","0","0","0","0",""
"09",10200,"46","NA","28","NA","NA","NA","NA","NA","NA","NA","NA","18","NA","NA","NA","NA","NA","NA","NA",""
"09",10300,"115","1","2","10","0","0","0","0","0","0","9","29","64","0","0","0","0","0","0",""
"09",10400,"10668","1066","158","67","0","0","0","0","0","0","6523","2803","51","0","0","0","0","0","0",""
"09",10900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",20100,"699","132","113","69","0","0","0","0","0","0","145","125","115","0","0","0","0","0","0",""
"09",20200,"5","2","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0",""
"09",20300,"887","54","100","11","0","0","0","0","0","0","306","416","0","0","0","0","0","0","0",""
"09",20400,"4","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"09",20500,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",20600,"46","10","3","10","0","0","0","0","0","0","16","7","0","0","0","0","0","0","0",""
"09",20601,"46","10","3","10","0","0","0","0","0","0","16","7","0","0","0","0","0","0","0",""
"09",20602,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",20603,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",20604,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",20609,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",20699,"","","","","","","","","","","","","","","","","","","",""
"09",20900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",30100,"1875","40","408","20","0","0","0","0","0","0","92","1274","41","0","0","0","0","0","0",""
"09",30200,"181","0","0","0","0","0","0","0","0","0","12","161","8","0","0","0","0","0","0",""
"09",30300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",30400,"519","21","163","7","0","0","0","0","0","0","21","302","5","0","0","0","0","0","0",""
"09",30500,"66","1","5","6","0","0","0","0","0","0","6","32","16","0","0","0","0","0","0",""
"09",30600,"15","0","1","0","0","0","0","0","0","0","0","12","2","0","0","0","0","0","0",""
"09",30700,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",30900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",40100,"82003","10615","4943","49","3112","NSS","NSS","NSS","NSS","2446","26346","13474","179","12905","NSS","NSS","NSS","NSS","7934",""
"09",40101,"339","68","41","0","9","NSS","NSS","NSS","NSS","40","81","44","0","17","NSS","NSS","NSS","NSS","39",""
"09",40102,"6285","1109","1059","5","14","NSS","NSS","NSS","NSS","351","1705","1550","6","11","NSS","NSS","NSS","NSS","475",""
"09",40103,"11753","3574","741","3","182","NSS","NSS","NSS","NSS","631","4661","965","1","156","NSS","NSS","NSS","NSS","839",""
"09",40104,"3785","740","302","6","55","NSS","NSS","NSS","NSS","282","1408","568","7","60","NSS","NSS","NSS","NSS","357",""
"09",40105,"14396","1646","924","2","1020","NSS","NSS","NSS","NSS","978","2123","1266","3","2379","NSS","NSS","NSS","NSS","4055",""
"09",40106,"313","73","35","0","10","NSS","NSS","NSS","NSS","18","86","73","1","15","NSS","NSS","NSS","NSS","2",""
"09",40107,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",40108,"165","33","2","2","36","NSS","NSS","NSS","NSS","7","31","1","0","35","NSS","NSS","NSS","NSS","18",""
"09",40109,"262","45","36","0","5","NSS","NSS","NSS","NSS","8","78","69","1","3","NSS","NSS","NSS","NSS","17",""
"09",40110,"2431","386","278","5","43","NSS","NSS","NSS","NSS","17","1069","607","2","24","0","0","0","0","0",""
"09",40111,"1483","368","90","5","42","NSS","NSS","NSS","NSS","104","603","149","1","28","0","0","0","0","93",""
"09",40112,"24","1","0","0","6","0","0","0","0","0","3","0","0","13","NSS","NSS","NSS","NSS","1",""
"09",40113,"15427","412","254","8","1688","NSS","NSS","NSS","NSS","8","1834","944","93","9025","NSS","NSS","NSS","NSS","1161",""
"09",40114,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",40115,"14","5","0","0","2","NSS","NSS","NSS","NSS","2","2","0","0","2","NSS","NSS","NSS","NSS","1",""
"09",40116,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",40119,"25326","2155","1181","13","0","0","0","0","0","0","12662","7238","64","1137","NSS","NSS","NSS","NSS","876",""
"09",40199,"","","","","","","","","","","","","","","","","","","",""
"09",40200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"09",40300,"11482","625","357","11","183","NSS","NSS","NSS","NSS","390","4594","3091","17","473","NSS","NSS","NSS","NSS","1741",""
"09",40400,"3213","41","14","2","8","NSS","NSS","NSS","NSS","26","1592","798","7","215","NSS","NSS","NSS","NSS","510",""
"09",40500,"1850","116","66","0","2","NSS","NSS","NSS","NSS","687","118","79","0","4","NSS","NSS","NSS","NSS","778",""
"09",40501,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
