entidad,delitos,raedadtt,raedad1,raedad2,raedad3,raedad4,raedad5,raedad6,raedad7,raedad8,raedad9,raedad10,raedad11,raedad12,raedad13,raedad14
"09",60300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",60400,"3","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","3"
"09",60900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70100,"10","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","10"
"09",70101,"10","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","10"
"09",70102,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70103,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70104,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70109,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70199,"","","","","","","","","","","","","","",""
"09",70200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70204,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70205,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70206,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70299,"","","","","","","","","","","","","","",""
"09",70300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70400,"16","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","16"
"09",70500,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70600,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",70900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80100,"448","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","448"
"09",80101,"22","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","22"
"09",80102,"406","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","406"
"09",80103,"16","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","16"
"09",80104,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80105,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",80106,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80107,"4","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","4"
"09",80109,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80199,"","","","","","","","","","","","","","",""
"09",80200,"67","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","67"
"09",80201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80209,"67","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","67"
"09",80299,"","","","","","","","","","","","","","",""
"09",80300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80400,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",80900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90100,"20","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","20"
"09",90200,"4","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","4"
"09",90300,"76","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","76"
"09",90400,"708","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","708"
"09",90500,"36","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","36"
"09",90501,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90502,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90503,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90509,"36","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","36"
"09",90599,"","","","","","","","","","","","","","",""
"09",90600,"1","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1"
"09",90700,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90701,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90709,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90799,"","","","","","","","","","","","","","",""
"09",90800,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",90900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91100,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91200,"24","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","24"
"09",91300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91400,"316","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","316"
"09",91500,"19","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","19"
"09",91600,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09",91900,"721","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","721"
"09",999999,"","","","","","","","","","","","","","",""
"10",10100,"6","0","0","0","0","3","0","0","0","3","0","0","0","0","0"
"10",10200,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10",10300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",10400,"11","0","1","0","0","2","0","0","4","0","0","4","0","0","0"
"10",10900,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20100,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20300,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20400,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20500,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20600,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20601,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20602,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20603,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",20604,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
