entidad,modalcur,magjuett,magjue1,magjue2,magjue4,magjue5,no_reali
"01",1,"NA","NA","NA","NA","NA","1"
"01",2,"6","0","1","2","3",""
"01",3,"60","4","2","19","35",""
"01",4,"62","2","1","23","36",""
"01",5,"75","3","3","31","38",""
"01",6,"NA","NA","NA","NA","NA","1"
"02",1,"NA","NA","NA","NA","NA","1"
"02",2,"0","0","0","0","0",""
"02",3,"18","2","2","7","7",""
"02",4,"96","6","2","44","44",""
"02",5,"NA","NA","NA","NA","NA","1"
"02",6,"78","6","2","38","32",""
"03",1,"NA","NA","NA","NA","NA","1"
"03",2,"NA","NA","NA","NA","NA","1"
"03",3,"NA","NA","NA","NA","NA","1"
"03",4,"45","5","0","20","20",""
"03",5,"23","1","0","12","10",""
"03",6,"123","62","9","16","36",""
"04",1,"NA","NA","NA","NA","NA","1"
"04",2,"NA","NA","NA","NA","NA","1"
"04",3,"NA","NA","NA","NA","NA","1"
"04",4,"32","2","1","7","22",""
"04",5,"25","3","0","6","16",""
"04",6,"52","10","6","11","25",""
"05",1,"NA","NA","NA","NA","NA","1"
"05",2,"NA","NA","NA","NA","NA","1"
"05",3,"20","1","1","9","9",""
"05",4,"66","12","2","30","22",""
"05",5,"NA","NA","NA","NA","NA","1"
"05",6,"NA","NA","NA","NA","NA","1"
"06",1,"NA","NA","NA","NA","NA","1"
"06",2,"NA","NA","NA","NA","NA","1"
"06",3,"NA","NA","NA","NA","NA","1"
"06",4,"6","0","0","2","4",""
"06",5,"NA","NA","NA","NA","NA","1"
"06",6,"25","3","2","15","5",""
"07",1,"NA","NA","NA","NA","NA","1"
"07",2,"NA","NA","NA","NA","NA","1"
"07",3,"NA","NA","NA","NA","NA","1"
"07",4,"265","10","3","152","100",""
"07",5,"16","5","5","3","3",""
"07",6,"147","35","7","80","25",""
"08",1,"16","7","1","3","5",""
"08",2,"4","0","0","2","2",""
"08",3,"4","0","0","1","3",""
"08",4,"38","4","0","15","19",""
"08",5,"7","2","1","1","3",""
"08",6,"10","0","1","1","8",""
"09",1,"NA","NA","NA","NA","NA","1"
"09",2,"NA","NA","NA","NA","NA","1"
"09",3,"48","3","4","22","19",""
"09",4,"1017","34","35","538","410",""
"09",5,"311","15","7","166","123",""
"09",6,"NA","NA","NA","NA","NA","1"
"10",1,"NA","NA","NA","NA","NA","1"
"10",2,"NA","NA","NA","NA","NA","1"
"10",3,"NA","NA","NA","NA","NA","1"
"10",4,"18","5","0","8","5",""
"10",5,"NA","NA","NA","NA","NA","1"
"10",6,"27","5","6","9","7",""
"11",1,"NA","NA","NA","NA","NA","1"
"11",2,"11","0","0","5","6",""
"11",3,"NA","NA","NA","NA","NA","1"
"11",4,"485","8","2","220","255",""
"11",5,"224","0","0","87","137",""
"11",6,"1226","29","16","503","678",""
"12",1,"NA","NA","NA","NA","NA","1"
"12",2,"NA","NA","NA","NA","NA","1"
"12",3,"0","0","0","0","0",""
"12",4,"76","7","4","39","26",""
"12",5,"1","0","0","0","1",""
"12",6,"4","0","0","3","1",""
"13",1,"NA","NA","NA","NA","NA","1"
"13",2,"2","0","1","0","1",""
"13",3,"NA","NA","NA","NA","NA","1"
"13",4,"81","5","3","43","30",""
"13",5,"153","5","7","84","57",""
"13",6,"83","5","7","41","30",""
"14",1,"NA","NA","NA","NA","NA","1"
"14",2,"NA","NA","NA","NA","NA","1"
"14",3,"NA","NA","NA","NA","NA","1"
"14",4,"NA","NA","NA","NA","NA","1"
"14",5,"NA","NA","NA","NA","NA","1"
"14",6,"NA","NA","NA","NA","NA","1"
"15",1,"2","NSS","NSS","2","NSS",""
"15",2,"NSS","NSS","NSS","NSS","NSS",""
"15",3,"NA","NA","NA","NA","NA","1"
"15",4,"381","42","20","164","155",""
"15",5,"258","2","2","180","74",""
"15",6,"NA","NA","NA","NA","NA","1"
"16",1,"NA","NA","NA","NA","NA","1"
"16",2,"NA","NA","NA","NA","NA","1"
"16",3,"NA","NA","NA","NA","NA","1"
"16",4,"29","0","0","16","13",""
"16",5,"0","0","0","0","0",""
