entidad,actosinv,totalca1
"01",1,"0"
"01",2,"0"
"01",3,"0"
"01",9,""
"02",1,"NSS"
"02",2,"NSS"
"02",3,"NSS"
"02",9,""
"03",1,"NSS"
"03",2,"NSS"
"03",3,"NSS"
"03",9,""
"04",1,"NSS"
"04",2,"NSS"
"04",3,"NSS"
"04",9,""
"05",1,"0"
"05",2,"0"
"05",3,"0"
"05",9,""
"06",1,"15644"
"06",2,"1866"
"06",3,"17510"
"06",9,""
"07",1,"NSS"
"07",2,"NSS"
"07",3,"NSS"
"07",9,""
"08",1,"NSS"
"08",2,"NSS"
"08",3,"NSS"
"08",9,""
"09",1,"NSS"
"09",2,"NSS"
"09",3,"NSS"
"09",9,""
"10",1,"12169"
"10",2,"140"
"10",3,"12309"
"10",9,""
"11",1,"NSS"
"11",2,"NSS"
"11",3,"NSS"
"11",9,""
"12",1,"2581"
"12",2,"46"
"12",3,"2627"
"12",9,""
"13",1,"4398"
"13",2,"32"
"13",3,"4430"
"13",9,""
"14",1,"7993"
"14",2,"89"
"14",3,"8082"
"14",9,""
"15",1,"26941"
"15",2,"118"
"15",3,"27059"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",9,""
"17",1,"NSS"
"17",2,"190"
"17",3,"1175"
"17",9,"985"
"18",1,"NSS"
"18",2,"NSS"
"18",3,"1534"
"18",9,"1534"
"19",1,"12907"
"19",2,"0"
"19",3,"12907"
"19",9,""
"20",1,"0"
"20",2,"0"
"20",3,"0"
"20",9,""
"21",1,"NSS"
"21",2,"NSS"
"21",3,"NSS"
"21",9,""
"22",1,"501"
"22",2,"69"
"22",3,"570"
"22",9,""
"23",1,"NSS"
"23",2,"NSS"
"23",3,"2795"
"23",9,"2795"
"24",1,"444"
"24",2,"54"
"24",3,"498"
"24",9,""
"25",1,"1636"
"25",2,"26"
"25",3,"1662"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",9,""
"27",1,"6196"
"27",2,"45"
"27",3,"6241"
"27",9,""
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",9,""
"29",1,"218"
"29",2,"5"
"29",3,"223"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",9,""
"31",1,"NSS"
"31",2,"NSS"
"31",3,"895"
"31",9,"895"
"32",1,"NSS"
"32",2,"NSS"
"32",3,"NSS"
"32",9,""
