entidad,mat_alte,reparatt,repara1,repara2,repara3,repara4
"01",1,"NA","NA","NA","NA","NA"
"01",2,"NA","NA","NA","NA","NA"
"01",3,"NA","NA","NA","NA","NA"
"01",9,"","","","",""
"02",1,"79","79","0","0","0"
"02",2,"0","0","0","0","0"
"02",3,"0","0","0","0","0"
"02",9,"","","","",""
"03",1,"1","1","0","0","0"
"03",2,"0","0","0","0","0"
"03",3,"0","0","0","0","0"
"03",9,"","","","",""
"04",1,"NA","NA","NA","NA","NA"
"04",2,"NA","NA","NA","NA","NA"
"04",3,"NA","NA","NA","NA","NA"
"04",9,"","","","",""
"05",1,"NA","NA","NA","NA","NA"
"05",2,"NA","NA","NA","NA","NA"
"05",3,"NA","NA","NA","NA","NA"
"05",9,"","","","",""
"06",1,"NA","NA","NA","NA","NA"
"06",2,"NA","NA","NA","NA","NA"
"06",3,"NA","NA","NA","NA","NA"
"06",9,"","","","",""
"07",1,"NA","NA","NA","NA","NA"
"07",2,"NA","NA","NA","NA","NA"
"07",3,"NA","NA","NA","NA","NA"
"07",9,"","","","",""
"08",1,"15","11","4","0","0"
"08",2,"0","0","0","0","0"
"08",3,"0","0","0","0","0"
"08",9,"","","","",""
"09",1,"0","0","0","0","0"
"09",2,"7","0","0","0","7"
"09",3,"0","0","0","0","0"
"09",9,"","","","",""
"10",1,"NA","NA","NA","NA","NA"
"10",2,"NA","NA","NA","NA","NA"
"10",3,"NA","NA","NA","NA","NA"
"10",9,"","","","",""
"11",1,"7","0","0","0","7"
"11",2,"0","0","0","0","0"
"11",3,"0","0","0","0","0"
"11",9,"","","","",""
"12",1,"NA","NA","NA","NA","NA"
"12",2,"NA","NA","NA","NA","NA"
"12",3,"NA","NA","NA","NA","NA"
"12",9,"","","","",""
"13",1,"NA","NA","NA","NA","NA"
"13",2,"NA","NA","NA","NA","NA"
"13",3,"NA","NA","NA","NA","NA"
"13",9,"","","","",""
"14",1,"NA","NA","NA","NA","NA"
"14",2,"NA","NA","NA","NA","NA"
"14",3,"NA","NA","NA","NA","NA"
"14",9,"","","","",""
"15",1,"NA","NA","NA","NA","NA"
"15",2,"NA","NA","NA","NA","NA"
"15",3,"NA","NA","NA","NA","NA"
"15",9,"","","","",""
"16",1,"5","5","0","0","0"
"16",2,"0","0","0","0","0"
"16",3,"0","0","0","0","0"
"16",9,"","","","",""
"17",1,"5","5","0","0","0"
"17",2,"0","0","0","0","0"
"17",3,"0","0","0","0","0"
"17",9,"","","","",""
"18",1,"NA","NA","NA","NA","NA"
"18",2,"NA","NA","NA","NA","NA"
"18",3,"NA","NA","NA","NA","NA"
"18",9,"","","","",""
"19",1,"NA","NA","NA","NA","NA"
"19",2,"NA","NA","NA","NA","NA"
"19",3,"NA","NA","NA","NA","NA"
"19",9,"","","","",""
"20",1,"16","0","0","16","0"
"20",2,"40","20","6","14","0"
"20",3,"75","23","14","38","0"
"20",9,"","","","",""
"21",1,"56","56","0","0","0"
"21",2,"0","0","0","0","0"
"21",3,"0","0","0","0","0"
"21",9,"","","","",""
"22",1,"NA","NA","NA","NA","NA"
"22",2,"NA","NA","NA","NA","NA"
"22",3,"NA","NA","NA","NA","NA"
"22",9,"","","","",""
"23",1,"NA","NA","NA","NA","NA"
"23",2,"NA","NA","NA","NA","NA"
"23",3,"NA","NA","NA","NA","NA"
"23",9,"","","","",""
"24",1,"32","0","29","3","0"
"24",2,"3","3","0","0","0"
"24",3,"0","0","0","0","0"
"24",9,"","","","",""
"25",1,"1","0","0","1","0"
"25",2,"0","0","0","0","0"
"25",3,"0","0","0","0","0"
"25",9,"","","","",""
"26",1,"NA","NA","NA","NA","NA"
"26",2,"NA","NA","NA","NA","NA"
"26",3,"NA","NA","NA","NA","NA"
"26",9,"","","","",""
"27",1,"NA","NA","NA","NA","NA"
"27",2,"NA","NA","NA","NA","NA"
"27",3,"NA","NA","NA","NA","NA"
"27",9,"","","","",""
"28",1,"NSS","NSS","NSS","NSS","NSS"
"28",2,"NSS","NSS","NSS","NSS","NSS"
"28",3,"0","0","0","0","0"
"28",9,"","","","",""
"29",1,"NA","NA","NA","NA","NA"
"29",2,"NA","NA","NA","NA","NA"
"29",3,"NA","NA","NA","NA","NA"
"29",9,"","","","",""
"30",1,"NA","NA","NA","NA","NA"
"30",2,"NA","NA","NA","NA","NA"
"30",3,"NA","NA","NA","NA","NA"
"30",9,"","","","",""
"31",1,"NA","NA","NA","NA","NA"
"31",2,"NA","NA","NA","NA","NA"
"31",3,"NA","NA","NA","NA","NA"
"31",9,"","","","",""
"32",1,"NA","NA","NA","NA","NA"
"32",2,"NA","NA","NA","NA","NA"
"32",3,"NA","NA","NA","NA","NA"
"32",9,"","","","",""
