entidad,mater_jr,reparatt,repara1,repara2,repara3,repara4
"01",1,"NA","NA","NA","NA","NA"
"01",2,"NA","NA","NA","NA","NA"
"01",3,"NA","NA","NA","NA","NA"
"01",4,"NA","NA","NA","NA","NA"
"01",9,"","","","",""
"02",1,"NA","NA","NA","NA","NA"
"02",2,"NA","NA","NA","NA","NA"
"02",3,"NA","NA","NA","NA","NA"
"02",4,"NA","NA","NA","NA","NA"
"02",9,"","","","",""
"03",1,"NA","NA","NA","NA","NA"
"03",2,"NA","NA","NA","NA","NA"
"03",3,"NA","NA","NA","NA","NA"
"03",4,"NA","NA","NA","NA","NA"
"03",9,"","","","",""
"04",1,"NA","NA","NA","NA","NA"
"04",2,"NA","NA","NA","NA","NA"
"04",3,"NA","NA","NA","NA","NA"
"04",4,"NA","NA","NA","NA","NA"
"04",9,"","","","",""
"05",1,"1","1","0","0","0"
"05",2,"0","0","0","0","0"
"05",3,"0","0","0","0","0"
"05",4,"NA","NA","NA","NA","NA"
"05",9,"","","","",""
"06",1,"NA","NA","NA","NA","NA"
"06",2,"NA","NA","NA","NA","NA"
"06",3,"NA","NA","NA","NA","NA"
"06",4,"NA","NA","NA","NA","NA"
"06",9,"","","","",""
"07",1,"NA","NA","NA","NA","NA"
"07",2,"NA","NA","NA","NA","NA"
"07",3,"NA","NA","NA","NA","NA"
"07",4,"NA","NA","NA","NA","NA"
"07",9,"","","","",""
"08",1,"NA","NA","NA","NA","NA"
"08",2,"NA","NA","NA","NA","NA"
"08",3,"NA","NA","NA","NA","NA"
"08",4,"NA","NA","NA","NA","NA"
"08",9,"","","","",""
"09",1,"NA","NA","NA","NA","NA"
"09",2,"NA","NA","NA","NA","NA"
"09",3,"NA","NA","NA","NA","NA"
"09",4,"NA","NA","NA","NA","NA"
"09",9,"","","","",""
"10",1,"0","0","0","0","0"
"10",2,"4","1","0","3","0"
"10",3,"0","0","0","0","0"
"10",4,"NA","NA","NA","NA","NA"
"10",9,"","","","",""
"11",1,"1253","1253","0","0","0"
"11",2,"30","30","0","0","0"
"11",3,"0","0","0","0","0"
"11",4,"0","0","0","0","0"
"11",9,"","","","",""
"12",1,"NA","NA","NA","NA","NA"
"12",2,"5","0","0","5","0"
"12",3,"NA","NA","NA","NA","NA"
"12",4,"NA","NA","NA","NA","NA"
"12",9,"","","","",""
"13",1,"NA","NA","NA","NA","NA"
"13",2,"NA","NA","NA","NA","NA"
"13",3,"NA","NA","NA","NA","NA"
"13",4,"NA","NA","NA","NA","NA"
"13",9,"","","","",""
"14",1,"NA","NA","NA","NA","NA"
"14",2,"NA","NA","NA","NA","NA"
"14",3,"NA","NA","NA","NA","NA"
"14",4,"NA","NA","NA","NA","NA"
"14",9,"","","","",""
"15",1,"NSS","NSS","NSS","NSS","NSS"
"15",2,"NSS","NSS","NSS","NSS","NSS"
"15",3,"NSS","NSS","NSS","NSS","NSS"
"15",4,"NSS","NSS","NSS","NSS","NSS"
"15",9,"","","","",""
"16",1,"NA","NA","NA","NA","NA"
"16",2,"NA","NA","NA","NA","NA"
"16",3,"NA","NA","NA","NA","NA"
"16",4,"NA","NA","NA","NA","NA"
"16",9,"","","","",""
"17",1,"NA","NA","NA","NA","NA"
"17",2,"NA","NA","NA","NA","NA"
"17",3,"NA","NA","NA","NA","NA"
"17",4,"NA","NA","NA","NA","NA"
"17",9,"","","","",""
"18",1,"NA","NA","NA","NA","NA"
"18",2,"NA","NA","NA","NA","NA"
"18",3,"NA","NA","NA","NA","NA"
"18",4,"NA","NA","NA","NA","NA"
"18",9,"","","","",""
"19",1,"NA","NA","NA","NA","NA"
"19",2,"NA","NA","NA","NA","NA"
"19",3,"NA","NA","NA","NA","NA"
"19",4,"NA","NA","NA","NA","NA"
"19",9,"","","","",""
"20",1,"9","0","6","3","0"
"20",2,"0","0","0","0","0"
"20",3,"0","0","0","0","0"
"20",4,"0","0","0","0","0"
"20",9,"","","","",""
"21",1,"NA","NA","NA","NA","NA"
"21",2,"NA","NA","NA","NA","NA"
"21",3,"NA","NA","NA","NA","NA"
"21",4,"NA","NA","NA","NA","NA"
"21",9,"","","","",""
"22",1,"NA","NA","NA","NA","NA"
"22",2,"NA","NA","NA","NA","NA"
"22",3,"NA","NA","NA","NA","NA"
"22",4,"NA","NA","NA","NA","NA"
"22",9,"","","","",""
"23",1,"2","0","0","2","0"
"23",2,"0","0","0","0","0"
"23",3,"0","0","0","0","0"
"23",4,"NA","NA","NA","NA","NA"
"23",9,"","","","",""
"24",1,"NA","NA","NA","NA","NA"
"24",2,"NA","NA","NA","NA","NA"
"24",3,"NA","NA","NA","NA","NA"
"24",4,"NA","NA","NA","NA","NA"
"24",9,"","","","",""
"25",1,"NA","NA","NA","NA","NA"
"25",2,"NA","NA","NA","NA","NA"
"25",3,"NA","NA","NA","NA","NA"
"25",4,"NA","NA","NA","NA","NA"
"25",9,"","","","",""
"26",1,"NA","NA","NA","NA","NA"
"26",2,"NA","NA","NA","NA","NA"
"26",3,"NA","NA","NA","NA","NA"
"26",4,"NA","NA","NA","NA","NA"
"26",9,"","","","",""
"27",1,"NSS","NSS","NSS","NSS","NSS"
"27",2,"NSS","NSS","NSS","NSS","NSS"
"27",3,"NSS","NSS","NSS","NSS","NSS"
"27",4,"NSS","NSS","NSS","NSS","NSS"
"27",9,"","","","",""
"28",1,"0","0","0","0","0"
"28",2,"0","0","0","0","0"
"28",3,"0","0","0","0","0"
"28",4,"1","0","1","0","0"
"28",9,"","","","",""
"29",1,"NA","NA","NA","NA","NA"
"29",2,"NA","NA","NA","NA","NA"
"29",3,"NA","NA","NA","NA","NA"
"29",4,"NA","NA","NA","NA","NA"
"29",9,"","","","",""
"30",1,"NA","NA","NA","NA","NA"
"30",2,"NA","NA","NA","NA","NA"
"30",3,"NA","NA","NA","NA","NA"
"30",4,"NA","NA","NA","NA","NA"
"30",9,"","","","",""
