entidad,acueotro,totalca1
"01",1,"25"
"01",2,"0"
"01",3,"0"
"01",9,""
"02",1,"0"
"02",2,"0"
"02",3,"0"
"02",9,""
"03",1,"NSS"
"03",2,"NSS"
"03",3,"NSS"
"03",9,""
"04",1,"0"
"04",2,"0"
"04",3,"0"
"04",9,""
"05",1,"0"
"05",2,"0"
"05",3,"0"
"05",9,""
"06",1,"NSS"
"06",2,"NSS"
"06",3,"NSS"
"06",9,""
"07",1,"NSS"
"07",2,"NSS"
"07",3,"NSS"
"07",9,""
"08",1,"NSS"
"08",2,"NSS"
"08",3,"NSS"
"08",9,""
"09",1,"6158"
"09",2,"0"
"09",3,"0"
"09",9,""
"10",1,"36"
"10",2,"0"
"10",3,"35"
"10",9,""
"11",1,"1098"
"11",2,"0"
"11",3,"0"
"11",9,""
"12",1,"129"
"12",2,"57"
"12",3,"20"
"12",9,""
"13",1,"122"
"13",2,"11"
"13",3,"26"
"13",9,""
"14",1,"155"
"14",2,"9"
"14",3,"0"
"14",9,""
"15",1,"0"
"15",2,"0"
"15",3,"0"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",9,""
"17",1,"NSS"
"17",2,"NSS"
"17",3,"NSS"
"17",9,""
"18",1,"NSS"
"18",2,"NSS"
"18",3,"0"
"18",9,""
"19",1,"0"
"19",2,"0"
"19",3,"0"
"19",9,""
"20",1,"NSS"
"20",2,"NSS"
"20",3,"NSS"
"20",9,""
"21",1,"NSS"
"21",2,"NSS"
"21",3,"NSS"
"21",9,""
"22",1,"480"
"22",2,"121"
"22",3,"72"
"22",9,""
"23",1,"40"
"23",2,"10"
"23",3,"0"
"23",9,""
"24",1,"2"
"24",2,"2"
"24",3,"0"
"24",9,""
"25",1,"53"
"25",2,"0"
"25",3,"0"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",9,""
"27",1,"0"
"27",2,"0"
"27",3,"0"
"27",9,""
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",9,""
"29",1,"NSS"
"29",2,"NSS"
"29",3,"NSS"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",9,""
"31",1,"NSS"
"31",2,"NSS"
"31",3,"NSS"
"31",9,""
"32",1,"NSS"
"32",2,"NSS"
"32",3,"NSS"
"32",9,""
