entidad,catadcoa,avinnitt,avinni1,avinni2,avinni3,avinni4,avinni5,avinni6
"01",11,"268","21","5","66","14","1","161"
"01",12,"0","0","0","0","0","0","0"
"01",13,"0","0","0","0","0","0","0"
"01",14,"0","0","0","0","0","0","0"
"01",15,"0","0","0","0","0","0","0"
"01",16,"0","0","0","0","0","0","0"
"01",21,"0","0","0","0","0","0","0"
"01",22,"0","0","0","0","0","0","0"
"01",23,"0","0","0","0","0","0","0"
"01",24,"0","0","0","0","0","0","0"
"01",25,"0","0","0","0","0","0","0"
"01",26,"0","0","0","0","0","0","0"
"01",99,"","","","","","",""
"02",11,"1352","608","73","13","563","89","6"
"02",12,"0","0","0","0","0","0","0"
"02",13,"0","0","0","0","0","0","0"
"02",14,"0","0","0","0","0","0","0"
"02",15,"0","0","0","0","0","0","0"
"02",16,"0","0","0","0","0","0","0"
"02",21,"0","0","0","0","0","0","0"
"02",22,"0","0","0","0","0","0","0"
"02",23,"0","0","0","0","0","0","0"
"02",24,"0","0","0","0","0","0","0"
"02",25,"0","0","0","0","0","0","0"
"02",26,"0","0","0","0","0","0","0"
"02",99,"","","","","","",""
"03",11,"220","131","42","38","9","0","0"
"03",12,"7","4","2","0","0","1","0"
"03",13,"1","1","0","0","0","0","0"
"03",14,"0","0","0","0","0","0","0"
"03",15,"0","0","0","0","0","0","0"
"03",16,"0","0","0","0","0","0","0"
"03",21,"0","0","0","0","0","0","0"
"03",22,"0","0","0","0","0","0","0"
"03",23,"0","0","0","0","0","0","0"
"03",24,"0","0","0","0","0","0","0"
"03",25,"0","0","0","0","0","0","0"
"03",26,"0","0","0","0","0","0","0"
"03",99,"","","","","","",""
"04",11,"134","0","0","0","125","9","0"
"04",12,"0","0","0","0","0","0","0"
"04",13,"0","0","0","0","0","0","0"
"04",14,"0","0","0","0","0","0","0"
"04",15,"0","0","0","0","0","0","0"
"04",16,"0","0","0","0","0","0","0"
"04",21,"1","0","0","0","1","0","0"
"04",22,"0","0","0","0","0","0","0"
"04",23,"0","0","0","0","0","0","0"
"04",24,"0","0","0","0","0","0","0"
"04",25,"0","0","0","0","0","0","0"
"04",26,"0","0","0","0","0","0","0"
"04",99,"","","","","","",""
"05",11,"1066","130","13","0","816","107","0"
"05",12,"0","0","0","0","0","0","0"
"05",13,"0","0","0","0","0","0","0"
"05",14,"0","0","0","0","0","0","0"
"05",15,"0","0","0","0","0","0","0"
"05",16,"0","0","0","0","0","0","0"
"05",21,"0","0","0","0","0","0","0"
"05",22,"0","0","0","0","0","0","0"
"05",23,"0","0","0","0","0","0","0"
"05",24,"0","0","0","0","0","0","0"
"05",25,"0","0","0","0","0","0","0"
"05",26,"0","0","0","0","0","0","0"
"05",99,"","","","","","",""
"07",11,"269","149","9","0","99","7","5"
"07",12,"25","11","4","0","7","2","1"
"07",13,"6","1","1","0","4","0","0"
"07",14,"1","0","0","0","1","0","0"
