entidad,con_estu,avinhmtt,avinhm1,avinhm2,avinhm4,avinhm5
"01",1,"NSS","NSS","NSS","NSS","NSS"
"01",2,"NSS","NSS","NSS","NSS","NSS"
"01",3,"41","21","5","14","1"
"02",1,"NSS","NSS","NSS","NSS","NSS"
"02",2,"NSS","NSS","NSS","NSS","NSS"
"02",3,"1333","608","73","563","89"
"03",1,"4","NSS","NSS","3","1"
"03",2,"1","NSS","NSS","1","0"
"03",3,"185","136","44","5","0"
"04",1,"31","0","0","30","1"
"04",2,"104","0","0","96","8"
"04",3,"0","0","0","0","0"
"05",1,"NSS","NSS","NSS","NSS","NSS"
"05",2,"NSS","NSS","NSS","NSS","NSS"
"05",3,"1066","130","13","816","107"
"07",1,"72","36","10","25","1"
"07",2,"111","59","0","48","4"
"07",3,"112","66","4","38","4"
"08",1,"NSS","0","0","NSS","NSS"
"08",2,"NSS","0","0","NSS","NSS"
"08",3,"2119","0","0","1924","195"
"09",1,"NSS","NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS","NSS"
"09",3,"11658","2260","1151","5318","2929"
"10",1,"388","0","0","251","137"
"10",2,"431","0","0","317","114"
"10",3,"0","0","0","0","0"
"11",1,"NSS","NSS","NSS","NSS","NSS"
"11",2,"NSS","NSS","NSS","NSS","NSS"
"11",3,"2854","1316","196","1154","188"
"12",1,"290","0","0","250","40"
"12",2,"33","0","0","28","5"
"12",3,"13","0","0","10","3"
"13",1,"641","430","89","112","10"
"13",2,"0","0","0","0","0"
"13",3,"31","17","0","14","0"
"14",1,"495","203","58","170","64"
"14",2,"32","28","4","NSS","NSS"
"14",3,"622","220","57","274","71"
"15",1,"639","273","68","279","19"
"15",2,"524","163","44","264","53"
"15",3,"1531","563","366","484","118"
"16",1,"NSS","NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"17",1,"NSS","NSS","0","NSS","NSS"
"17",2,"NSS","NSS","0","NSS","NSS"
"17",3,"352","3","0","301","48"
"18",1,"NSS","NSS","NSS","NSS","NSS"
"18",2,"NSS","NSS","NSS","NSS","NSS"
"18",3,"261","211","24","24","2"
"19",1,"1236","0","0","1025","211"
"19",2,"520","0","0","387","133"
"19",3,"2307","0","0","1762","545"
"20",1,"NSS","0","0","NSS","NSS"
"20",2,"NSS","0","0","NSS","NSS"
"20",3,"362","0","0","303","59"
"21",1,"NSS","NSS","NSS","NSS","NSS"
"21",2,"NSS","NSS","NSS","NSS","NSS"
"21",3,"612","262","56","236","58"
"22",1,"394","0","0","301","93"
"22",2,"465","0","0","418","47"
"22",3,"0","0","0","0","0"
"23",1,"343","108","18","196","21"
"23",2,"72","14","6","29","23"
"23",3,"0","0","0","0","0"
"24",1,"NSS","NSS","NSS","NSS","NSS"
"24",2,"NSS","NSS","NSS","NSS","NSS"
"24",3,"110","60","11","31","8"
"25",1,"292","0","0","238","54"
"25",2,"5","0","0","5","NSS"
"25",3,"306","0","0","230","76"
"26",1,"NSS","NSS","NSS","NSS","NSS"
"26",2,"NSS","NSS","NSS","NSS","NSS"
"26",3,"1321","849","60","361","51"
"27",1,"23","0","0","22","1"
"27",2,"61","0","0","55","6"
"27",3,"470","0","0","437","33"
"28",1,"NSS","NSS","NSS","NSS","NSS"
"28",2,"NSS","NSS","NSS","NSS","NSS"
"28",3,"1224","771","51","278","124"
"29",1,"NSS","NSS","NSS","NSS","0"
"29",2,"NSS","NSS","NSS","NSS","0"
"29",3,"59","34","10","15","0"
"30",1,"NSS","NSS","NSS","NSS","NSS"
"30",2,"NSS","NSS","NSS","NSS","NSS"
"30",3,"138","2","1","112","23"
"31",1,"NSS","0","0","NSS","NSS"
"31",2,"NSS","0","0","NSS","NSS"
"31",3,"727","0","0","608","119"
"32",1,"165","0","0","149","16"
"32",2,"8","0","0","8","0"
"32",3,"201","0","0","165","36"
