entidad,edadmeno,avinhmtt,avinhm1,avinhm2,avinhm4,avinhm5
"01",1,"0","0","0","0","0"
"01",2,"0","0","0","0","0"
"01",3,"4","3","1","0","0"
"01",4,"13","6","2","5","0"
"01",5,"8","5","0","3","0"
"01",6,"16","7","2","6","1"
"01",7,"0","0","0","0","0"
"02",1,"8","3","1","2","2"
"02",2,"52","7","3","27","15"
"02",3,"98","20","2","63","13"
"02",4,"151","42","5","92","12"
"02",5,"215","55","6","138","16"
"02",6,"342","118","10","195","19"
"02",7,"467","363","46","46","12"
"03",1,"4","1","2","1","0"
"03",2,"9","6","3","0","0"
"03",3,"9","6","3","0","0"
"03",4,"16","12","4","0","0"
"03",5,"18","12","3","3","0"
"03",6,"27","18","3","5","1"
"03",7,"107","81","26","0","0"
"04",1,"3","0","0","3","0"
"04",2,"15","0","0","15","0"
"04",3,"25","0","0","25","0"
"04",4,"21","0","0","17","4"
"04",5,"38","0","0","33","5"
"04",6,"33","0","0","33","0"
"04",7,"0","0","0","0","0"
"05",1,"21","0","0","16","5"
"05",2,"30","3","0","22","5"
"05",3,"115","16","3","80","16"
"05",4,"169","30","1","129","9"
"05",5,"265","20","3","210","32"
"05",6,"466","61","6","359","40"
"05",7,"0","0","0","0","0"
"07",1,"5","2","0","3","0"
"07",2,"9","3","0","5","1"
"07",3,"34","13","6","13","2"
"07",4,"37","20","3","14","0"
"07",5,"64","33","2","27","2"
"07",6,"120","73","0","43","4"
"07",7,"26","17","3","6","0"
"08",1,"44","0","0","41","3"
"08",2,"98","0","0","84","14"
"08",3,"233","0","0","206","27"
"08",4,"351","0","0","318","33"
"08",5,"529","0","0","486","43"
"08",6,"851","0","0","776","75"
"08",7,"13","0","0","13","0"
"09",1,"101","28","2","58","13"
"09",2,"188","43","6","105","34"
"09",3,"356","71","5","198","82"
"09",4,"650","144","15","391","100"
"09",5,"1036","225","16","661","134"
"09",6,"1373","317","15","858","183"
"09",7,"7954","1432","1092","3047","2383"
"10",1,"75","0","0","40","35"
"10",2,"99","0","0","60","39"
"10",3,"192","0","0","116","76"
"10",4,"139","0","0","99","40"
"10",5,"152","0","0","113","39"
"10",6,"162","0","0","140","22"
"10",7,"0","0","0","0","0"
"11",1,"101","39","9","39","14"
"11",2,"196","75","19","74","28"
"11",3,"328","135","31","131","31"
"11",4,"512","217","45","222","28"
"11",5,"743","362","39","304","38"
"11",6,"944","472","50","374","48"
"11",7,"30","16","3","10","1"
"12",1,"8","0","0","7","1"
"12",2,"12","0","0","9","3"
"12",3,"33","0","0","27","6"
"12",4,"62","0","0","51","11"
"12",5,"98","0","0","85","13"
"12",6,"110","0","0","99","11"
"12",7,"13","0","0","10","3"
"13",1,"38","29","0","9","0"
"13",2,"51","24","9","16","2"
"13",3,"94","60","22","10","2"
"13",4,"232","190","19","21","2"
"13",5,"99","50","22","25","2"
"13",6,"158","94","17","45","2"
"13",7,"0","0","0","0","0"
"14",1,"30","8","1","18","3"
"14",2,"60","14","5","30","11"
"14",3,"73","17","7","30","19"
"14",4,"154","64","11","53","26"
"14",5,"211","61","16","106","28"
"14",6,"396","194","30","151","21"
"14",7,"225","93","49","56","27"
"15",1,"3","3","0","0","0"
"15",2,"54","14","4","28","8"
"15",3,"151","43","10","83","15"
"15",4,"316","103","30","153","30"
"15",5,"639","273","68","279","19"
"15",6,"1140","430","108","484","118"
"15",7,"391","133","258","0","0"
"16",1,"NSS","NSS","NSS","NSS","NSS"
