entidad,gdoestad,avinhmtt,avinhm1,avinhm2,avinhm4,avinhm5
"01",1,"1","0","1","0","0"
"01",2,"6","3","0","3","0"
"01",3,"20","10","4","6","0"
"01",4,"5","4","0","1","0"
"01",5,"5","3","0","1","1"
"01",6,"4","1","0","3","0"
"02",1,"15","13","2","0","0"
"02",2,"95","20","2","64","9"
"02",3,"499","145","14","299","41"
"02",4,"149","64","5","67","13"
"02",5,"0","0","0","0","0"
"02",6,"575","366","50","133","26"
"03",1,"NSS","NSS","NSS","NSS","NSS"
"03",2,"NSS","NSS","NSS","NSS","NSS"
"03",3,"NSS","NSS","NSS","NSS","NSS"
"03",4,"NSS","NSS","NSS","NSS","NSS"
"03",5,"NSS","NSS","NSS","NSS","NSS"
"03",6,"190","136","44","9","1"
"04",1,"0","0","0","0","0"
"04",2,"90","0","0","90","0"
"04",3,"35","0","0","29","6"
"04",4,"10","0","0","7","3"
"04",5,"0","0","0","0","0"
"04",6,"0","0","0","0","0"
"05",1,"24","0","0","16","8"
"05",2,"78","0","0","45","33"
"05",3,"162","16","5","122","19"
"05",4,"141","20","4","109","8"
"05",5,"115","22","3","84","6"
"05",6,"546","72","1","440","33"
"07",1,"8","4","0","4","0"
"07",2,"81","46","2","30","3"
"07",3,"89","49","8","31","1"
"07",4,"28","16","0","12","0"
"07",5,"0","0","0","0","0"
"07",6,"89","46","4","34","5"
"08",1,"687","0","0","682","5"
"08",2,"102","0","0","89","13"
"08",3,"609","0","0","501","108"
"08",4,"143","0","0","118","25"
"08",5,"0","0","0","0","0"
"08",6,"578","0","0","534","44"
"09",1,"NSS","NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS","NSS"
"09",3,"NSS","NSS","NSS","NSS","NSS"
"09",4,"NSS","NSS","NSS","NSS","NSS"
"09",5,"NSS","NSS","NSS","NSS","NSS"
"09",6,"11658","2260","1151","5318","2929"
"10",1,"165","0","0","145","20"
"10",2,"229","0","0","149","80"
"10",3,"345","0","0","230","115"
"10",4,"65","0","0","34","31"
"10",5,"15","0","0","10","5"
"10",6,"0","0","0","0","0"
"11",1,"52","29","2","19","2"
"11",2,"941","477","35","392","37"
"11",3,"1443","624","117","580","122"
"11",4,"247","94","31","104","18"
"11",5,"4","2","1","1","0"
"11",6,"167","90","10","58","9"
"12",1,"33","0","0","28","5"
"12",2,"52","0","0","47","5"
"12",3,"175","0","0","145","30"
"12",4,"63","0","0","58","5"
"12",5,"0","0","0","0","0"
"12",6,"13","0","0","10","3"
"13",1,"0","0","0","0","0"
"13",2,"99","70","15","14","0"
"13",3,"463","315","55","84","9"
"13",4,"83","49","19","14","1"
"13",5,"0","0","0","0","0"
"13",6,"27","13","0","14","0"
"14",1,"5","2","0","3","0"
"14",2,"194","9","1","168","16"
"14",3,"147","27","9","88","23"
"14",4,"79","50","10","16","3"
"14",5,"10","10","NSS","NSS","NSS"
"14",6,"714","353","99","169","93"
"15",1,"0","0","0","0","0"
"15",2,"524","163","44","264","53"
"15",3,"639","273","68","279","19"
"15",4,"0","0","0","0","0"
"15",5,"0","0","0","0","0"
"15",6,"1531","563","366","484","118"
"16",1,"NSS","NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS"
"17",1,"12","NSS","0","11","1"
"17",2,"225","NSS","0","198","27"
"17",3,"112","NSS","0","92","20"
"17",4,"NSS","NSS","0","0","0"
"17",5,"NSS","NSS","0","0","0"
"17",6,"3","3","0","0","0"
"18",1,"2","2","NSS","NSS","NSS"
"18",2,"37","27","5","5","NSS"
"18",3,"110","92","12","6","NSS"
"18",4,"39","32","2","5","NSS"
"18",5,"NSS","NSS","NSS","NSS","NSS"
"18",6,"73","58","5","8","2"
"19",1,"520","0","0","387","133"
"19",2,"593","0","0","491","102"
"19",3,"2222","0","0","1709","513"
"19",4,"702","0","0","570","132"
"19",5,"26","0","0","17","9"
"19",6,"0","0","0","0","0"
"20",1,"17","0","0","15","2"
"20",2,"83","0","0","66","17"
"20",3,"75","0","0","64","11"
"20",4,"3","0","0","3","0"
"20",5,"0","0","0","0","0"
"20",6,"184","0","0","155","29"
"21",1,"29","17","3","8","1"
"21",2,"80","39","6","32","3"
"21",3,"242","117","28","71","26"
"21",4,"135","57","15","51","12"
"21",5,"8","2","4","2","0"
"21",6,"118","30","0","72","16"
"22",1,"21","0","0","18","3"
"22",2,"228","0","0","202","26"
"22",3,"485","0","0","396","89"
"22",4,"75","0","0","59","16"
"22",5,"NSS","0","0","NSS","NSS"
"22",6,"50","0","0","44","6"
"23",1,"11","0","0","9","2"
"23",2,"14","2","0","12","0"
"23",3,"121","54","5","48","14"
"23",4,"256","66","19","156","15"
"23",5,"13","0","0","0","13"
"23",6,"0","0","0","0","0"
