entidad,averinve,sexoidtt,sexoid1,sexoid2,sexoid3
"01",1,"92","21","5","66"
"01",2,"176","14","1","161"
"02",1,"694","608","73","13"
"02",2,"658","563","89","6"
"03",1,"218","136","44","38"
"03",2,"10","9","1","0"
"04",1,"0","0","0","0"
"04",2,"135","126","9","0"
"05",1,"143","130","13","0"
"05",2,"923","816","107","0"
"07",1,"175","161","14","0"
"07",2,"126","111","9","6"
"08",1,"0","0","0","0"
"08",2,"2119","1924","195","0"
"09",1,"3967","2260","1151","556"
"09",2,"8527","5318","2929","280"
"10",1,"0","0","0","0"
"10",2,"892","568","251","73"
"11",1,"1639","1316","196","127"
"11",2,"1445","1154","188","103"
"12",1,"0","0","0","0"
"12",2,"337","288","48","1"
"13",1,"536","447","89","0"
"13",2,"136","126","10","0"
"14",1,"613","451","119","43"
"14",2,"587","444","135","8"
"15",1,"1477","999","478","0"
"15",2,"1217","1027","190","0"
"16",1,"34","NSS","NSS","34"
"16",2,"168","NSS","NSS","168"
"17",1,"3","3","0","0"
"17",2,"349","301","48","0"
"18",1,"235","211","24","0"
"18",2,"26","24","2","0"
"19",1,"0","0","0","0"
"19",2,"4129","3174","889","66"
"20",1,"0","0","0","0"
"20",2,"390","303","59","28"
"21",1,"333","262","56","15"
"21",2,"300","236","58","6"
"22",1,"0","0","0","0"
"22",2,"859","719","140","0"
"23",1,"146","122","24","0"
"23",2,"269","225","44","0"
"24",1,"71","60","11","0"
"24",2,"39","31","8","0"
"25",1,"0","0","0","0"
"25",2,"610","473","130","7"
"26",1,"909","849","60","0"
"26",2,"412","361","51","0"
"27",1,"0","0","0","0"
"27",2,"556","514","40","2"
"28",1,"822","771","51","0"
"28",2,"433","278","124","31"
"29",1,"47","34","10","3"
"29",2,"15","15","0","0"
"30",1,"3","2","1","0"
"30",2,"135","112","23","0"
"31",1,"0","0","0","0"
"31",2,"727","608","119","0"
"32",1,"0","0","0","0"
"32",2,"384","322","52","10"
