entidad,nacional,avinhmtt,avinhm1,avinhm2,avinhm4,avinhm5
"01",1,"41","21","5","14","1"
"01",2,"0","0","0","0","0"
"01",3,"0","0","0","0","0"
"01",4,"0","0","0","0","0"
"01",5,"0","0","0","0","0"
"01",6,"0","0","0","0","0"
"01",7,"0","0","0","0","0"
"01",8,"0","0","0","0","0"
"01",9,"0","0","0","0","0"
"01",10,"0","0","0","0","0"
"01",11,"0","0","0","0","0"
"01",12,"0","0","0","0","0"
"01",13,"0","0","0","0","0"
"01",14,"0","0","0","0","0"
"01",15,"0","0","0","0","0"
"01",16,"0","0","0","0","0"
"01",17,"0","0","0","0","0"
"01",18,"0","0","0","0","0"
"01",19,"0","0","0","0","0"
"01",20,"0","0","0","0","0"
"02",1,"817","244","25","474","74"
"02",2,"33","2","0","28","3"
"02",3,"0","0","0","0","0"
"02",4,"0","0","0","0","0"
"02",5,"0","0","0","0","0"
"02",6,"0","0","0","0","0"
"02",7,"0","0","0","0","0"
"02",8,"1","1","0","0","0"
"02",9,"0","0","0","0","0"
"02",10,"0","0","0","0","0"
"02",11,"0","0","0","0","0"
"02",12,"0","0","0","0","0"
"02",13,"0","0","0","0","0"
"02",14,"0","0","0","0","0"
"02",15,"0","0","0","0","0"
"02",16,"0","0","0","0","0"
"02",17,"0","0","0","0","0"
"02",18,"1","0","0","1","0"
"02",19,"0","0","0","0","0"
"02",20,"481","361","48","60","12"
"03",1,"190","136","44","9","1"
"03",2,"0","0","0","0","0"
"03",3,"0","0","0","0","0"
"03",4,"0","0","0","0","0"
"03",5,"0","0","0","0","0"
"03",6,"0","0","0","0","0"
"03",7,"0","0","0","0","0"
"03",8,"0","0","0","0","0"
"03",9,"0","0","0","0","0"
"03",10,"0","0","0","0","0"
"03",11,"0","0","0","0","0"
"03",12,"0","0","0","0","0"
"03",13,"0","0","0","0","0"
"03",14,"0","0","0","0","0"
"03",15,"0","0","0","0","0"
"03",16,"0","0","0","0","0"
"03",17,"0","0","0","0","0"
"03",18,"0","0","0","0","0"
"03",19,"0","0","0","0","0"
"03",20,"0","0","0","0","0"
"04",1,"134","0","0","125","9"
"04",2,"0","0","0","0","0"
"04",3,"0","0","0","0","0"
"04",4,"0","0","0","0","0"
"04",5,"0","0","0","0","0"
"04",6,"0","0","0","0","0"
"04",7,"0","0","0","0","0"
"04",8,"0","0","0","0","0"
"04",9,"0","0","0","0","0"
"04",10,"0","0","0","0","0"
"04",11,"0","0","0","0","0"
"04",12,"0","0","0","0","0"
"04",13,"0","0","0","0","0"
"04",14,"1","0","0","1","0"
"04",15,"0","0","0","0","0"
"04",16,"0","0","0","0","0"
"04",17,"0","0","0","0","0"
"04",18,"0","0","0","0","0"
"04",19,"0","0","0","0","0"
"04",20,"0","0","0","0","0"
"05",1,"992","130","13","766","83"
"05",2,"3","0","0","2","1"
"05",3,"NSS","0","0","NSS","NSS"
"05",4,"NSS","0","0","NSS","NSS"
"05",5,"NSS","0","0","NSS","NSS"
"05",6,"NSS","0","0","NSS","NSS"
"05",7,"NSS","0","0","NSS","NSS"
"05",8,"NSS","0","0","NSS","NSS"
"05",9,"NSS","0","0","NSS","NSS"
"05",10,"NSS","0","0","NSS","NSS"
"05",11,"NSS","0","0","NSS","NSS"
"05",12,"NSS","0","0","NSS","NSS"
"05",13,"NSS","0","0","NSS","NSS"
"05",14,"NSS","0","0","NSS","NSS"
"05",15,"NSS","0","0","NSS","NSS"
"05",16,"NSS","0","0","NSS","NSS"
"05",17,"NSS","0","0","NSS","NSS"
"05",18,"NSS","0","0","NSS","NSS"
"05",19,"NSS","0","0","NSS","NSS"
"05",20,"71","0","0","48","23"
"07",1,"284","157","14","104","9"
"07",2,"0","0","0","0","0"
"07",3,"0","0","0","0","0"
"07",4,"0","0","0","0","0"
"07",5,"0","0","0","0","0"
"07",6,"1","1","0","0","0"
"07",7,"4","1","0","3","0"
"07",8,"0","0","0","0","0"
"07",9,"0","0","0","0","0"
"07",10,"5","1","0","4","0"
"07",11,"0","0","0","0","0"
"07",12,"0","0","0","0","0"
"07",13,"0","0","0","0","0"
"07",14,"0","0","0","0","0"
"07",15,"0","0","0","0","0"
"07",16,"0","0","0","0","0"
"07",17,"0","0","0","0","0"
