entidad,proa_con,eosasxtt,eosasx1,eosasx2,eosasx3,eosasx4,eosasx5,eosasx6,eosasx7,eosasx8,eosasxnt
"01",1,"31","27","3","1","0","0","0","0","0",""
"01",2,"1","1","0","0","0","0","0","0","0",""
"01",3,"0","0","0","0","0","0","0","0","0",""
"01",4,"0","0","0","0","0","0","0","0","0",""
"01",5,"0","0","0","0","0","0","0","0","0",""
"01",6,"0","0","0","0","0","0","0","0","0",""
"01",9,"","","","","","","","","",""
"02",1,"144","120","10","13","1","0","0","0","0",""
"02",2,"3","2","0","1","0","0","0","0","0",""
"02",3,"0","0","0","0","0","0","0","0","0",""
"02",4,"1","0","1","0","0","0","0","0","0",""
"02",5,"0","0","0","0","0","0","0","0","0",""
"02",6,"0","0","0","0","0","0","0","0","0",""
"02",9,"","","","","","","","","",""
"03",1,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"03",2,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"03",3,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"03",4,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"03",5,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"03",6,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"03",9,"","","","","","","","","",""
"04",1,"0","0","0","0","0","0","0","0","0",""
"04",2,"0","0","0","0","0","0","0","0","0",""
"04",3,"0","0","0","0","0","0","0","0","0",""
"04",4,"0","0","0","0","0","0","0","0","0",""
"04",5,"0","0","0","0","0","0","0","0","0",""
"04",6,"0","0","0","0","0","0","0","0","0",""
"04",9,"","","","","","","","","",""
"05",1,"15","6","1","6","0","2","0","0","0",""
"05",2,"3","2","0","1","0","0","0","0","0",""
"05",3,"1","1","0","0","0","0","0","0","0",""
"05",4,"0","0","0","0","0","0","0","0","0",""
"05",5,"0","0","0","0","0","0","0","0","0",""
"05",6,"0","0","0","0","0","0","0","0","0",""
"05",9,"","","","","","","","","",""
"07",1,"23","0","0","0","0","13","2","8","NSS",""
"07",2,"1","0","0","0","0","0","0","1","0",""
"07",3,"0","0","0","0","0","0","0","0","0",""
"07",4,"0","0","0","0","0","0","0","0","0",""
"07",5,"0","0","0","0","0","0","0","0","0",""
"07",6,"0","0","0","0","0","0","0","0","0",""
"07",9,"1","","","","","","","","","1"
"08",1,"NSS","0","0","0","0","NSS","NSS","NSS","0",""
"08",2,"NSS","0","0","0","0","NSS","NSS","NSS","0",""
"08",3,"NSS","0","0","0","0","NSS","NSS","NSS","0",""
"08",4,"NSS","0","0","0","0","NSS","NSS","NSS","0",""
"08",5,"NSS","0","0","0","0","NSS","NSS","NSS","0",""
"08",6,"NSS","0","0","0","0","NSS","NSS","NSS","0",""
"08",9,"191","","","","","180","9","2","",""
"09",1,"525","462","28","28","1","5","1","0","0",""
"09",2,"13","13","0","0","0","0","0","0","0",""
"09",3,"2","2","0","0","0","0","0","0","0",""
"09",4,"1","1","0","0","0","0","0","0","0",""
"09",5,"0","0","0","0","0","0","0","0","0",""
"09",6,"0","0","0","0","0","0","0","0","0",""
"09",9,"","","","","","","","","",""
"10",1,"72","0","0","0","0","41","2","29","0",""
"10",2,"6","0","0","0","0","5","0","1","0",""
"10",3,"1","0","0","0","0","0","0","1","0",""
"10",4,"0","0","0","0","0","0","0","0","0",""
"10",5,"0","0","0","0","0","0","0","0","0",""
"10",6,"0","0","0","0","0","0","0","0","0",""
"10",9,"","","","","","","","","",""
"12",1,"5","0","0","0","0","4","1","0","0",""
"12",2,"0","0","0","0","0","0","0","0","0",""
"12",3,"0","0","0","0","0","0","0","0","0",""
"12",4,"0","0","0","0","0","0","0","0","0",""
"12",5,"0","0","0","0","0","0","0","0","0",""
"12",6,"0","0","0","0","0","0","0","0","0",""
"12",9,"","","","","","","","","",""
"13",1,"11","2","2","7","0","0","0","0","0",""
"13",2,"0","0","0","0","0","0","0","0","0",""
"13",3,"0","0","0","0","0","0","0","0","0",""
"13",4,"0","0","0","0","0","0","0","0","0",""
"13",5,"0","0","0","0","0","0","0","0","0",""
"13",6,"0","0","0","0","0","0","0","0","0",""
"13",9,"","","","","","","","","",""
"14",1,"173","157","11","4","1","0","0","0","0",""
"14",2,"9","6","2","1","0","0","0","0","0",""
"14",3,"0","0","0","0","0","0","0","0","0",""
"14",4,"0","0","0","0","0","0","0","0","0",""
"14",5,"0","0","0","0","0","0","0","0","0",""
"14",6,"0","0","0","0","0","0","0","0","0",""
"14",9,"","","","","","","","","",""
"15",1,"17","0","0","16","1","0","0","0","0",""
"15",2,"0","0","0","0","0","0","0","0","0",""
"15",3,"0","0","0","0","0","0","0","0","0",""
"15",4,"0","0","0","0","0","0","0","0","0",""
"15",5,"0","0","0","0","0","0","0","0","0",""
"15",6,"0","0","0","0","0","0","0","0","0",""
"15",9,"","","","","","","","","",""
"16",1,"0","0","0","0","0","0","0","0","0",""
"16",2,"2","2","0","0","0","0","0","0","0",""
"16",3,"0","0","0","0","0","0","0","0","0",""
"16",4,"0","0","0","0","0","0","0","0","0",""
"16",5,"0","0","0","0","0","0","0","0","0",""
"16",6,"0","0","0","0","0","0","0","0","0",""
"16",9,"","","","","","","","","",""
"17",1,"11","0","0","0","0","6","0","3","2",""
"17",2,"1","0","0","0","0","1","0","0","0",""
"17",3,"0","0","0","0","0","0","0","0","0",""
"17",4,"0","0","0","0","0","0","0","0","0",""
"17",5,"0","0","0","0","0","0","0","0","0",""
"17",6,"0","0","0","0","0","0","0","0","0",""
"17",9,"","","","","","","","","",""
"18",1,"29","25","1","3","0","0","0","0","0",""
"18",2,"3","3","0","0","0","0","0","0","0",""
"18",3,"0","0","0","0","0","0","0","0","0",""
"18",4,"0","0","0","0","0","0","0","0","0",""
"18",5,"0","0","0","0","0","0","0","0","0",""
"18",6,"0","0","0","0","0","0","0","0","0",""
"18",9,"","","","","","","","","",""
"19",1,"23","0","0","0","0","22","1","0","0",""
"19",2,"8","0","0","0","0","8","0","0","0",""
"19",3,"0","0","0","0","0","0","0","0","0",""
"19",4,"0","0","0","0","0","0","0","0","0",""
"19",5,"0","0","0","0","0","0","0","0","0",""
"19",6,"0","0","0","0","0","0","0","0","0",""
"19",9,"11","","","","","","","","","11"
"20",1,"13","0","0","0","0","11","0","2","0",""
"20",2,"0","0","0","0","0","0","0","0","0",""
"20",3,"0","0","0","0","0","0","0","0","0",""
"20",4,"0","0","0","0","0","0","0","0","0",""
"20",5,"0","0","0","0","0","0","0","0","0",""
"20",6,"0","0","0","0","0","0","0","0","0",""
"20",9,"","","","","","","","","",""
"21",1,"37","31","0","6","0","0","0","0","0",""
"21",2,"3","3","0","0","0","0","0","0","0",""
"21",3,"2","1","0","1","0","0","0","0","0",""
"21",4,"0","0","0","0","0","0","0","0","0",""
"21",5,"0","0","0","0","0","0","0","0","0",""
"21",6,"0","0","0","0","0","0","0","0","0",""
"21",9,"","","","","","","","","",""
"22",1,"8","0","0","0","0","8","0","0","0",""
"22",2,"0","0","0","0","0","0","0","0","0",""
"22",3,"0","0","0","0","0","0","0","0","0",""
"22",4,"0","0","0","0","0","0","0","0","0",""
"22",5,"0","0","0","0","0","0","0","0","0",""
"22",6,"0","0","0","0","0","0","0","0","0",""
"22",9,"","","","","","","","","",""
"23",1,"7","0","0","0","0","5","2","0","0",""
"23",2,"1","0","0","0","0","1","0","0","0",""
"23",3,"0","0","0","0","0","0","0","0","0",""
"23",4,"0","0","0","0","0","0","0","0","0",""
"23",5,"0","0","0","0","0","0","0","0","0",""
"23",6,"0","0","0","0","0","0","0","0","0",""
"23",9,"","","","","","","","","",""
"24",1,"0","0","0","0","0","0","0","0","0",""
"24",2,"0","0","0","0","0","0","0","0","0",""
"24",3,"0","0","0","0","0","0","0","0","0",""
"24",4,"0","0","0","0","0","0","0","0","0",""
"24",5,"0","0","0","0","0","0","0","0","0",""
"24",6,"0","0","0","0","0","0","0","0","0",""
"24",9,"","","","","","","","","",""
"25",1,"NSS","0","0","0","0","NSS","NSS","NSS","NSS",""
"25",2,"NSS","0","0","0","0","NSS","NSS","NSS","NSS",""
"25",3,"NSS","0","0","0","0","NSS","NSS","NSS","NSS",""
"25",4,"NSS","0","0","0","0","NSS","NSS","NSS","NSS",""
"25",5,"NSS","0","0","0","0","NSS","NSS","NSS","NSS",""
"25",6,"NSS","0","0","0","0","NSS","NSS","NSS","NSS",""
"25",9,"39","","","","","","","","","39"
"26",1,"0","0","0","0","0","0","0","0","0",""
"26",2,"408","374","22","10","2","0","0","0","0",""
"26",3,"0","0","0","0","0","0","0","0","0",""
"26",4,"26","24","2","0","0","0","0","0","0",""
"26",5,"0","0","0","0","0","0","0","0","0",""
"26",6,"2","2","0","0","0","0","0","0","0",""
"26",9,"","","","","","","","","",""
"27",1,"42","0","0","0","0","41","1","0","0",""
"27",2,"0","0","0","0","0","0","0","0","0",""
"27",3,"0","0","0","0","0","0","0","0","0",""
"27",4,"0","0","0","0","0","0","0","0","0",""
"27",5,"0","0","0","0","0","0","0","0","0",""
"27",6,"0","0","0","0","0","0","0","0","0",""
"27",9,"","","","","","","","","",""
"28",1,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"28",2,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"28",3,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"28",4,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"28",5,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"28",6,"NSS","NSS","NSS","NSS","NSS","0","0","0","0",""
"28",9,"","","","","","","","","",""
"29",1,"22","19","0","3","0","0","0","0","0",""
"29",2,"1","1","0","0","0","0","0","0","0",""
"29",3,"0","0","0","0","0","0","0","0","0",""
"29",4,"0","0","0","0","0","0","0","0","0",""
"29",5,"0","0","0","0","0","0","0","0","0",""
"29",6,"0","0","0","0","0","0","0","0","0",""
"29",9,"","","","","","","","","",""
"30",1,"39","0","0","0","0","17","1","20","1",""
"30",2,"7","0","0","0","0","4","0","3","0",""
"30",3,"1","0","0","0","0","1","0","0","0",""
"30",4,"0","0","0","0","0","0","0","0","0",""
"30",5,"0","0","0","0","0","0","0","0","0",""
"30",6,"0","0","0","0","0","0","0","0","0",""
"30",9,"","","","","","","","","",""
"31",1,"15","0","0","0","0","12","2","1","0",""
"31",2,"4","0","0","0","0","4","0","0","0",""
"31",3,"2","0","0","0","0","2","0","0","0",""
"31",4,"0","0","0","0","0","0","0","0","0",""
"31",5,"0","0","0","0","0","0","0","0","0",""
"31",6,"0","0","0","0","0","0","0","0","0",""
"31",9,"","","","","","","","","",""
"32",1,"11","0","0","0","0","10","0","1","0",""
"32",2,"7","0","0","0","0","6","0","1","0",""
"32",3,"2","0","0","0","0","1","0","0","1",""
"32",4,"0","0","0","0","0","0","0","0","0",""
"32",5,"0","0","0","0","0","0","0","0","0",""
"32",6,"0","0","0","0","0","0","0","0","0",""
"32",9,"","","","","","","","","",""
