entidad,edadcump,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"01",1,"0","0","0","0","0",""
"01",2,"0","0","0","0","0",""
"01",3,"0","0","0","0","0",""
"01",4,"0","0","0","0","0",""
"01",5,"0","0","0","0","0",""
"01",6,"0","0","0","0","0",""
"01",7,"32","29","3","0","0",""
"01",9,"","","","","",""
"02",1,"0","0","0","0","0",""
"02",2,"0","0","0","0","0",""
"02",3,"5","4","1","0","0",""
"02",4,"12","11","1","0","0",""
"02",5,"13","12","1","0","0",""
"02",6,"36","32","4","0","0",""
"02",7,"82","77","5","0","0",""
"02",9,"","","","","",""
"03",1,"NSS","NSS","NSS","0","0",""
"03",2,"NSS","NSS","NSS","0","0",""
"03",3,"NSS","NSS","NSS","0","0",""
"03",4,"NSS","NSS","NSS","0","0",""
"03",5,"NSS","NSS","NSS","0","0",""
"03",6,"NSS","NSS","NSS","0","0",""
"03",7,"NSS","NSS","NSS","0","0",""
"03",9,"","","","","",""
"04",1,"0","0","0","0","0",""
"04",2,"0","0","0","0","0",""
"04",3,"0","0","0","0","0",""
"04",4,"0","0","0","0","0",""
"04",5,"0","0","0","0","0",""
"04",6,"0","0","0","0","0",""
"04",7,"0","0","0","0","0",""
"04",9,"","","","","",""
"05",1,"0","0","0","0","0",""
"05",2,"0","0","0","0","0",""
"05",3,"1","1","0","0","0",""
"05",4,"2","2","0","0","0",""
"05",5,"5","5","0","0","0",""
"05",6,"6","6","0","0","0",""
"05",7,"5","2","1","2","0",""
"05",9,"","","","","",""
"07",1,"0","0","0","0","0",""
"07",2,"2","0","0","1","1",""
"07",3,"0","0","0","0","0",""
"07",4,"5","0","0","5","0",""
"07",5,"4","0","0","4","0",""
"07",6,"7","0","0","6","1",""
"07",7,"6","0","0","6","0",""
"07",9,"1","","","","","1"
"08",1,"NSS","0","0","NSS","NSS",""
"08",2,"NSS","0","0","NSS","NSS",""
"08",3,"NSS","0","0","NSS","NSS",""
"08",4,"NSS","0","0","NSS","NSS",""
"08",5,"NSS","0","0","NSS","NSS",""
"08",6,"NSS","0","0","NSS","NSS",""
"08",7,"NSS","0","0","NSS","NSS",""
"08",9,"191","","","182","9",""
"09",1,"2","2","0","0","0",""
"09",2,"7","7","0","0","0",""
"09",3,"32","30","2","0","0",""
"09",4,"101","88","13","0","0",""
"09",5,"166","159","7","0","0",""
"09",6,"228","217","7","4","0",""
"09",7,"5","3","0","1","1",""
"09",9,"","","","","",""
"10",1,"0","0","0","0","0",""
"10",2,"0","0","0","0","0",""
"10",3,"8","0","0","8","0",""
"10",4,"11","0","0","11","0",""
"10",5,"11","0","0","9","2",""
"10",6,"12","0","0","12","0",""
"10",7,"37","0","0","37","0",""
"10",9,"","","","","",""
"12",1,"0","0","0","0","0",""
"12",2,"1","0","0","1","0",""
"12",3,"0","0","0","0","0",""
"12",4,"0","0","0","0","0",""
"12",5,"1","0","0","1","0",""
"12",6,"1","0","0","1","0",""
"12",7,"2","0","0","1","1",""
"12",9,"","","","","",""
"13",1,"0","0","0","0","0",""
"13",2,"0","0","0","0","0",""
"13",3,"0","0","0","0","0",""
"13",4,"1","1","0","0","0",""
"13",5,"0","0","0","0","0",""
"13",6,"0","0","0","0","0",""
"13",7,"10","8","2","0","0",""
"13",9,"","","","","",""
"14",1,"0","0","0","0","0",""
"14",2,"0","0","0","0","0",""
"14",3,"5","4","1","0","0",""
"14",4,"12","11","1","0","0",""
"14",5,"30","26","4","0","0",""
