entidad,dom_espa,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"01",1,"32","29","3","0","0",""
"01",2,"0","0","0","0","0",""
"01",3,"0","0","0","0","0",""
"02",1,"143","132","11","0","0",""
"02",2,"NSS","NSS","NSS","0","0",""
"02",3,"5","4","1","0","0",""
"03",1,"NSS","NSS","NSS","0","0",""
"03",2,"NSS","NSS","NSS","0","0",""
"03",3,"NSS","NSS","NSS","0","0",""
"04",1,"0","0","0","0","0",""
"04",2,"0","0","0","0","0",""
"04",3,"0","0","0","0","0",""
"05",1,"18","15","1","2","0",""
"05",2,"NSS","NSS","0","0","0",""
"05",3,"1","1","0","0","0",""
"07",1,"20","0","0","18","2",""
"07",2,"NSS","0","0","NSS","0",""
"07",3,"5","0","0","4","0","1"
"08",1,"NSS","0","0","NSS","NSS",""
"08",2,"NSS","0","0","NSS","NSS",""
"08",3,"191","0","0","182","9",""
"09",1,"534","501","29","4","0",""
"09",2,"0","0","0","0","0",""
"09",3,"7","5","0","1","1",""
"10",1,"55","0","0","54","1",""
"10",2,"NSS","0","0","NSS","NSS",""
"10",3,"24","0","0","23","1",""
"12",1,"2","0","0","1","1",""
"12",2,"NSS","0","0","NSS","0",""
"12",3,"3","0","0","3","0",""
"13",1,"11","9","2","0","0",""
"13",2,"0","0","0","0","0",""
"13",3,"0","0","0","0","0",""
"14",1,"182","168","14","0","0",""
"14",2,"0","0","0","0","0",""
"14",3,"0","0","0","0","0",""
"15",1,"NSS","NSS","NSS","0","0",""
"15",2,"NSS","NSS","NSS","0","0",""
"15",3,"17","16","1","0","0",""
"16",1,"2","2","0","0","0",""
"16",2,"0","0","0","0","0",""
"16",3,"0","0","0","0","0",""
"17",1,"9","0","0","7","2",""
"17",2,"NSS","0","0","NSS","0",""
"17",3,"3","0","0","3","0",""
"18",1,"27","26","1","0","0",""
"18",2,"NSS","NSS","NSS","0","0",""
"18",3,"5","5","NSS","0","0",""
"19",1,"26","0","0","25","1",""
"19",2,"NSS","0","0","NSS","0",""
"19",3,"16","0","0","5","0","11"
"20",1,"NSS","0","0","NSS","0",""
"20",2,"NSS","0","0","NSS","0",""
"20",3,"13","0","0","13","0",""
"21",1,"41","41","0","0","0",""
"21",2,"NSS","NSS","0","0","0",""
"21",3,"1","1","0","0","0",""
"22",1,"8","0","0","8","0",""
"22",2,"0","0","0","0","0",""
"22",3,"0","0","0","0","0",""
"23",1,"8","0","0","6","2",""
"23",2,"0","0","0","0","0",""
"23",3,"0","0","0","0","0",""
"24",1,"0","0","0","0","0",""
"24",2,"0","0","0","0","0",""
"24",3,"0","0","0","0","0",""
"25",1,"NSS","0","0","NSS","NSS",""
"25",2,"NSS","0","0","NSS","NSS",""
"25",3,"39","0","0","NSS","NSS","39"
"26",1,"432","406","26","0","0",""
"26",2,"NSS","NSS","0","0","0",""
"26",3,"4","4","0","0","0",""
"27",1,"25","0","0","24","1",""
"27",2,"17","0","0","17","0",""
"27",3,"0","0","0","0","0",""
"28",1,"NSS","NSS","NSS","0","0",""
"28",2,"NSS","NSS","NSS","0","0",""
"28",3,"NSS","NSS","NSS","0","0",""
"29",1,"23","23","0","0","0",""
"29",2,"0","0","0","0","0",""
"29",3,"0","0","0","0","0",""
"30",1,"40","0","0","38","2",""
"30",2,"NSS","0","0","NSS","0",""
"30",3,"7","0","0","7","0",""
"31",1,"15","0","0","14","1",""
"31",2,"NSS","0","0","NSS","NSS",""
"31",3,"6","0","0","5","1",""
"32",1,"15","0","0","15","NSS",""
"32",2,"NSS","0","0","NSS","NSS",""
"32",3,"5","0","0","4","1",""
