entidad,gdoestad,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"01",1,"NSS","NSS","NSS","0","0",""
"01",2,"NSS","NSS","NSS","0","0",""
"01",3,"NSS","NSS","NSS","0","0",""
"01",4,"NSS","NSS","NSS","0","0",""
"01",5,"NSS","NSS","NSS","0","0",""
"01",6,"32","29","3","0","0",""
"02",1,"2","2","0","0","0",""
"02",2,"47","45","2","0","0",""
"02",3,"71","64","7","0","0",""
"02",4,"24","22","2","0","0",""
"02",5,"0","0","0","0","0",""
"02",6,"4","3","1","0","0",""
"03",1,"NSS","NSS","NSS","0","0",""
"03",2,"NSS","NSS","NSS","0","0",""
"03",3,"NSS","NSS","NSS","0","0",""
"03",4,"NSS","NSS","NSS","0","0",""
"03",5,"NSS","NSS","NSS","0","0",""
"03",6,"NSS","NSS","NSS","0","0",""
"04",1,"0","0","0","0","0",""
"04",2,"0","0","0","0","0",""
"04",3,"0","0","0","0","0",""
"04",4,"0","0","0","0","0",""
"04",5,"0","0","0","0","0",""
"04",6,"0","0","0","0","0",""
"05",1,"1","1","0","0","0",""
"05",2,"10","9","1","0","0",""
"05",3,"8","6","0","2","0",""
"05",4,"0","0","0","0","0",""
"05",5,"0","0","0","0","0",""
"05",6,"0","0","0","0","0",""
"07",1,"1","0","0","1","0",""
"07",2,"7","0","0","6","1",""
"07",3,"14","0","0","13","1",""
"07",4,"1","0","0","1","0",""
"07",5,"0","0","0","0","0",""
"07",6,"2","0","0","1","0","1"
"08",1,"NSS","0","0","NSS","NSS",""
"08",2,"NSS","0","0","NSS","NSS",""
"08",3,"NSS","0","0","NSS","NSS",""
"08",4,"NSS","0","0","NSS","NSS",""
"08",5,"NSS","0","0","NSS","NSS",""
"08",6,"191","0","0","182","9",""
"09",1,"3","3","0","0","0",""
"09",2,"124","116","8","0","0",""
"09",3,"309","290","15","4","0",""
"09",4,"94","88","6","0","0",""
"09",5,"3","3","0","0","0",""
"09",6,"8","6","0","1","1",""
"10",1,"3","0","0","3","0",""
"10",2,"32","0","0","31","1",""
"10",3,"39","0","0","38","1",""
"10",4,"2","0","0","2","0",""
"10",5,"0","0","0","0","0",""
"10",6,"3","0","0","3","0",""
"12",1,"0","0","0","0","0",""
"12",2,"4","0","0","3","1",""
"12",3,"1","0","0","1","0",""
"12",4,"0","0","0","0","0",""
"12",5,"0","0","0","0","0",""
"12",6,"0","0","0","0","0",""
"13",1,"1","1","0","0","0",""
"13",2,"1","1","0","0","0",""
"13",3,"7","5","2","0","0",""
"13",4,"2","2","0","0","0",""
"13",5,"0","0","0","0","0",""
"13",6,"0","0","0","0","0",""
"14",1,"8","8","0","0","0",""
"14",2,"75","67","8","0","0",""
"14",3,"83","79","4","0","0",""
"14",4,"16","14","2","0","0",""
"14",5,"0","0","0","0","0",""
"14",6,"0","0","0","0","0",""
"15",1,"NSS","NSS","NSS","0","0",""
"15",2,"NSS","NSS","NSS","0","0",""
"15",3,"NSS","NSS","NSS","0","0",""
"15",4,"NSS","NSS","NSS","0","0",""
"15",5,"NSS","NSS","NSS","0","0",""
"15",6,"17","16","1","0","0",""
"16",1,"0","0","0","0","0",""
"16",2,"0","0","0","0","0",""
"16",3,"0","0","0","0","0",""
"16",4,"2","2","0","0","0",""
"16",5,"0","0","0","0","0",""
"16",6,"0","0","0","0","0",""
"17",1,"0","0","0","0","0",""
"17",2,"6","0","0","5","1",""
"17",3,"5","0","0","4","1",""
"17",4,"1","0","0","1","0",""
"17",5,"0","0","0","0","0",""
"17",6,"0","0","0","0","0",""
"18",1,"NSS","0","NSS","0","0",""
