entidad,particip,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"01",1,"NSS","NSS","NSS","0","0",""
"01",2,"NSS","NSS","NSS","0","0",""
"01",3,"NSS","NSS","NSS","0","0",""
"01",4,"NSS","NSS","NSS","0","0",""
"01",5,"NSS","NSS","NSS","0","0",""
"01",6,"NSS","NSS","NSS","0","0",""
"01",7,"NSS","NSS","NSS","0","0",""
"01",8,"NSS","NSS","NSS","0","0",""
"01",9,"NSS","NSS","NSS","0","0",""
"01",10,"31","28","3","0","0",""
"02",1,"31","28","3","0","0",""
"02",2,"62","57","5","0","0",""
"02",3,"15","14","1","0","0",""
"02",4,"6","6","0","0","0",""
"02",5,"0","0","0","0","0",""
"02",6,"0","0","0","0","0",""
"02",7,"0","0","0","0","0",""
"02",8,"0","0","0","0","0",""
"02",9,"10","8","2","0","0",""
"02",10,"9","9","0","0","0",""
"03",1,"NSS","NSS","NSS","0","0",""
"03",2,"NSS","NSS","NSS","0","0",""
"03",3,"NSS","NSS","NSS","0","0",""
"03",4,"NSS","NSS","NSS","0","0",""
"03",5,"NSS","NSS","NSS","0","0",""
"03",6,"NSS","NSS","NSS","0","0",""
"03",7,"NSS","NSS","NSS","0","0",""
"03",8,"NSS","NSS","NSS","0","0",""
"03",9,"NSS","NSS","NSS","0","0",""
"03",10,"NSS","NSS","NSS","0","0",""
"04",1,"0","0","0","0","0",""
"04",2,"0","0","0","0","0",""
"04",3,"0","0","0","0","0",""
"04",4,"0","0","0","0","0",""
"04",5,"0","0","0","0","0",""
"04",6,"0","0","0","0","0",""
"04",7,"0","0","0","0","0",""
"04",8,"0","0","0","0","0",""
"04",9,"0","0","0","0","0",""
"04",10,"0","0","0","0","0",""
"05",1,"0","0","0","0","0",""
"05",2,"7","6","0","1","0",""
"05",3,"4","3","1","0","0",""
"05",4,"0","0","0","0","0",""
"05",5,"0","0","0","0","0",""
"05",6,"0","0","0","0","0",""
"05",7,"0","0","0","0","0",""
"05",8,"0","0","0","0","0",""
"05",9,"1","0","0","1","0",""
"05",10,"0","0","0","0","0",""
"07",1,"0","0","0","0","0",""
"07",2,"9","0","0","9","0",""
"07",3,"6","0","0","4","2",""
"07",4,"0","0","0","0","0",""
"07",5,"0","0","0","0","0",""
"07",6,"0","0","0","0","0",""
"07",7,"0","0","0","0","0",""
"07",8,"0","0","0","0","0",""
"07",9,"0","0","0","0","0",""
"07",10,"0","0","0","0","0",""
"08",1,"0","0","0","0","0",""
"08",2,"189","0","0","180","9",""
"08",3,"0","0","0","0","0",""
"08",4,"0","0","0","0","0",""
"08",5,"0","0","0","0","0",""
"08",6,"0","0","0","0","0",""
"08",7,"0","0","0","0","0",""
"08",8,"0","0","0","0","0",""
"08",9,"0","0","0","0","0",""
"08",10,"0","0","0","0","0",""
"09",1,"10","10","0","NSS","NSS",""
"09",2,"121","119","2","NSS","NSS",""
"09",3,"364","341","23","NSS","NSS",""
"09",4,"2","2","0","NSS","NSS",""
"09",5,"NSS","0","0","NSS","NSS",""
"09",6,"3","2","1","NSS","NSS",""
"09",7,"NSS","0","0","NSS","NSS",""
"09",8,"NSS","0","0","NSS","NSS",""
"09",9,"3","3","0","NSS","NSS",""
"09",10,"9","1","2","5","1",""
"10",1,"1","0","0","1","0",""
"10",2,"24","0","0","23","1",""
"10",3,"20","0","0","19","1",""
"10",4,"0","0","0","0","0",""
"10",5,"0","0","0","0","0",""
"10",6,"0","0","0","0","0",""
"10",7,"0","0","0","0","0",""
"10",8,"0","0","0","0","0",""
"10",9,"1","0","0","1","0",""
"10",10,"2","0","0","2","0",""
