entidad,residenc,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"01",1,"NSS","NSS","NSS","0","0",""
"01",2,"NSS","NSS","NSS","0","0",""
"01",3,"NSS","NSS","NSS","0","0",""
"01",4,"NSS","NSS","NSS","0","0",""
"01",5,"NSS","NSS","NSS","0","0",""
"01",6,"NSS","NSS","NSS","0","0",""
"01",7,"NSS","NSS","NSS","0","0",""
"01",8,"NSS","NSS","NSS","0","0",""
"01",9,"NSS","NSS","NSS","0","0",""
"01",10,"NSS","NSS","NSS","0","0",""
"01",11,"NSS","NSS","NSS","0","0",""
"01",12,"32","29","3","0","0",""
"02",1,"145","133","12","0","0",""
"02",2,"0","0","0","0","0",""
"02",3,"1","1","0","0","0",""
"02",4,"0","0","0","0","0",""
"02",5,"0","0","0","0","0",""
"02",6,"0","0","0","0","0",""
"02",7,"0","0","0","0","0",""
"02",8,"0","0","0","0","0",""
"02",9,"0","0","0","0","0",""
"02",10,"0","0","0","0","0",""
"02",11,"0","0","0","0","0",""
"02",12,"2","2","0","0","0",""
"03",1,"NSS","NSS","NSS","0","0",""
"03",2,"NSS","NSS","NSS","0","0",""
"03",3,"NSS","NSS","NSS","0","0",""
"03",4,"NSS","NSS","NSS","0","0",""
"03",5,"NSS","NSS","NSS","0","0",""
"03",6,"NSS","NSS","NSS","0","0",""
"03",7,"NSS","NSS","NSS","0","0",""
"03",8,"NSS","NSS","NSS","0","0",""
"03",9,"NSS","NSS","NSS","0","0",""
"03",10,"NSS","NSS","NSS","0","0",""
"03",11,"NSS","NSS","NSS","0","0",""
"03",12,"NSS","NSS","NSS","0","0",""
"04",1,"0","0","0","0","0",""
"04",2,"0","0","0","0","0",""
"04",3,"0","0","0","0","0",""
"04",4,"0","0","0","0","0",""
"04",5,"0","0","0","0","0",""
"04",6,"0","0","0","0","0",""
"04",7,"0","0","0","0","0",""
"04",8,"0","0","0","0","0",""
"04",9,"0","0","0","0","0",""
"04",10,"0","0","0","0","0",""
"04",11,"0","0","0","0","0",""
"04",12,"0","0","0","0","0",""
"05",1,"18","15","1","2","0",""
"05",2,"1","1","0","0","0",""
"05",3,"0","0","0","0","0",""
"05",4,"0","0","0","0","0",""
"05",5,"0","0","0","0","0",""
"05",6,"0","0","0","0","0",""
"05",7,"0","0","0","0","0",""
"05",8,"0","0","0","0","0",""
"05",9,"0","0","0","0","0",""
"05",10,"0","0","0","0","0",""
"05",11,"0","0","0","0","0",""
"05",12,"0","0","0","0","0",""
"07",1,"24","0","0","22","2",""
"07",2,"NSS","0","0","NSS","NSS",""
"07",3,"NSS","0","0","NSS","NSS",""
"07",4,"NSS","0","0","NSS","NSS",""
"07",5,"NSS","0","0","NSS","NSS",""
"07",6,"NSS","0","0","NSS","NSS",""
"07",7,"NSS","0","0","NSS","NSS",""
"07",8,"NSS","0","0","NSS","NSS",""
"07",9,"NSS","0","0","NSS","NSS",""
"07",10,"NSS","0","0","NSS","NSS",""
"07",11,"NSS","0","0","NSS","NSS",""
"07",12,"1","0","0","NSS","NSS","1"
"08",1,"191","0","0","182","9",""
"08",2,"0","0","0","0","0",""
"08",3,"0","0","0","0","0",""
"08",4,"0","0","0","0","0",""
"08",5,"0","0","0","0","0",""
"08",6,"0","0","0","0","0",""
"08",7,"0","0","0","0","0",""
"08",8,"0","0","0","0","0",""
"08",9,"0","0","0","0","0",""
"08",10,"0","0","0","0","0",""
"08",11,"0","0","0","0","0",""
"08",12,"0","0","0","0","0",""
"09",1,"477","450","27","0","0",""
"09",2,"48","47","1","0","0",""
"09",3,"0","0","0","0","0",""
"09",4,"0","0","0","0","0",""
