entidad,ran_tiem,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"01",1,"NSS","NSS","NSS","0","0",""
"01",2,"NSS","NSS","NSS","0","0",""
"01",3,"NSS","NSS","NSS","0","0",""
"01",4,"NSS","NSS","NSS","0","0",""
"01",5,"NSS","NSS","NSS","0","0",""
"01",6,"NSS","NSS","NSS","0","0",""
"01",7,"NSS","NSS","NSS","0","0",""
"01",8,"NSS","NSS","NSS","0","0",""
"01",9,"NSS","NSS","NSS","0","0",""
"01",99,"31","28","3","","",""
"02",1,"NSS","NSS","NSS","0","0",""
"02",2,"NSS","NSS","NSS","0","0",""
"02",3,"NSS","NSS","NSS","0","0",""
"02",4,"NSS","NSS","NSS","0","0",""
"02",5,"NSS","NSS","NSS","0","0",""
"02",6,"NSS","NSS","NSS","0","0",""
"02",7,"NSS","NSS","NSS","0","0",""
"02",8,"NSS","NSS","NSS","0","0",""
"02",9,"NSS","NSS","NSS","0","0",""
"02",99,"133","122","11","","",""
"03",1,"NSS","NSS","NSS","0","0",""
"03",2,"NSS","NSS","NSS","0","0",""
"03",3,"NSS","NSS","NSS","0","0",""
"03",4,"NSS","NSS","NSS","0","0",""
"03",5,"NSS","NSS","NSS","0","0",""
"03",6,"NSS","NSS","NSS","0","0",""
"03",7,"NSS","NSS","NSS","0","0",""
"03",8,"NSS","NSS","NSS","0","0",""
"03",9,"NSS","NSS","NSS","0","0",""
"03",99,"","","","","",""
"04",1,"0","0","0","0","0",""
"04",2,"0","0","0","0","0",""
"04",3,"0","0","0","0","0",""
"04",4,"0","0","0","0","0",""
"04",5,"0","0","0","0","0",""
"04",6,"0","0","0","0","0",""
"04",7,"0","0","0","0","0",""
"04",8,"0","0","0","0","0",""
"04",9,"0","0","0","0","0",""
"04",99,"","","","","",""
"05",1,"0","0","0","0","0",""
"05",2,"0","0","0","0","0",""
"05",3,"0","0","0","0","0",""
"05",4,"0","0","0","0","0",""
"05",5,"0","0","0","0","0",""
"05",6,"0","0","0","0","0",""
"05",7,"1","0","0","1","0",""
"05",8,"0","0","0","0","0",""
"05",9,"11","9","1","1","0",""
"05",99,"","","","","",""
"07",1,"9","0","0","7","2",""
"07",2,"0","0","0","0","0",""
"07",3,"0","0","0","0","0",""
"07",4,"0","0","0","0","0",""
"07",5,"1","0","0","1","0",""
"07",6,"0","0","0","0","0",""
"07",7,"1","0","0","1","0",""
"07",8,"0","0","0","0","0",""
"07",9,"4","0","0","4","0",""
"07",99,"","","","","",""
"08",1,"NSS","0","0","NSS","NSS",""
"08",2,"NSS","0","0","NSS","NSS",""
"08",3,"NSS","0","0","NSS","NSS",""
"08",4,"NSS","0","0","NSS","NSS",""
"08",5,"NSS","0","0","NSS","NSS",""
"08",6,"NSS","0","0","NSS","NSS",""
"08",7,"NSS","0","0","NSS","NSS",""
"08",8,"NSS","0","0","NSS","NSS",""
"08",9,"NSS","0","0","NSS","NSS",""
"08",99,"189","","","180","9",""
"09",1,"6","4","2","NSS","NSS",""
"09",2,"55","53","2","NSS","NSS",""
"09",3,"118","111","7","NSS","NSS",""
"09",4,"195","185","10","NSS","NSS",""
"09",5,"82","77","5","NSS","NSS",""
"09",6,"13","12","1","NSS","NSS",""
"09",7,"12","12","0","NSS","NSS",""
"09",8,"1","1","0","NSS","NSS",""
"09",9,"24","23","1","NSS","NSS",""
"09",99,"6","","","5","1",""
"10",1,"0","0","0","0","0",""
"10",2,"7","0","0","7","0",""
"10",3,"7","0","0","7","0",""
"10",4,"11","0","0","11","0",""
"10",5,"5","0","0","4","1",""
"10",6,"4","0","0","4","0",""
