entidad,alfabeti,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5
"01",1,"1","1","NSS","0","0"
"01",2,"NSS","NSS","NSS","0","0"
"01",3,"315","273","42","0","0"
"02",1,"198","179","19","0","0"
"02",2,"4","4","NSS","0","0"
"02",3,"17","16","1","0","0"
"03",1,"NSS","NSS","NSS","0","0"
"03",2,"NSS","NSS","NSS","0","0"
"03",3,"31","28","3","0","0"
"04",1,"17","0","0","14","3"
"04",2,"NSS","0","0","NSS","NSS"
"04",3,"7","0","0","6","1"
"05",1,"120","79","2","37","2"
"05",2,"1","1","0","NSS","0"
"05",3,"8","4","0","4","0"
"07",1,"27","0","0","26","1"
"07",2,"1","0","0","1","NSS"
"07",3,"5","0","0","4","1"
"08",1,"NSS","0","0","NSS","NSS"
"08",2,"NSS","0","0","NSS","NSS"
"08",3,"835","0","0","747","88"
"09",1,"551","451","37","57","6"
"09",2,"8","5","0","3","0"
"09",3,"182","60","4","102","16"
"10",1,"149","NSS","NSS","138","11"
"10",2,"5","NSS","NSS","5","NSS"
"10",3,"26","1","NSS","21","4"
"12",1,"59","0","0","54","5"
"12",2,"3","0","0","3","NSS"
"12",3,"40","0","0","39","1"
"13",1,"78","70","4","4","0"
"13",2,"4","3","1","NSS","0"
"13",3,"18","14","0","4","0"
"14",1,"146","131","15","0","0"
"14",2,"8","7","1","0","0"
"14",3,"50","47","3","0","0"
"15",1,"NSS","NSS","NSS","NSS","NSS"
"15",2,"NSS","NSS","NSS","NSS","NSS"
"15",3,"498","382","27","81","8"
"16",1,"38","30","0","7","1"
"16",2,"9","8","0","1","0"
"16",3,"32","27","1","4","0"
"17",1,"148","0","0","137","11"
"17",2,"1","0","0","1","NSS"
"17",3,"33","0","0","30","3"
"18",1,"94","81","13","0","0"
"18",2,"1","1","NSS","0","0"
"18",3,"113","103","10","0","0"
"19",1,"492","0","0","409","83"
"19",2,"NSS","0","0","NSS","NSS"
"19",3,"225","0","0","196","29"
"20",1,"31","0","0","28","3"
"20",2,"1","0","0","1","NSS"
"20",3,"53","0","0","46","7"
"21",1,"139","132","7","NSS","NSS"
"21",2,"3","3","0","NSS","NSS"
"21",3,"17","17","0","NSS","NSS"
"22",1,"140","0","0","127","13"
"22",2,"0","0","0","0","0"
"22",3,"0","0","0","0","0"
"23",1,"18","0","0","16","2"
"23",2,"NSS","0","0","NSS","NSS"
"23",3,"8","0","0","7","1"
"24",1,"6","4","NSS","2","0"
"24",2,"NSS","0","NSS","NSS","0"
"24",3,"1","0","NSS","1","0"
"25",1,"NSS","0","0","NSS","NSS"
"25",2,"NSS","0","0","NSS","NSS"
"25",3,"NSS","0","0","NSS","NSS"
"26",1,"375","344","31","0","0"
"26",2,"5","5","NSS","0","0"
"26",3,"39","36","3","0","0"
"27",1,"25","0","0","23","2"
"27",2,"2","0","0","2","NSS"
"27",3,"25","0","0","24","1"
"28",1,"NSS","NSS","NSS","0","0"
"28",2,"NSS","NSS","NSS","0","0"
"28",3,"362","314","48","0","0"
"29",1,"45","35","10","0","0"
"29",2,"1","NSS","1","0","0"
"29",3,"9","7","2","0","0"
"30",1,"66","0","0","61","5"
"30",2,"5","0","0","5","0"
"30",3,"20","0","0","20","0"
"31",1,"78","0","0","76","2"
"31",2,"3","0","0","3","0"
"31",3,"19","0","0","19","0"
"32",1,"98","0","0","92","6"
"32",2,"3","0","0","3","NSS"
"32",3,"30","0","0","29","1"
