entidad,proc_con,seonidtt,seonid1,seonid2,seonid3,seonid4,seonid5,seonid6
"01",1,"298","259","38","1","0","0","0"
"01",2,"14","11","3","0","0","0","0"
"01",3,"1","1","0","0","0","0","0"
"01",4,"0","0","0","0","0","0","0"
"01",5,"0","0","0","0","0","0","0"
"01",6,"0","0","0","0","0","0","0"
"01",9,"4","3","1","","","",""
"02",1,"207","185","19","3","0","0","0"
"02",2,"14","14","0","0","0","0","0"
"02",3,"0","0","0","0","0","0","0"
"02",4,"1","0","1","0","0","0","0"
"02",5,"0","0","0","0","0","0","0"
"02",6,"0","0","0","0","0","0","0"
"02",9,"","","","","","",""
"03",1,"31","28","3","0","0","0","0"
"03",2,"0","0","0","0","0","0","0"
"03",3,"0","0","0","0","0","0","0"
"03",4,"0","0","0","0","0","0","0"
"03",5,"0","0","0","0","0","0","0"
"03",6,"0","0","0","0","0","0","0"
"03",9,"","","","","","",""
"04",1,"20","0","0","0","17","3","NSS"
"04",2,"4","0","0","0","3","1","NSS"
"04",3,"0","0","0","0","0","0","0"
"04",4,"0","0","0","0","0","0","0"
"04",5,"0","0","0","0","0","0","0"
"04",6,"0","0","0","0","0","0","0"
"04",9,"","","","","","",""
"05",1,"119","75","2","0","41","1","0"
"05",2,"7","6","0","0","0","1","0"
"05",3,"3","3","0","0","0","0","0"
"05",4,"0","0","0","0","0","0","0"
"05",5,"0","0","0","0","0","0","0"
"05",6,"0","0","0","0","0","0","0"
"05",9,"","","","","","",""
"07",1,"35","0","0","0","31","2","2"
"07",2,"0","0","0","0","0","0","0"
"07",3,"0","0","0","0","0","0","0"
"07",4,"0","0","0","0","0","0","0"
"07",5,"0","0","0","0","0","0","0"
"07",6,"0","0","0","0","0","0","0"
"07",9,"","","","","","",""
"08",1,"NSS","0","0","0","NSS","NSS","0"
"08",2,"NSS","0","0","0","NSS","NSS","0"
"08",3,"NSS","0","0","0","NSS","NSS","0"
"08",4,"NSS","0","0","0","NSS","NSS","0"
"08",5,"NSS","0","0","0","NSS","NSS","0"
