entidad,edadmeno,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5
"01",1,"NSS","NSS","NSS","0","0"
"01",2,"NSS","NSS","NSS","0","0"
"01",3,"NSS","NSS","NSS","0","0"
"01",4,"NSS","NSS","NSS","0","0"
"01",5,"NSS","NSS","NSS","0","0"
"01",6,"NSS","NSS","NSS","0","0"
"01",7,"316","274","42","0","0"
"02",1,"3","3","0","0","0"
"02",2,"3","2","1","0","0"
"02",3,"17","16","1","0","0"
"02",4,"25","24","1","0","0"
"02",5,"49","43","6","0","0"
"02",6,"81","76","5","0","0"
"02",7,"41","35","6","0","0"
"03",1,"0","0","0","0","0"
"03",2,"0","0","0","0","0"
"03",3,"4","4","0","0","0"
"03",4,"2","1","1","0","0"
"03",5,"6","6","0","0","0"
"03",6,"5","4","1","0","0"
"03",7,"14","13","1","0","0"
"04",1,"NSS","0","0","NSS","NSS"
"04",2,"NSS","0","0","NSS","NSS"
"04",3,"NSS","0","0","NSS","NSS"
"04",4,"NSS","0","0","NSS","NSS"
"04",5,"NSS","0","0","NSS","NSS"
"04",6,"NSS","0","0","NSS","NSS"
"04",7,"24","0","0","20","4"
"05",1,"1","1","0","0","0"
"05",2,"1","0","0","1","0"
"05",3,"16","13","0","3","0"
"05",4,"27","16","1","9","1"
"05",5,"35","24","0","11","0"
"05",6,"43","28","1","13","1"
"05",7,"6","2","0","4","0"
"07",1,"0","0","0","0","0"
"07",2,"0","0","0","0","0"
"07",3,"2","0","0","2","0"
"07",4,"6","0","0","6","0"
"07",5,"8","0","0","7","1"
"07",6,"15","0","0","15","0"
"07",7,"2","0","0","1","1"
"08",1,"NSS","0","0","NSS","NSS"
"08",2,"NSS","0","0","NSS","NSS"
"08",3,"NSS","0","0","NSS","NSS"
"08",4,"NSS","0","0","NSS","NSS"
"08",5,"NSS","0","0","NSS","NSS"
"08",6,"NSS","0","0","NSS","NSS"
"08",7,"835","0","0","747","88"
"09",1,"4","3","0","1","0"
"09",2,"18","13","3","2","0"
"09",3,"55","35","4","12","4"
"09",4,"118","74","14","26","4"
"09",5,"234","157","11","61","5"
"09",6,"308","230","9","60","9"
"09",7,"4","4","0","0","0"
"10",1,"1","NSS","NSS","1","0"
"10",2,"12","NSS","NSS","12","0"
"10",3,"13","NSS","NSS","12","1"
"10",4,"42","NSS","NSS","40","2"
"10",5,"37","NSS","NSS","33","4"
"10",6,"54","NSS","NSS","49","5"
"10",7,"21","1","NSS","17","3"
"12",1,"3","0","0","3","0"
"12",2,"0","0","0","0","0"
"12",3,"6","0","0","6","0"
"12",4,"16","0","0","15","1"
"12",5,"22","0","0","20","2"
"12",6,"50","0","0","48","2"
"12",7,"5","0","0","4","1"
"13",1,"2","2","0","0","0"
"13",2,"3","3","0","0","0"
"13",3,"9","7","1","1","0"
"13",4,"13","10","0","3","0"
"13",5,"19","15","1","3","0"
"13",6,"47","44","3","0","0"
"13",7,"7","6","0","1","0"
"14",1,"0","0","0","0","0"
"14",2,"6","4","2","0","0"
"14",3,"4","4","0","0","0"
"14",4,"23","20","3","0","0"
"14",5,"26","24","2","0","0"
"14",6,"88","80","8","0","0"
"14",7,"57","53","4","0","0"
"15",1,"1","1","0","0","0"
"15",2,"5","5","0","0","0"
"15",3,"26","20","4","2","0"
"15",4,"61","43","8","8","2"
"15",5,"124","99","7","17","1"
"15",6,"210","174","8","28","0"
"15",7,"71","40","0","26","5"
"16",1,"0","0","0","0","0"
"16",2,"2","2","0","0","0"
"16",3,"4","4","0","0","0"
"16",4,"2","2","0","0","0"
"16",5,"13","9","0","4","0"
"16",6,"13","9","0","3","1"
