entidad,dom_espa,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5
"01",1,"316","274","42","0","0"
"01",2,"0","0","0","0","0"
"01",3,"0","0","0","0","0"
"02",1,"210","193","17","0","0"
"02",2,"NSS","NSS","NSS","0","0"
"02",3,"9","6","3","0","0"
"03",1,"NSS","NSS","NSS","0","0"
"03",2,"NSS","NSS","NSS","0","0"
"03",3,"31","28","3","0","0"
"04",1,"20","0","0","17","3"
"04",2,"NSS","0","0","NSS","NSS"
"04",3,"4","0","0","3","1"
"05",1,"121","83","2","35","1"
"05",2,"NSS","NSS","0","NSS","NSS"
"05",3,"8","1","0","6","1"
"07",1,"24","0","0","24","NSS"
"07",2,"NSS","0","0","NSS","NSS"
"07",3,"9","0","0","7","2"
"08",1,"NSS","0","0","NSS","NSS"
"08",2,"NSS","0","0","NSS","NSS"
"08",3,"835","0","0","747","88"
"09",1,"541","467","38","33","3"
"09",2,"2","2","0","0","0"
"09",3,"198","47","3","129","19"
"10",1,"118","NSS","NSS","109","9"
"10",2,"NSS","NSS","NSS","NSS","NSS"
"10",3,"62","1","NSS","55","6"
"12",1,"42","0","0","39","3"
"12",2,"2","0","0","2","NSS"
"12",3,"58","0","0","55","3"
"13",1,"88","77","5","6","0"
"13",2,"NSS","NSS","0","NSS","0"
"13",3,"12","10","0","2","0"
"14",1,"153","137","16","0","0"
"14",2,"NSS","NSS","NSS","0","0"
"14",3,"51","48","3","0","0"
"15",1,"NSS","NSS","NSS","NSS","NSS"
"15",2,"NSS","NSS","NSS","NSS","NSS"
"15",3,"498","382","27","81","8"
"16",1,"55","45","1","8","1"
"16",2,"20","20","0","0","0"
"16",3,"4","0","0","4","0"
"17",1,"144","0","0","131","13"
"17",2,"2","0","0","2","NSS"
"17",3,"36","0","0","35","1"
"18",1,"167","147","20","0","0"
"18",2,"2","2","NSS","0","0"
"18",3,"39","36","3","0","0"
"19",1,"537","0","0","445","92"
"19",2,"NSS","0","0","NSS","NSS"
"19",3,"180","0","0","160","20"
"20",1,"26","0","0","22","4"
"20",2,"1","0","0","1","NSS"
"20",3,"58","0","0","52","6"
"21",1,"146","140","6","NSS","NSS"
"21",2,"1","1","NSS","NSS","NSS"
"21",3,"12","11","1","NSS","NSS"
"22",1,"140","0","0","127","13"
"22",2,"0","0","0","0","0"
"22",3,"0","0","0","0","0"
"23",1,"16","0","0","14","2"
"23",2,"NSS","0","0","NSS","NSS"
"23",3,"10","0","0","9","1"
"24",1,"6","4","NSS","2","0"
"24",2,"NSS","0","NSS","NSS","0"
"24",3,"1","0","NSS","1","0"
"25",1,"NSS","0","0","NSS","NSS"
"25",2,"NSS","0","0","NSS","NSS"
"25",3,"NSS","0","0","NSS","NSS"
"26",1,"410","376","34","0","0"
"26",2,"NSS","NSS","0","0","0"
"26",3,"9","9","0","0","0"
"27",1,"25","0","0","23","2"
"27",2,"27","0","0","26","1"
"27",3,"0","0","0","0","0"
"28",1,"198","167","31","0","0"
"28",2,"164","147","17","0","0"
"28",3,"0","0","0","0","0"
"29",1,"49","37","12","0","0"
"29",2,"NSS","NSS","NSS","0","0"
"29",3,"6","5","1","0","0"
"30",1,"75","0","0","70","5"
"30",2,"NSS","0","0","NSS","0"
"30",3,"16","0","0","16","0"
"31",1,"86","0","0","84","2"
"31",2,"NSS","0","0","NSS","0"
"31",3,"14","0","0","14","0"
"32",1,"89","0","0","83","6"
"32",2,"1","0","0","1","NSS"
"32",3,"41","0","0","40","1"
