entidad,gdoestad,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5
"01",1,"NSS","NSS","NSS","0","0"
"01",2,"1","1","0","0","0"
"01",3,"NSS","NSS","NSS","0","0"
"01",4,"NSS","NSS","NSS","0","0"
"01",5,"NSS","NSS","NSS","0","0"
"01",6,"315","273","42","0","0"
"02",1,"1","1","0","0","0"
"02",2,"60","57","3","0","0"
"02",3,"97","87","10","0","0"
"02",4,"38","33","5","0","0"
"02",5,"0","0","0","0","0"
"02",6,"23","21","2","0","0"
"03",1,"NSS","NSS","NSS","0","0"
"03",2,"NSS","NSS","NSS","0","0"
"03",3,"NSS","NSS","NSS","0","0"
"03",4,"NSS","NSS","NSS","0","0"
"03",5,"NSS","NSS","NSS","0","0"
"03",6,"31","28","3","0","0"
"04",1,"1","0","0","1","NSS"
"04",2,"0","0","0","0","0"
"04",3,"2","0","0","2","NSS"
"04",4,"0","0","0","0","0"
"04",5,"0","0","0","0","0"
"04",6,"21","0","0","17","4"
"05",1,"2","1","0","1","0"
"05",2,"47","35","1","11","0"
"05",3,"69","45","1","22","1"
"05",4,"6","2","0","3","1"
"05",5,"0","0","0","0","0"
"05",6,"5","1","0","4","0"
"07",1,"1","0","0","1","0"
"07",2,"10","0","0","10","0"
"07",3,"16","0","0","15","1"
"07",4,"1","0","0","1","0"
"07",5,"0","0","0","0","0"
"07",6,"5","0","0","4","1"
"08",1,"NSS","0","0","NSS","NSS"
"08",2,"NSS","0","0","NSS","NSS"
"08",3,"NSS","0","0","NSS","NSS"
"08",4,"NSS","0","0","NSS","NSS"
"08",5,"NSS","0","0","NSS","NSS"
"08",6,"835","0","0","747","88"
"09",1,"7","6","0","1","0"
"09",2,"121","95","9","16","1"
"09",3,"341","258","19","58","6"
"09",4,"119","98","7","13","1"
"09",5,"3","2","1","0","0"
"09",6,"150","57","5","74","14"
"10",1,"4","NSS","NSS","4","0"
"10",2,"67","NSS","NSS","62","5"
"10",3,"75","NSS","NSS","70","5"
"10",4,"8","NSS","NSS","7","1"
"10",5,"NSS","NSS","NSS","0","0"
"10",6,"26","1","NSS","21","4"
"12",1,"0","0","0","0","0"
"12",2,"22","0","0","21","1"
"12",3,"33","0","0","30","3"
"12",4,"6","0","0","6","0"
"12",5,"0","0","0","0","0"
"12",6,"41","0","0","39","2"
"13",1,"2","2","0","0","0"
"13",2,"14","11","1","2","0"
"13",3,"36","34","1","1","0"
"13",4,"27","24","3","0","0"
"13",5,"0","0","0","0","0"
"13",6,"21","16","0","5","0"
"14",1,"5","5","0","0","0"
"14",2,"51","50","1","0","0"
"14",3,"69","58","11","0","0"
"14",4,"26","22","4","0","0"
"14",5,"0","0","0","0","0"
"14",6,"53","50","3","0","0"
"15",1,"NSS","NSS","NSS","NSS","NSS"
"15",2,"NSS","NSS","NSS","NSS","NSS"
"15",3,"NSS","NSS","NSS","NSS","NSS"
"15",4,"NSS","NSS","NSS","NSS","NSS"
"15",5,"NSS","NSS","NSS","NSS","NSS"
"15",6,"498","382","27","81","8"
"16",1,"3","2","0","1","0"
"16",2,"4","0","0","4","0"
"16",3,"10","8","0","2","0"
"16",4,"13","11","0","1","1"
"16",5,"0","0","0","0","0"
"16",6,"49","44","1","4","0"
"17",1,"6","0","0","6","0"
"17",2,"61","0","0","55","6"
"17",3,"58","0","0","58","0"
"17",4,"27","0","0","23","4"
"17",5,"0","0","0","0","0"
"17",6,"30","0","0","26","4"
"18",1,"0","0","0","0","0"
"18",2,"13","12","1","0","0"
"18",3,"38","30","8","0","0"
"18",4,"20","18","2","0","0"
"18",5,"0","0","0","0","0"
"18",6,"137","125","12","0","0"
"19",1,"4","0","0","4","0"
"19",2,"0","0","0","0","0"
"19",3,"72","0","0","64","8"
"19",4,"334","0","0","271","63"
"19",5,"0","0","0","0","0"
"19",6,"307","0","0","266","41"
"20",1,"0","0","0","0","0"
"20",2,"8","0","0","8","0"
"20",3,"19","0","0","18","1"
"20",4,"4","0","0","3","1"
"20",5,"0","0","0","0","0"
"20",6,"54","0","0","46","8"
"21",1,"3","3","0","NSS","NSS"
"21",2,"48","46","2","NSS","NSS"
"21",3,"51","48","3","NSS","NSS"
"21",4,"39","37","2","NSS","NSS"
"21",5,"NSS","0","0","NSS","NSS"
"21",6,"18","18","0","NSS","NSS"
"22",1,"6","0","0","4","2"
"22",2,"29","0","0","29","0"
"22",3,"70","0","0","63","7"
"22",4,"11","0","0","11","0"
"22",5,"0","0","0","0","0"
"22",6,"24","0","0","20","4"
"23",1,"0","0","0","0","0"
"23",2,"3","0","0","2","1"
"23",3,"12","0","0","11","1"
"23",4,"2","0","0","2","0"
"23",5,"0","0","0","0","0"
"23",6,"9","0","0","8","1"
"24",1,"NSS","0","NSS","0","0"
"24",2,"1","0","NSS","1","0"
"24",3,"2","2","NSS","0","0"
"24",4,"2","1","NSS","1","0"
"24",5,"NSS","0","NSS","0","0"
"24",6,"2","1","NSS","1","0"
"25",1,"NSS","0","0","NSS","NSS"
"25",2,"NSS","0","0","NSS","NSS"
"25",3,"NSS","0","0","NSS","NSS"
"25",4,"NSS","0","0","NSS","NSS"
"25",5,"NSS","0","0","NSS","NSS"
"25",6,"NSS","0","0","NSS","NSS"
"26",1,"0","0","0","0","0"
"26",2,"0","0","0","0","0"
"26",3,"96","92","4","0","0"
"26",4,"217","193","24","0","0"
"26",5,"0","0","0","0","0"
"26",6,"106","100","6","0","0"
"27",1,"1","0","0","1","0"
"27",2,"9","0","0","9","0"
"27",3,"14","0","0","12","2"
"27",4,"5","0","0","5","0"
"27",5,"0","0","0","0","0"
"27",6,"23","0","0","22","1"
"28",1,"5","5","0","0","0"
"28",2,"2","2","0","0","0"
"28",3,"54","49","5","0","0"
"28",4,"98","79","19","0","0"
"28",5,"0","0","0","0","0"
"28",6,"203","179","24","0","0"
"29",1,"0","0","0","0","0"
"29",2,"8","8","0","0","0"
"29",3,"22","17","5","0","0"
"29",4,"17","10","7","0","0"
"29",5,"0","0","0","0","0"
"29",6,"8","7","1","0","0"
"30",1,"3","0","0","3","0"
"30",2,"26","0","0","25","1"
"30",3,"33","0","0","32","1"
"30",4,"16","0","0","13","3"
"30",5,"0","0","0","0","0"
"30",6,"13","0","0","13","0"
"31",1,"1","0","0","1","0"
"31",2,"20","0","0","19","1"
"31",3,"42","0","0","41","1"
"31",4,"20","0","0","20","0"
"31",5,"0","0","0","0","0"
"31",6,"17","0","0","17","0"
"32",1,"2","0","0","2","NSS"
"32",2,"10","0","0","10","NSS"
"32",3,"54","0","0","48","6"
"32",4,"18","0","0","18","NSS"
"32",5,"NSS","0","0","0","NSS"
"32",6,"47","0","0","46","1"
