entidad,fam_ling,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5
"01",1,"NSS","NSS","NSS","0","0"
"01",2,"NSS","NSS","NSS","0","0"
"01",3,"NSS","NSS","NSS","0","0"
"01",4,"NSS","NSS","NSS","0","0"
"01",5,"NSS","NSS","NSS","0","0"
"01",6,"NSS","NSS","NSS","0","0"
"01",7,"NSS","NSS","NSS","0","0"
"01",8,"NSS","NSS","NSS","0","0"
"01",9,"NSS","NSS","NSS","0","0"
"01",10,"NSS","NSS","NSS","0","0"
"01",11,"NSS","NSS","NSS","0","0"
"01",12,"NSS","NSS","NSS","0","0"
"01",13,"NSS","NSS","NSS","0","0"
"01",14,"NSS","NSS","NSS","0","0"
"01",15,"316","274","42","0","0"
"02",1,"212","193","19","0","0"
"02",2,"NSS","NSS","NSS","0","0"
"02",3,"NSS","NSS","NSS","0","0"
"02",4,"NSS","NSS","NSS","0","0"
"02",5,"NSS","NSS","NSS","0","0"
"02",6,"NSS","NSS","NSS","0","0"
"02",7,"NSS","NSS","NSS","0","0"
"02",8,"NSS","NSS","NSS","0","0"
"02",9,"NSS","NSS","NSS","0","0"
"02",10,"NSS","NSS","NSS","0","0"
"02",11,"NSS","NSS","NSS","0","0"
"02",12,"NSS","NSS","NSS","0","0"
"02",13,"NSS","NSS","NSS","0","0"
"02",14,"NSS","NSS","NSS","0","0"
"02",15,"7","6","1","0","0"
"03",1,"NSS","NSS","NSS","0","0"
"03",2,"NSS","NSS","NSS","0","0"
"03",3,"NSS","NSS","NSS","0","0"
"03",4,"NSS","NSS","NSS","0","0"
"03",5,"NSS","NSS","NSS","0","0"
"03",6,"NSS","NSS","NSS","0","0"
"03",7,"NSS","NSS","NSS","0","0"
"03",8,"NSS","NSS","NSS","0","0"
"03",9,"NSS","NSS","NSS","0","0"
"03",10,"NSS","NSS","NSS","0","0"
"03",11,"NSS","NSS","NSS","0","0"
"03",12,"NSS","NSS","NSS","0","0"
"03",13,"NSS","NSS","NSS","0","0"
"03",14,"NSS","NSS","NSS","0","0"
"03",15,"31","28","3","0","0"
"04",1,"21","0","0","18","3"
"04",2,"NSS","0","0","NSS","NSS"
"04",3,"NSS","0","0","NSS","NSS"
"04",4,"NSS","0","0","NSS","NSS"
"04",5,"NSS","0","0","NSS","NSS"
"04",6,"NSS","0","0","NSS","NSS"
"04",7,"NSS","0","0","NSS","NSS"
"04",8,"NSS","0","0","NSS","NSS"
"04",9,"NSS","0","0","NSS","NSS"
"04",10,"NSS","0","0","NSS","NSS"
"04",11,"NSS","0","0","NSS","NSS"
"04",12,"NSS","0","0","NSS","NSS"
"04",13,"NSS","0","0","NSS","NSS"
"04",14,"NSS","0","0","NSS","NSS"
"04",15,"3","0","0","2","1"
"05",1,"116","83","2","30","1"
"05",2,"NSS","NSS","0","NSS","NSS"
"05",3,"NSS","NSS","0","NSS","NSS"
"05",4,"NSS","NSS","0","NSS","NSS"
"05",5,"NSS","NSS","0","NSS","NSS"
"05",6,"NSS","NSS","0","NSS","NSS"
"05",7,"NSS","NSS","0","NSS","NSS"
"05",8,"NSS","NSS","0","NSS","NSS"
"05",9,"NSS","NSS","0","NSS","NSS"
"05",10,"NSS","NSS","0","NSS","NSS"
"05",11,"NSS","NSS","0","NSS","NSS"
"05",12,"NSS","NSS","0","NSS","NSS"
"05",13,"NSS","NSS","0","NSS","NSS"
"05",14,"NSS","NSS","0","NSS","NSS"
"05",15,"13","1","0","11","1"
"07",1,"29","0","0","28","1"
"07",2,"0","0","0","0","0"
"07",3,"0","0","0","0","0"
"07",4,"0","0","0","0","0"
"07",5,"0","0","0","0","0"
