entidad,particip,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5
"01",1,"NSS","NSS","NSS","0","0"
"01",2,"NSS","NSS","NSS","0","0"
"01",3,"NSS","NSS","NSS","0","0"
"01",4,"NSS","NSS","NSS","0","0"
"01",5,"NSS","NSS","NSS","0","0"
"01",6,"NSS","NSS","NSS","0","0"
"01",7,"NSS","NSS","NSS","0","0"
"01",8,"NSS","NSS","NSS","0","0"
"01",9,"NSS","NSS","NSS","0","0"
"01",10,"316","274","42","0","0"
"02",1,"34","28","6","0","0"
"02",2,"120","110","10","0","0"
"02",3,"27","27","0","0","0"
"02",4,"12","11","1","0","0"
"02",5,"0","0","0","0","0"
"02",6,"0","0","0","0","0"
"02",7,"0","0","0","0","0"
"02",8,"0","0","0","0","0"
"02",9,"11","9","2","0","0"
"02",10,"15","14","1","0","0"
"03",1,"NSS","NSS","NSS","0","0"
"03",2,"NSS","NSS","NSS","0","0"
"03",3,"NSS","NSS","NSS","0","0"
"03",4,"NSS","NSS","NSS","0","0"
"03",5,"NSS","NSS","NSS","0","0"
"03",6,"NSS","NSS","NSS","0","0"
"03",7,"NSS","NSS","NSS","0","0"
"03",8,"NSS","NSS","NSS","0","0"
"03",9,"NSS","NSS","NSS","0","0"
"03",10,"31","28","3","0","0"
"04",1,"7","0","0","6","1"
"04",2,"2","0","0","1","1"
"04",3,"6","0","0","6","0"
"04",4,"3","0","0","3","0"
"04",5,"0","0","0","0","0"
"04",6,"6","0","0","4","2"
"04",7,"0","0","0","0","0"
"04",8,"0","0","0","0","0"
"04",9,"0","0","0","0","0"
"04",10,"0","0","0","0","0"
"05",1,"0","0","0","0","0"
"05",2,"87","51","0","34","2"
"05",3,"36","33","2","1","0"
"05",4,"0","0","0","0","0"
"05",5,"0","0","0","0","0"
"05",6,"0","0","0","0","0"
"05",7,"0","0","0","0","0"
"05",8,"0","0","0","0","0"
"05",9,"2","0","0","2","0"
"05",10,"4","0","0","4","0"
"07",1,"0","0","0","0","0"
"07",2,"22","0","0","21","1"
"07",3,"9","0","0","9","0"
"07",4,"0","0","0","0","0"
"07",5,"0","0","0","0","0"
"07",6,"0","0","0","0","0"
"07",7,"0","0","0","0","0"
"07",8,"0","0","0","0","0"
"07",9,"0","0","0","0","0"
"07",10,"2","0","0","1","1"
"08",1,"0","0","0","0","0"
"08",2,"835","0","0","747","88"
"08",3,"0","0","0","0","0"
"08",4,"0","0","0","0","0"
"08",5,"0","0","0","0","0"
"08",6,"0","0","0","0","0"
"08",7,"0","0","0","0","0"
"08",8,"0","0","0","0","0"
"08",9,"0","0","0","0","0"
"08",10,"0","0","0","0","0"
"09",1,"2","2","0","NSS","NSS"
"09",2,"57","55","2","NSS","NSS"
"09",3,"157","145","12","NSS","NSS"
"09",4,"NSS","0","0","NSS","NSS"
"09",5,"NSS","0","0","NSS","NSS"
"09",6,"3","2","1","NSS","NSS"
"09",7,"NSS","0","0","NSS","NSS"
"09",8,"NSS","0","0","NSS","NSS"
"09",9,"2","2","0","NSS","NSS"
"09",10,"520","310","26","162","22"
"10",1,"1","NSS","NSS","1","0"
"10",2,"87","NSS","NSS","80","7"
"10",3,"66","NSS","NSS","61","5"
"10",4,"6","NSS","NSS","6","0"
"10",5,"NSS","NSS","NSS","0","0"
"10",6,"2","NSS","NSS","2","0"
"10",7,"NSS","NSS","NSS","0","0"
"10",8,"NSS","NSS","NSS","0","0"
"10",9,"1","NSS","NSS","1","0"
"10",10,"17","1","NSS","13","3"
"12",1,"14","0","0","14","0"
"12",2,"30","0","0","28","2"
"12",3,"28","0","0","27","1"
"12",4,"0","0","0","0","0"
