entidad,sist_oem,sexoidtt,sexoid1,sexoid2,sexoid3
"01",1,"317","274","42","1"
"01",2,"0","0","0","0"
"02",1,"222","199","20","3"
"02",2,"0","0","0","0"
"03",1,"31","28","3","0"
"03",2,"0","0","0","0"
"04",1,"0","0","0","0"
"04",2,"24","20","4","NSS"
"05",1,"86","84","2","0"
"05",2,"43","41","2","0"
"07",1,"0","0","0","0"
"07",2,"35","31","2","2"
"08",1,"0","0","0","0"
"08",2,"835","747","88","0"
"09",1,"557","516","41","0"
"09",2,"184","162","22","0"
"10",1,"2","1","NSS","1"
"10",2,"184","164","15","5"
"12",1,"0","0","0","0"
"12",2,"102","96","6","0"
"13",1,"92","87","5","0"
"13",2,"8","8","0","0"
"14",1,"205","185","19","1"
"14",2,"0","0","0","0"
"15",1,"409","382","27","0"
"15",2,"89","81","8","0"
"16",1,"66","65","1","0"
"16",2,"17","12","1","4"
"17",1,"0","0","0","0"
"17",2,"184","168","14","2"
"18",1,"208","185","23","0"
"18",2,"0","0","0","0"
"19",1,"0","0","0","0"
"19",2,"736","605","112","19"
"20",1,"0","0","0","0"
"20",2,"85","75","10","0"
"21",1,"159","152","7","0"
"21",2,"NSS","NSS","NSS","NSS"
"22",1,"0","0","0","0"
"22",2,"140","127","13","0"
"23",1,"0","0","0","0"
"23",2,"26","23","3","0"
"24",1,"5","4","NSS","1"
"24",2,"3","3","0","0"
"25",1,"0","0","0","0"
"25",2,"NSS","NSS","NSS","NSS"
"26",1,"419","385","34","0"
"26",2,"0","0","0","0"
"27",1,"0","0","0","0"
"27",2,"52","49","3","0"
"28",1,"362","314","48","0"
"28",2,"0","0","0","0"
"29",1,"55","42","13","0"
"29",2,"0","0","0","0"
"30",1,"0","0","0","0"
"30",2,"91","86","5","0"
"31",1,"0","0","0","0"
"31",2,"100","98","2","0"
"32",1,"0","0","0","0"
"32",2,"131","124","7","0"
