entidad,residenc,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5
"01",1,"1","1","NSS","0","0"
"01",2,"NSS","NSS","NSS","0","0"
"01",3,"NSS","NSS","NSS","0","0"
"01",4,"NSS","NSS","NSS","0","0"
"01",5,"NSS","NSS","NSS","0","0"
"01",6,"NSS","NSS","NSS","0","0"
"01",7,"NSS","NSS","NSS","0","0"
"01",8,"NSS","NSS","NSS","0","0"
"01",9,"NSS","NSS","NSS","0","0"
"01",10,"NSS","NSS","NSS","0","0"
"01",11,"NSS","NSS","NSS","0","0"
"01",12,"315","273","42","0","0"
"02",1,"212","193","19","0","0"
"02",2,"1","1","NSS","0","0"
"02",3,"1","1","NSS","0","0"
"02",4,"NSS","0","NSS","0","0"
"02",5,"NSS","0","NSS","0","0"
"02",6,"NSS","0","NSS","0","0"
"02",7,"NSS","0","NSS","0","0"
"02",8,"NSS","0","NSS","0","0"
"02",9,"NSS","0","NSS","0","0"
"02",10,"NSS","0","NSS","0","0"
"02",11,"NSS","0","NSS","0","0"
"02",12,"5","4","1","0","0"
"03",1,"NSS","NSS","NSS","0","0"
"03",2,"NSS","NSS","NSS","0","0"
"03",3,"NSS","NSS","NSS","0","0"
"03",4,"NSS","NSS","NSS","0","0"
"03",5,"NSS","NSS","NSS","0","0"
"03",6,"NSS","NSS","NSS","0","0"
"03",7,"NSS","NSS","NSS","0","0"
"03",8,"NSS","NSS","NSS","0","0"
"03",9,"NSS","NSS","NSS","0","0"
"03",10,"NSS","NSS","NSS","0","0"
"03",11,"NSS","NSS","NSS","0","0"
"03",12,"31","28","3","0","0"
"04",1,"24","0","0","20","4"
"04",2,"0","0","0","0","0"
"04",3,"0","0","0","0","0"
"04",4,"0","0","0","0","0"
"04",5,"0","0","0","0","0"
"04",6,"0","0","0","0","0"
"04",7,"0","0","0","0","0"
"04",8,"0","0","0","0","0"
"04",9,"0","0","0","0","0"
"04",10,"0","0","0","0","0"
"04",11,"0","0","0","0","0"
"04",12,"0","0","0","0","0"
"05",1,"121","83","2","34","2"
"05",2,"2","1","0","1","0"
"05",3,"0","0","0","0","0"
"05",4,"0","0","0","0","0"
"05",5,"2","0","0","2","0"
"05",6,"0","0","0","0","0"
"05",7,"0","0","0","0","0"
"05",8,"0","0","0","0","0"
"05",9,"0","0","0","0","0"
"05",10,"0","0","0","0","0"
"05",11,"1","0","0","1","0"
"05",12,"3","0","0","3","0"
"07",1,"30","0","0","29","1"
"07",2,"0","0","0","0","0"
"07",3,"0","0","0","0","0"
"07",4,"0","0","0","0","0"
"07",5,"1","0","0","1","0"
"07",6,"0","0","0","0","0"
"07",7,"0","0","0","0","0"
"07",8,"0","0","0","0","0"
"07",9,"0","0","0","0","0"
"07",10,"0","0","0","0","0"
"07",11,"0","0","0","0","0"
"07",12,"2","0","0","1","1"
"08",1,"835","0","0","747","88"
"08",2,"0","0","0","0","0"
"08",3,"0","0","0","0","0"
"08",4,"0","0","0","0","0"
"08",5,"0","0","0","0","0"
"08",6,"0","0","0","0","0"
"08",7,"0","0","0","0","0"
"08",8,"0","0","0","0","0"
"08",9,"0","0","0","0","0"
"08",10,"0","0","0","0","0"
"08",11,"0","0","0","0","0"
"08",12,"0","0","0","0","0"
"09",1,"443","403","33","6","1"
"09",2,"54","49","5","0","0"
"09",3,"0","0","0","0","0"
"09",4,"0","0","0","0","0"
"09",5,"0","0","0","0","0"
"09",6,"0","0","0","0","0"
"09",7,"0","0","0","0","0"
"09",8,"0","0","0","0","0"
"09",9,"0","0","0","0","0"
"09",10,"0","0","0","0","0"
"09",11,"0","0","0","0","0"
"09",12,"244","64","3","156","21"
"10",1,"147","NSS","NSS","138","9"
"10",2,"12","NSS","NSS","10","2"
"10",3,"NSS","NSS","NSS","0","0"
"10",4,"1","NSS","NSS","1","0"
"10",5,"NSS","NSS","NSS","0","0"
