entidad,con_estu,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5
"01",1,"NSS","NSS","NSS","0","0"
"01",2,"NSS","NSS","NSS","0","0"
"01",3,"316","274","42","0","0"
"02",1,"52","44","8","0","0"
"02",2,"127","118","9","0","0"
"02",3,"40","37","3","0","0"
"03",1,"NSS","NSS","NSS","0","0"
"03",2,"NSS","NSS","NSS","0","0"
"03",3,"31","28","3","0","0"
"04",1,"NSS","0","0","NSS","NSS"
"04",2,"NSS","0","0","NSS","NSS"
"04",3,"24","0","0","20","4"
"05",1,"35","21","1","12","1"
"05",2,"36","12","NSS","23","1"
"05",3,"58","51","1","6","0"
"07",1,"9","0","0","8","1"
"07",2,"20","0","0","20","NSS"
"07",3,"4","0","0","3","1"
"08",1,"NSS","0","0","NSS","NSS"
"08",2,"NSS","0","0","NSS","NSS"
"08",3,"835","0","0","747","88"
"09",1,"NSS","NSS","NSS","NSS","NSS"
"09",2,"NSS","NSS","NSS","NSS","NSS"
"09",3,"741","516","41","162","22"
"10",1,"39","NSS","NSS","37","2"
"10",2,"116","NSS","NSS","107","9"
"10",3,"25","1","NSS","20","4"
"12",1,"17","0","0","17","NSS"
"12",2,"21","0","0","20","1"
"12",3,"64","0","0","59","5"
"13",1,"NSS","NSS","NSS","NSS","0"
"13",2,"NSS","NSS","NSS","NSS","0"
"13",3,"100","87","5","8","0"
"14",1,"39","30","9","0","0"
"14",2,"112","105","7","0","0"
"14",3,"53","50","3","0","0"
"15",1,"NSS","NSS","NSS","NSS","NSS"
"15",2,"NSS","NSS","NSS","NSS","NSS"
"15",3,"498","382","27","81","8"
"16",1,"1","0","0","1","0"
"16",2,"8","0","0","7","1"
"16",3,"70","65","1","4","0"
"17",1,"64","0","0","60","4"
"17",2,"60","0","0","55","5"
"17",3,"58","0","0","53","5"
"18",1,"26","22","4","0","0"
"18",2,"46","39","7","0","0"
"18",3,"136","124","12","0","0"
"19",1,"NSS","0","0","NSS","NSS"
"19",2,"NSS","0","0","NSS","NSS"
"19",3,"717","0","0","605","112"
"20",1,"14","0","0","12","2"
"20",2,"8","0","0","8","NSS"
"20",3,"63","0","0","55","8"
"21",1,"47","42","5","NSS","NSS"
"21",2,"70","69","1","NSS","NSS"
"21",3,"42","41","1","NSS","NSS"
"22",1,"0","0","0","0","0"
"22",2,"0","0","0","0","0"
"22",3,"140","0","0","127","13"
"23",1,"6","0","0","5","1"
"23",2,"3","0","0","3","NSS"
"23",3,"17","0","0","15","2"
"24",1,"3","2","NSS","1","0"
"24",2,"2","1","NSS","1","0"
"24",3,"2","1","NSS","1","0"
"25",1,"NSS","0","0","NSS","NSS"
"25",2,"NSS","0","0","NSS","NSS"
"25",3,"NSS","0","0","NSS","NSS"
"26",1,"144","125","19","0","0"
"26",2,"239","226","13","0","0"
"26",3,"36","34","2","0","0"
"27",1,"NSS","0","0","NSS","NSS"
"27",2,"NSS","0","0","NSS","NSS"
"27",3,"52","0","0","49","3"
"28",1,"NSS","NSS","NSS","0","0"
"28",2,"NSS","NSS","NSS","0","0"
"28",3,"362","314","48","0","0"
"29",1,"35","23","12","0","0"
"29",2,"10","10","NSS","0","0"
"29",3,"10","9","1","0","0"
"30",1,"12","0","0","10","2"
"30",2,"37","0","0","35","2"
"30",3,"42","0","0","41","1"
"31",1,"34","0","0","34","NSS"
"31",2,"12","0","0","12","NSS"
"31",3,"54","0","0","52","2"
"32",1,"29","0","0","26","3"
"32",2,"61","0","0","58","3"
"32",3,"41","0","0","40","1"
