entidad,sist_oem,ressextt,ressex1,ressex2,ressex3,ressex4,ressex5,ressex6
"01",1,"32","28","3","","1","0",""
"01",2,"0","0","0","","0","0",""
"02",1,"148","122","11","","14","1",""
"02",2,"0","0","0","","0","0",""
"03",1,"NSS","NSS","NSS","","NSS","NSS",""
"03",2,"0","0","0","","0","0",""
"04",1,"0","0","0","","0","0",""
"04",2,"0","0","0","","0","0",""
"05",1,"17","9","1","","7","0",""
"05",2,"2","2","0","","0","0",""
"07",1,"0","0","0","","0","0",""
"07",2,"25","13","2","","9","NSS","1"
"08",1,"0","0","0","","0","0",""
"08",2,"191","180","9","","2","0",""
"09",1,"535","478","28","","28","1",""
"09",2,"6","5","1","","0","0",""
"10",1,"0","0","0","","0","0",""
"10",2,"79","46","2","","31","0",""
"12",1,"0","0","0","","0","0",""
"12",2,"5","4","1","","0","0",""
"13",1,"11","2","2","","7","0",""
"13",2,"0","0","0","","0","0",""
"14",1,"182","163","13","","5","1",""
"14",2,"0","0","0","","0","0",""
"15",1,"17","0","0","","16","1",""
"15",2,"0","0","0","","0","0",""
"16",1,"2","2","0","","0","0",""
"16",2,"0","0","0","","0","0",""
"17",1,"0","0","0","","0","0",""
"17",2,"12","7","0","","3","2",""
"18",1,"32","28","1","","3","0",""
"18",2,"0","0","0","","0","0",""
"19",1,"0","0","0","","0","0",""
"19",2,"42","30","1","11","0","0",""
"20",1,"0","0","0","","0","0",""
"20",2,"13","11","0","","2","0",""
"21",1,"42","35","0","","7","0",""
"21",2,"0","0","0","","0","0",""
"22",1,"0","0","0","","0","0",""
"22",2,"8","8","0","","0","0",""
"23",1,"0","0","0","","0","0",""
"23",2,"8","6","2","","0","0",""
"24",1,"0","0","0","","0","0",""
"24",2,"0","0","0","","0","0",""
"25",1,"0","0","0","","0","0",""
"25",2,"39","NSS","NSS","31","NSS","NSS","8"
"26",1,"436","400","24","","10","2",""
"26",2,"0","0","0","","0","0",""
"27",1,"0","0","0","","0","0",""
"27",2,"42","41","1","","0","0",""
"28",1,"NSS","NSS","NSS","","NSS","NSS",""
"28",2,"0","0","0","","0","0",""
"29",1,"23","20","0","","3","0",""
"29",2,"0","0","0","","0","0",""
"30",1,"0","0","0","","0","0",""
"30",2,"47","22","1","","23","1",""
"31",1,"0","0","0","","0","0",""
"31",2,"21","18","2","","1","0",""
"32",1,"0","0","0","","0","0",""
"32",2,"20","17","0","","2","1",""
