entidad,tipovial,asenhuma,nom_orga,nom_enti,municipi,vialidad,nomasent,num_ext,num_int,codigopo
"12",4,7,"VISITADURÍA GENERAL","GUERRERO","CHILPANCINGO DE LOS BRAVO","RENÉ JUÁREZ CISNEROS ESQUINA CON KENA MORENO,","TEPANGO","NSS","NSS","39096"
"12",4,7,"INSTITUTO PARA EL MEJORAMIENTO JUDICIAL","GUERRERO","CHILPANCINGO DE LOS BRAVO","RENÉ JUÁREZ CISNEROS ESQUINA CON KENA MORENO,","TEPANGO","NSS","NSS","39096"
"12",4,7,"UNIDAD DE ESTADISTICA","GUERRERO","CHILPANCINGO DE LOS BRAVO","RENÉ JUÁREZ CISNEROS ESQUINA CON KENA MORENO,","TEPANGO","NSS","NSS","39096"
"12",4,7,"PRESIDENCIA DEL TRIBUNAL SUPERIOR DE JUSTICIA Y DEL CONSEJO DE LA JUDICATURA","GUERRERO","CHILPANCINGO DE LOS BRAVO","RENÉ JUÁREZ CISNEROS ESQUINA CON KENA MORENO,","TEPANGO","NSS","NSS","39096"
"12",4,7,"UNIDAD DE ATENCIÓN JURÍDICA INTEGRAL CHILPANCINGO","GUERRERO","CHILPANCINGO DE LOS BRAVO","RENÉ JUÁREZ CISNEROS ESQUINA CON KENA MORENO,","TEPANGO","NSS","NSS","39096"
"12",4,7,"ARCHIVO JUDICIAL","GUERRERO","CHILPANCINGO DE LOS BRAVO","RENÉ JUÁREZ CISNEROS ESQUINA CON KENA MORENO,","TEPANGO","NSS","NSS","39096"
"12",4,7,"COORDINACIÓN GENERAL DE PERITOS","GUERRERO","CHILPANCINGO DE LOS BRAVO","RENÉ JUÁREZ CISNEROS ESQUINA CON KENA MORENO,","TEPANGO","NSS","NSS","39096"
"12",4,7,"INSTITUTO DE LA DEFENSORÍA PÚBLICA","GUERRERO","CHILPANCINGO DE LOS BRAVO","RENÉ JUÁREZ CISNEROS ESQUINA CON KENA MORENO,","TEPANGO","NSS","NSS","39096"
"12",5,7,"UNIDAD DE TRANSPARENCIA","GUERRERO","CHILPANCINGO DE LOS BRAVO","MIGUEL HIDALGO  PLAZA PRIMER CONGRESO DE ANÁHUAC","CENTRO","NSS","NSS","39000"
"12",5,7,"CONSEJO DE LA JUDICATURA DEL PODER JUDICIAL DEL ESTADO DE GUERRERO","GUERRERO","CHILPANCINGO DE LOS BRAVO","MIGUEL HIDALGO  PLAZA PRIMER CONGRESO DE ANÁHUAC","CENTRO","NSS","NSS","39000"
"12",5,7,"UNIDAD DE IGUALDAD DE GENERO Y DERECHOS HUMANOS","GUERRERO","CHILPANCINGO DE LOS BRAVO","MIGUEL HIDALGO  PLAZA PRIMER CONGRESO DE ANÁHUAC","CENTRO","NSS","NSS","39000"
"12",5,7,"UNIDAD DE AUDITORÍA INTERNA","GUERRERO","CHILPANCINGO DE LOS BRAVO","MIGUEL HIDALGO  PLAZA PRIMER CONGRESO DE ANÁHUAC","CENTRO","NSS","NSS","39000"
"12",5,7,"UNIDAD DE ASESORIA DE PRESIDENCIA","GUERRERO","CHILPANCINGO DE LOS BRAVO","MIGUEL HIDALGO  PLAZA PRIMER CONGRESO DE ANÁHUAC","COLONIA CENTRO","NSS","NSS","39000"
"12",5,7,"SECRETARIA GENERAL DE ACUERDOS DEL TRIBUNAL SUPERIOR DE JUSTICIA DEL ESTADO DE GUERRERO","GUERRERO","CHILPANCINGO DE LOS BRAVO","MIGUEL HIDALGO  PLAZA PRIMER CONGRESO DE ANÁHUAC","CENTRO","NSS","NSS","39000"
"12",5,7,"OFICINA DE INFORMÁTICA Y CÓMPUTO","GUERRERO","CHILPANCINGO DE LOS BRAVO","MIGUEL HIDALGO  PLAZA PRIMER CONGRESO DE ANÁHUAC","CENTRO","NSS","NSS","39000"
