entidad,tipovial,asenhuma,nom_orga,nom_enti,municipi,vialidad,nomasent,num_ext,num_int,codigopo
"05",4,7,"TRIBUNAL DE APELACION ESPECIALIZADO EN MATERIA DE ADOLESENTES","COAHUILA DE ZARAGOZA","SALTILLO","VENUSTIANO CARRANZA","SANTIAGO","2673","S/N","26274"
"05",4,7,"PRIMER TRIBUNAL DISTRITAL","COAHUILA DE ZARAGOZA","SALTILLO","VENUSTIANO CARRANZA","SANTIAGO","2673","S/N","26274"
"05",4,7,"CUARTO TRIBUNAL DISTRITAL","COAHUILA DE ZARAGOZA","PIEDRAS NEGRAS","REPUBLICA","TECNOLOGICO","1906","NA","25643"
"05",4,7,"JUZGADO PRIMERO LETRADO CIVIL","COAHUILA DE ZARAGOZA","SALTILLO","ISIDRO LOPEZ ZERTUCHE","LOS MAESTROS","2791","S/N","25236"
"05",4,16,"JUZGADO QUINTO DE PRIMERA INSTANCIA EN MATERIA PENAL","COAHUILA DE ZARAGOZA","SAN PEDRO","MEXICO","LATINOAMERICANO","S/N","S/N","27275"
"05",4,16,"JUZGADO CUARTO DE PRIMERA INSTANCIA EN MATERIA PENAL","COAHUILA DE ZARAGOZA","TORREÓN","MEXICO","LATINOAMERICANO","S/N","S/N","27275"
"05",5,7,"JUZGADO DE PRIMERA INSTANCIA AUXILIAR EN MATERIA FAMILIAR","COAHUILA DE ZARAGOZA","SABINAS","ABASOLO","DEL VALLE","168-A","S/N","26700"
"05",5,7,"JUZGADO DE PRIMERA INSTANCIA EN MATERIA CIVIL Y FAMILIAR","COAHUILA DE ZARAGOZA","ACUÑA","NOCHE BUENA","CEDROS","1005","S/N","26233"
"05",5,7,"JUZGADO DE PRIMERA INSTANCIA EN MATERIA FAMILIAR","COAHUILA DE ZARAGOZA","SABINAS","ABASOLO","DEL VALLE","168-A","S/N","26700"
"05",5,7,"JUZGADO CUARTO DE PRIMERA INSTANCIA EN MATERIA FAMILIAR","COAHUILA DE ZARAGOZA","TORREÓN","DEL MIMBRE","VILLAS LA MERCED","S/N","S/N","27296"
"05",5,7,"JUZGADO PRIMERO DE PRIMERA INSTANCIA EN MATERIA CIVIL","COAHUILA DE ZARAGOZA","SABINAS","ABASOLO","DEL VALLE","168-A","S/N","26700"
"05",5,7,"JUZGADO TERCERO DE PRIMERA INSTANCIA EN MATERIA FAMILIAR","COAHUILA DE ZARAGOZA","TORREÓN","DEL MIMBRE","VILLAS LA MERCED","S/N","S/N","27296"
"05",5,7,"JUZGADO SEGUNDO DE PRIMERA INSTANCIA EN MATERIA FAMILIAR","COAHUILA DE ZARAGOZA","TORREÓN","DEL MIMBRE","VILLAS LA MERCED","S/N","S/N","27296"
"05",5,7,"JUZGADO PRIMERO DE PRIMERA INSTANCIA EN MATERIA FAMILIAR","COAHUILA DE ZARAGOZA","TORREÓN","DEL MIMBRE","VILLAS LA MERCED","S/N","S/N","27296"
"05",5,7,"JUZGADO DE PRIMERA INSTANCIA EN MATERIA PENAL DEL SISTEMA ACUSATORIO Y ORAL","COAHUILA DE ZARAGOZA","TORREÓN","DEL MIMBRE","VILLAS LA MERCED","S/N","S/N","27296"
"05",5,7,"JUZGADO DE PRIMERA INSTANCIA EN MATERIA CIVIL","COAHUILA DE ZARAGOZA","PARRAS","RAMOS ARIZPE","ZONA CENTRO","311","S/N","27980"
"05",5,7,"JUZGADO DE PRIMERA INSTANCIA EN MATERIA FAMILIAR","COAHUILA DE ZARAGOZA","PARRAS","RAMOS ARIZPE","ZONA CENTRO","311","S/N","27980"
"05",5,7,"JUZGADO DE PRIMERA INSTANCIA EN MATERIA FAMILIAR","COAHUILA DE ZARAGOZA","ACUÑA","NOCHE BUENA","CEDROS","1005","S/N","26233"
"05",17,7,"JUZGADO DE PRIMERA INSTANCIA EN MATERIA PENAL DEL SISTEMA ACUSATORIO Y ORAL","COAHUILA DE ZARAGOZA","FRONTERA","LIBRAMIENTIO CARLOS SALINAS DE GORTARI","LA MERCED","168-A","S/N","25643"
"05",17,33,"JUZGADO SEGUNDO DE PRIMERA INSTANCIA EN MATERIA CIVIL","COAHUILA DE ZARAGOZA","SALTILLO","LUIS ECHEVERRIA","PARQUE METROPOLITANO","5402","NA","25284"
"05",17,33,"JUZGADO PRIMERO DE PRIMERA INSTANCIA EN MATERIA CIVIL","COAHUILA DE ZARAGOZA","SALTILLO","LUIS ECHEVERRIA","PARQUE METROPOLITANO","5402","NA","25284"
"05",17,33,"JUZGADO TERCERO DE PRIMERA INSTANCIA EN MATERIA CIVIL","COAHUILA DE ZARAGOZA","SALTILLO","LUIS ECHEVERRIA","PARQUE METROPOLITANO","5402","NA","25284"
"05",17,33,"JUZGADO CUARTO DE PRIMERA INSTANCIA EN MATERIA CIVIL","COAHUILA DE ZARAGOZA","SALTILLO","LUIS ECHEVERRIA","PARQUE METROPOLITANO","5402","NA","25284"
"05",17,33,"JUZGADO CUARTO DE PRIMERA INSTANCIA EN MATERIA FAMILIAR","COAHUILA DE ZARAGOZA","SALTILLO","LUIS ECHEVERRIA","PARQUE METROPOLITANO","5402","","25284"
"05",17,33,"JUZGADO TERCERO DE PRIMERA INSTANCIA EN MATERIA  FAMILIAR","COAHUILA DE ZARAGOZA","SALTILLO","LUIS ECHEVERRIA","PARQUE METROPOLITANO","5402","","25284"
