entidad,mat_alte,medcontt,medcon1,medcon2,medcon3,medcon4,medcon5,medcon6,medcon7,medcon8,medcon9,medcon10,medconne
"01",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"01",2,"0","0","0","0","0","0","0","0","0","0","0",""
"01",3,"0","0","0","0","0","0","0","0","0","0","0",""
"01",9,"","","","","","","","","","","",""
"02",1,"0","0","0","0","0","0","0","0","0","0","0",""
"02",2,"0","0","0","0","0","0","0","0","0","0","0",""
"02",3,"0","0","0","0","0","0","0","0","0","0","0",""
"02",9,"","","","","","","","","","","",""
"03",1,"688","399","154","97","38","0","0","0","0","0","0",""
"03",2,"2","2","0","0","0","0","0","0","0","0","0",""
"03",3,"0","0","0","0","0","0","0","0","0","0","0",""
"03",9,"","","","","","","","","","","",""
"04",1,"803","714","89","0","0","0","0","0","0","0","0",""
"04",2,"0","0","0","0","0","0","0","0","0","0","0",""
"04",3,"0","0","0","0","0","0","0","0","0","0","0",""
"04",9,"","","","","","","","","","","",""
"05",1,"831","796","35","0","0","0","0","0","0","0","0",""
"05",2,"0","0","0","0","0","0","0","0","0","0","0",""
"05",3,"0","0","0","0","0","0","0","0","0","0","0",""
"05",9,"","","","","","","","","","","",""
"06",1,"0","0","0","0","0","0","0","0","0","0","0",""
"06",2,"0","0","0","0","0","0","0","0","0","0","0",""
"06",3,"0","0","0","0","0","0","0","0","0","0","0",""
"06",9,"","","","","","","","","","","",""
"07",1,"0","0","0","0","0","0","0","0","0","0","0",""
"07",2,"0","0","0","0","0","0","0","0","0","0","0",""
"07",3,"0","0","0","0","0","0","0","0","0","0","0",""
"07",9,"","","","","","","","","","","",""
"08",1,"8649","0","18","0","7","0","0","0","0","8156","468",""
"08",2,"0","0","0","0","0","0","0","0","0","0","0",""
"08",3,"0","0","0","0","0","0","0","0","0","0","0",""
"08",9,"","","","","","","","","","","",""
"09",1,"1843","1509","272","46","16","0","0","0","0","0","0",""
"09",2,"74","62","10","0","2","0","0","0","0","0","0",""
"09",3,"0","0","0","0","0","0","0","0","0","0","0",""
"09",9,"","","","","","","","","","","",""
"10",1,"486","383","49","43","11","0","0","0","0","0","0",""
"10",2,"25","20","2","2","1","0","0","0","0","0","0",""
"10",3,"0","0","0","0","0","0","0","0","0","0","0",""
"10",9,"","","","","","","","","","","",""
"11",1,"0","0","0","0","0","0","0","0","0","0","0",""
"11",2,"0","0","0","0","0","0","0","0","0","0","0",""
"11",3,"0","0","0","0","0","0","0","0","0","0","0",""
"11",9,"","","","","","","","","","","",""
"12",1,"0","0","0","0","0","0","0","0","0","0","0",""
"12",2,"0","0","0","0","0","0","0","0","0","0","0",""
"12",3,"0","0","0","0","0","0","0","0","0","0","0",""
"12",9,"","","","","","","","","","","",""
"13",1,"0","0","0","0","0","0","0","0","0","0","0",""
"13",2,"0","0","0","0","0","0","0","0","0","0","0",""
"13",3,"0","0","0","0","0","0","0","0","0","0","0",""
"13",9,"","","","","","","","","","","",""
