entidad,delicoan,totalca1
"01",1,"NSS"
"01",2,"0"
"01",3,"NSS"
"01",9,""
"02",1,"702"
"02",2,"0"
"02",3,"702"
"02",9,""
"03",1,"84"
"03",2,"0"
"03",3,"84"
"03",9,""
"04",1,"20"
"04",2,"0"
"04",3,"20"
"04",9,""
"05",1,"1398"
"05",2,"0"
"05",3,"1398"
"05",9,""
"06",1,"123"
"06",2,"0"
"06",3,"123"
"06",9,""
"07",1,"8340"
"07",2,"29"
"07",3,"8369"
"07",9,""
"08",1,"1008"
"08",2,"0"
"08",3,"1008"
"08",9,""
"09",1,"244"
"09",2,"5"
"09",3,"249"
"09",9,""
"10",1,"594"
"10",2,"8"
"10",3,"602"
"10",9,""
"11",1,"420"
"11",2,"NA"
"11",3,"420"
"11",9,""
"12",1,"219"
"12",2,"0"
"12",3,"219"
"12",9,""
"13",1,"89"
"13",2,"0"
"13",3,"89"
"13",9,""
"14",1,"3185"
"14",2,"36"
"14",3,"3221"
"14",9,""
"15",1,"NSS"
"15",2,"0"
"15",3,"NSS"
"15",9,""
"16",1,"700"
"16",2,"0"
"16",3,"700"
"16",9,""
"17",1,"255"
"17",2,"0"
"17",3,"255"
"17",9,""
"18",1,"140"
"18",2,"0"
"18",3,"140"
"18",9,""
"19",1,"59"
"19",2,"3"
"19",3,"62"
"19",9,""
"20",1,"0"
"20",2,"0"
"20",3,"0"
"20",9,""
"21",1,"652"
"21",2,"0"
"21",3,"652"
"21",9,""
"22",1,"NA"
"22",2,"NA"
"22",3,"NA"
"22",9,""
"23",1,"1217"
"23",2,"54"
"23",3,"1271"
"23",9,""
"24",1,"2157"
"24",2,"90"
"24",3,"2247"
"24",9,""
"25",1,"25"
"25",2,"0"
"25",3,"25"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",9,""
"27",1,"NSS"
"27",2,"0"
"27",3,"NSS"
"27",9,""
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",9,""
"29",1,"200"
"29",2,"0"
"29",3,"200"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",9,""
"31",1,"300"
"31",2,"0"
"31",3,"300"
"31",9,""
"32",1,"291"
"32",2,"61"
"32",3,"352"
"32",9,""
