entidad,tipoasun,tisist1,tisist2
"01",1,"1034","0"
"01",2,"885","37"
"01",3,"0","0"
"01",4,"0","0"
"01",5,"0","0"
"01",6,"0","0"
"01",7,"1034","0"
"01",8,"0","0"
"01",9,"0","0"
"01",10,"0","0"
"01",11,"0","0"
"01",12,"0","0"
"01",13,"0","0"
"01",14,"0","0"
"01",15,"0","0"
"02",1,"4149","5116"
"02",2,"11323","245"
"02",3,"0","0"
"02",4,"62","3"
"02",5,"46","8"
"02",6,"12","4"
"02",7,"15","64"
"02",8,"0","0"
"02",9,"0","0"
"02",10,"0","0"
"02",11,"0","0"
"02",12,"74","1"
"02",13,"0","0"
"02",14,"0","0"
"02",15,"88875","0"
"03",1,"1454","402"
"03",2,"1152","34"
"03",3,"0","0"
"03",4,"0","0"
"03",5,"0","0"
"03",6,"0","0"
"03",7,"0","1"
"03",8,"0","35"
"03",9,"0","0"
"03",10,"0","0"
"03",11,"0","0"
"03",12,"0","2"
"03",13,"0","0"
"03",14,"0","0"
"03",15,"0","0"
"04",1,"785","272"
"04",2,"461","0"
"04",3,"0","0"
"04",4,"0","0"
"04",5,"0","0"
"04",6,"0","0"
"04",7,"0","0"
"04",8,"0","0"
"04",9,"0","0"
"04",10,"0","0"
"04",11,"0","0"
"04",12,"0","0"
"04",13,"0","0"
"04",14,"0","0"
"04",15,"1130","0"
"05",1,"255","1310"
"05",2,"1243","49"
"05",3,"0","0"
"05",4,"0","1"
"05",5,"3","0"
"05",6,"0","0"
"05",7,"1","25"
"05",8,"0","0"
"05",9,"0","0"
"05",10,"0","0"
"05",11,"0","0"
"05",12,"46","1"
"05",13,"0","0"
"05",14,"0","0"
"05",15,"25","0"
"06",1,"338","0"
"06",2,"0","0"
"06",3,"0","0"
"06",4,"6","0"
"06",5,"0","0"
"06",6,"0","0"
"06",7,"1","0"
"06",8,"0","0"
"06",9,"0","0"
"06",10,"0","0"
"06",11,"0","0"
"06",12,"0","0"
"06",13,"0","0"
"06",14,"0","0"
"06",15,"0","0"
"07",1,"1218","895"
"07",2,"2446","1077"
"07",3,"0","0"
"07",4,"86","6"
"07",5,"2","1002"
"07",6,"0","1000"
"07",7,"5","3"
"07",8,"0","1002"
"07",9,"100","1000"
"07",10,"100","1000"
"07",11,"0","0"
"07",12,"100","1000"
"07",13,"0","0"
"07",14,"0","0"
"07",15,"1541","1402"
"08",1,"42","9320"
"08",2,"1645","1755"
"08",3,"NSS","0"
"08",4,"NSS","0"
"08",5,"NSS","0"
"08",6,"NSS","0"
"08",7,"NSS","4"
"08",8,"NSS","23"
"08",9,"NSS","0"
"08",10,"NSS","0"
"08",11,"NSS","10531"
"08",12,"NSS","0"
"08",13,"NSS","0"
"08",14,"NSS","0"
"08",15,"0","0"
"09",1,"6017","5265"
"09",2,"7081","805"
"09",3,"NSS","NSS"
"09",4,"658","315"
"09",5,"16","0"
"09",6,"1","0"
"09",7,"NSS","NSS"
"09",8,"1113","43"
"09",9,"2","0"
"09",10,"1","0"
"09",11,"NSS","5240"
"09",12,"NSS","NSS"
"09",13,"NSS","1346"
"09",14,"NSS","NSS"
"09",15,"NSS","285"
"10",1,"67","3261"
"10",2,"8405","4148"
"10",3,"0","0"
"10",4,"3","78"
"10",5,"134","1"
"10",6,"0","1"
"10",7,"0","56"
"10",8,"0","14"
"10",9,"8","1"
"10",10,"0","1"
"10",11,"0","0"
"10",12,"0","1"
"10",13,"0","0"
"10",14,"0","0"
"10",15,"40","1"
"12",1,"2105","236"
"12",2,"792","12"
"12",3,"0","0"
"12",4,"49","0"
"12",5,"0","0"
"12",6,"0","0"
"12",7,"6","1"
"12",8,"0","0"
"12",9,"0","0"
"12",10,"0","0"
"12",11,"0","0"
"12",12,"0","8"
"12",13,"0","0"
"12",14,"0","0"
"12",15,"0","11"
"13",1,"1831","768"
"13",2,"5034","3324"
"13",3,"0","0"
"13",4,"29","6"
"13",5,"14","1"
"13",6,"20","0"
"13",7,"16","3"
"13",8,"5","3"
"13",9,"0","0"
"13",10,"0","0"
"13",11,"3583","1090"
"13",12,"0","0"
"13",13,"0","0"
"13",14,"0","0"
"13",15,"0","0"
"14",1,"5157","448"
"14",2,"3511","34"
"14",3,"0","0"
"14",4,"71","1"
"14",5,"47","0"
"14",6,"4","0"
"14",7,"11","3"
"14",8,"159","27"
"14",9,"8","0"
"14",10,"3","0"
"14",11,"0","0"
"14",12,"24","4"
"14",13,"0","0"
"14",14,"0","0"
"14",15,"1211","17"
"15",1,"2536","10671"
"15",2,"0","4776"
"15",3,"0","0"
"15",4,"4","71"
"15",5,"0","0"
"15",6,"0","0"
"15",7,"0","0"
"15",8,"0","496"
"15",9,"0","0"
"15",10,"0","0"
"15",11,"0","0"
"15",12,"0","0"
"15",13,"0","0"
"15",14,"0","0"
"15",15,"0","0"
"16",1,"3551","1152"
"16",2,"6942","160"
"16",3,"0","0"
"16",4,"3270","0"
"16",5,"3","0"
"16",6,"1","0"
