entidad,mat_alte,conclstt,concls1,concls2,concls3,concls4,concls5,concls6,concls7,concls8,concls9
"01",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"01",2,"0","0","0","0","0","0","0","0","0","0"
"01",3,"0","0","0","0","0","0","0","0","0","0"
"01",9,"","","","","","","","","",""
"02",1,"15108","0","0","0","0","0","0","15108","0","0"
"02",2,"0","0","0","0","0","0","0","0","0","0"
"02",3,"0","0","0","0","0","0","0","0","0","0"
"02",9,"","","","","","","","","",""
"03",1,"1693","315","47","320","0","0","0","323","0","688"
"03",2,"9","2","0","2","0","0","0","3","0","2"
"03",3,"0","0","0","0","0","0","0","0","0","0"
"03",9,"","","","","","","","","",""
"04",1,"2064","136","811","156","25","92","41","0","0","803"
"04",2,"0","0","0","0","0","0","0","0","0","0"
"04",3,"0","0","0","0","0","0","0","0","0","0"
"04",9,"","","","","","","","","",""
"05",1,"7614","1054","1628","364","23","28","777","2474","435","831"
"05",2,"0","0","0","0","0","0","0","0","0","0"
"05",3,"0","0","0","0","0","0","0","0","0","0"
"05",9,"","","","","","","","","",""
"06",1,"1655","104","876","43","5","3","12","612","0","0"
"06",2,"0","0","0","0","0","0","0","0","0","0"
"06",3,"0","0","0","0","0","0","0","0","0","0"
"06",9,"","","","","","","","","",""
"07",1,"29302","2525","13066","0","0","2783","5295","4164","1469","0"
"07",2,"39","9","3","0","0","5","18","4","0","0"
"07",3,"0","0","0","0","0","0","0","0","0","0"
"07",9,"","","","","","","","","",""
"08",1,"25481","1541","1076","577","108","285","26","11897","1322","8649"
"08",2,"21","0","5","0","0","1","0","10","5","0"
"08",3,"0","0","0","0","0","0","0","0","0","0"
"08",9,"","","","","","","","","",""
"09",1,"6383","3099","400","298","6","0","259","478","0","1843"
"09",2,"229","59","31","6","0","0","20","39","0","74"
"09",3,"0","0","0","0","0","0","0","0","0","0"
"09",9,"","","","","","","","","",""
"10",1,"3139","834","742","107","0","775","56","139","0","486"
"10",2,"53","6","5","0","0","8","1","8","0","25"
"10",3,"0","0","0","0","0","0","0","0","0","0"
"10",9,"","","","","","","","","",""
"11",1,"25851","3088","3765","3","5","0","0","18990","0","0"
"11",2,"1418","0","0","0","0","0","0","1418","0","0"
"11",3,"0","0","0","0","0","0","0","0","0","0"
"11",9,"","","","","","","","","",""
"12",1,"914","0","0","0","0","0","0","859","55","0"
"12",2,"0","0","0","0","0","0","0","0","0","0"
"12",3,"0","0","0","0","0","0","0","0","0","0"
"12",9,"","","","","","","","","",""
"13",1,"3149","558","262","234","50","22","0","1393","630","0"
"13",2,"63","9","3","0","0","0","0","28","23","0"
"13",3,"0","0","0","0","0","0","0","0","0","0"
"13",9,"","","","","","","","","",""
"14",1,"6760","1508","1263","274","6","121","805","2544","239","0"
"14",2,"69","13","12","5","0","1","17","21","0","0"
"14",3,"0","0","0","0","0","0","0","0","0","0"
"14",9,"","","","","","","","","",""
"15",1,"3344","439","549","113","0","0","0","1488","0","755"
"15",2,"0","0","0","0","0","0","0","0","0","0"
"15",3,"0","0","0","0","0","0","0","0","0","0"
"15",9,"","","","","","","","","",""
"16",1,"5000","500","400","300","20","150","0","3019","611","0"
"16",2,"0","0","0","0","0","0","0","0","0","0"
"16",3,"0","0","0","0","0","0","0","0","0","0"
"16",9,"","","","","","","","","",""
"17",1,"4868","999","1323","30","232","0","755","1481","0","48"
"17",2,"0","0","0","0","0","0","0","0","0","0"
"17",3,"0","0","0","0","0","0","0","0","0","0"
"17",9,"","","","","","","","","",""
"18",1,"5858","0","0","0","0","0","0","4083","1775","0"
"18",2,"10","0","0","0","0","0","0","10","0","0"
"18",3,"0","0","0","0","0","0","0","0","0","0"
"18",9,"","","","","","","","","",""
"19",1,"18777","1183","10676","232","5","1719","0","4962","0","0"
"19",2,"202","6","56","0","0","20","0","120","0","0"
"19",3,"0","0","0","0","0","0","0","0","0","0"
"19",9,"","","","","","","","","",""
"20",1,"1756","404","87","126","0","198","35","750","2","154"
"20",2,"82","4","5","5","0","0","0","54","0","14"
"20",3,"8534","625","1911","655","15","489","307","4301","0","231"
"20",9,"","","","","","","","","",""
"21",1,"12206","1895","2533","343","11","0","0","3919","369","3136"
"21",2,"0","0","0","0","0","0","0","0","0","0"
"21",3,"0","0","0","0","0","0","0","0","0","0"
"21",9,"","","","","","","","","",""
"22",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22",9,"","","","","","","","","",""
"23",1,"887","350","0","109","0","17","13","231","167","0"
"23",2,"80","31","6","6","1","1","2","29","4","0"
"23",3,"0","0","0","0","0","0","0","0","0","0"
"23",9,"","","","","","","","","",""
"24",1,"4766","965","1010","414","8","164","NSS","1839","366","0"
"24",2,"97","9","9","2","0","0","0","72","5","0"
"24",3,"0","0","0","0","0","0","0","0","0","0"
"24",9,"","","","","","","","","",""
"25",1,"4182","170","145","0","0","269","12","2553","1033","0"
"25",2,"62","4","2","0","0","1","0","42","13","0"
"25",3,"0","0","0","0","0","0","0","0","0","0"
"25",9,"","","","","","","","","",""
"26",1,"1961","0","0","0","0","0","0","1678","0","283"
"26",2,"76","0","0","1","0","0","0","75","0","0"
"26",3,"0","0","0","0","0","0","0","0","0","0"
"26",9,"","","","","","","","","",""
"27",1,"5421","365","741","908","0","0","783","2624","0","0"
"27",2,"0","0","0","0","0","0","0","0","0","0"
"27",3,"0","0","0","0","0","0","0","0","0","0"
"27",9,"","","","","","","","","",""
"28",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"28",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"28",3,"0","0","0","0","0","0","0","0","0","0"
"28",9,"","","","","","","","","",""
"29",1,"2554","254","1166","477","0","0","51","606","0","0"
"29",2,"0","0","0","0","0","0","0","0","0","0"
"29",3,"0","0","0","0","0","0","0","0","0","0"
"29",9,"","","","","","","","","",""
"30",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"30",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"30",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"30",9,"","","","","","","","","",""
"31",1,"2418","418","214","70","50","0","NSS","1468","198","0"
"31",2,"25","2","3","0","0","0","NSS","18","2","0"
"31",3,"0","0","0","0","0","0","0","0","0","0"
"31",9,"","","","","","","","","",""
"32",1,"6331","1321","768","377","139","37","0","0","0","3689"
"32",2,"216","19","41","6","3","2","0","0","0","145"
"32",3,"0","0","0","0","0","0","0","0","0","0"
"32",9,"","","","","","","","","",""
