entidad,delicoan,totalca1
"01",1,"NSS"
"01",2,"0"
"01",3,"NSS"
"01",9,""
"02",1,"15108"
"02",2,"0"
"02",3,"15108"
"02",9,""
"03",1,"323"
"03",2,"3"
"03",3,"326"
"03",9,""
"04",1,"0"
"04",2,"0"
"04",3,"0"
"04",9,""
"05",1,"3189"
"05",2,"0"
"05",3,"3189"
"05",9,""
"06",1,"612"
"06",2,"0"
"06",3,"612"
"06",9,""
"07",1,"6116"
"07",2,"5"
"07",3,"6121"
"07",9,""
"08",1,"13219"
"08",2,"15"
"08",3,"13234"
"08",9,""
"09",1,"478"
"09",2,"39"
"09",3,"517"
"09",9,""
"10",1,"152"
"10",2,"8"
"10",3,"160"
"10",9,""
"11",1,"20809"
"11",2,"NA"
"11",3,"20809"
"11",9,""
"12",1,"914"
"12",2,"0"
"12",3,"914"
"12",9,""
"13",1,"2644"
"13",2,"53"
"13",3,"2697"
"13",9,""
"14",1,"2783"
"14",2,"21"
"14",3,"2804"
"14",9,""
"15",1,"1488"
"15",2,"0"
"15",3,"1488"
"15",9,""
"16",1,"3630"
"16",2,"0"
"16",3,"3630"
"16",9,""
"17",1,"1481"
"17",2,"0"
"17",3,"1481"
"17",9,""
"18",1,"5858"
"18",2,"10"
"18",3,"5868"
"18",9,""
"19",1,"5168"
"19",2,"121"
"19",3,"5289"
"19",9,""
"20",1,"3640"
"20",2,"70"
"20",3,"3710"
"20",9,""
"21",1,"4288"
"21",2,"0"
"21",3,"4288"
"21",9,""
"22",1,"NA"
"22",2,"NA"
"22",3,"NA"
"22",9,""
"23",1,"398"
"23",2,"33"
"23",3,"431"
"23",9,""
"24",1,"2834"
"24",2,"107"
"24",3,"2941"
"24",9,""
"25",1,"4510"
"25",2,"71"
"25",3,"4581"
"25",9,""
"26",1,"1678"
"26",2,"75"
"26",3,"1753"
"26",9,""
"27",1,"2624"
"27",2,"0"
"27",3,"2624"
"27",9,""
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",9,""
"29",1,"606"
"29",2,"0"
"29",3,"606"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",9,""
"31",1,"2425"
"31",2,"20"
"31",3,"2445"
"31",9,""
"32",1,"0"
"32",2,"0"
"32",3,"0"
"32",9,""
