entidad,mat_alte,medsoltt,medsol1,medsol2,medsol3,medsol4,medsol5
"01",1,"NSS","NSS","NSS","NSS","NSS","NSS"
"01",2,"0","0","0","0","0","0"
"01",3,"0","0","0","0","0","0"
"02",1,"15108","15029","0","79","0","0"
"02",2,"0","0","0","0","0","0"
"02",3,"0","0","0","0","0","0"
"03",1,"116","67","49","0","0","0"
"03",2,"0","0","0","0","0","0"
"03",3,"0","0","0","0","0","0"
"04",1,"289","289","0","0","0","0"
"04",2,"0","0","0","0","0","0"
"04",3,"0","0","0","0","0","0"
"05",1,"280","280","0","0","0","0"
"05",2,"0","0","0","0","0","0"
"05",3,"0","0","0","0","0","0"
"06",1,"123","123","0","0","0","0"
"06",2,"0","0","0","0","0","0"
"06",3,"0","0","0","0","0","0"
"07",1,"0","0","0","0","0","0"
"07",2,"0","0","0","0","0","0"
"07",3,"0","0","0","0","0","0"
"08",1,"479","218","261","0","0","0"
"08",2,"5","5","0","0","0","0"
"08",3,"0","0","0","0","0","0"
"09",1,"471","461","10","0","0","0"
"09",2,"21","19","0","2","0","0"
"09",3,"0","0","0","0","0","0"
"10",1,"310","254","56","0","0","0"
"10",2,"22","17","5","0","0","0"
"10",3,"0","0","0","0","0","0"
"11",1,"102","102","0","0","0","0"
"11",2,"0","0","0","0","0","0"
"11",3,"0","0","0","0","0","0"
"12",1,"0","0","0","0","0","0"
"12",2,"0","0","0","0","0","0"
"12",3,"0","0","0","0","0","0"
"13",1,"76","76","0","0","0","0"
"13",2,"0","0","0","0","0","0"
"13",3,"0","0","0","0","0","0"
"14",1,"15","15","0","0","0","0"
"14",2,"0","0","0","0","0","0"
"14",3,"0","0","0","0","0","0"
"15",1,"443","376","67","0","0","0"
"15",2,"0","0","0","0","0","0"
"15",3,"0","0","0","0","0","0"
"16",1,"611","550","61","0","0","0"
"16",2,"0","0","0","0","0","0"
"16",3,"0","0","0","0","0","0"
"17",1,"48","28","20","0","0","0"
"17",2,"0","0","0","0","0","0"
"17",3,"0","0","0","0","0","0"
"18",1,"90","60","30","0","0","0"
"18",2,"0","0","0","0","0","0"
"18",3,"0","0","0","0","0","0"
"19",1,"4005","4005","0","0","0","0"
"19",2,"70","70","0","0","0","0"
"19",3,"0","0","0","0","0","0"
"20",1,"28","9","19","0","0","0"
"20",2,"9","0","0","9","0","0"
"20",3,"38","15","20","3","0","0"
"21",1,"1152","1130","1","21","0","0"
"21",2,"0","0","0","0","0","0"
"21",3,"0","0","0","0","0","0"
"22",1,"NA","NA","NA","NA","NA","NA"
"22",2,"NA","NA","NA","NA","NA","NA"
"22",3,"NA","NA","NA","NA","NA","NA"
"23",1,"138","63","75","0","0","0"
"23",2,"15","8","7","0","0","0"
"23",3,"0","0","0","0","0","0"
"24",1,"334","158","87","2","0","87"
"24",2,"15","10","5","0","0","0"
"24",3,"0","0","0","0","0","0"
"25",1,"168","160","8","0","0","0"
"25",2,"2","2","0","0","0","0"
"25",3,"0","0","0","0","0","0"
"26",1,"NSS","NSS","NSS","NSS","NSS","NSS"
"26",2,"NSS","NSS","NSS","NSS","NSS","NSS"
"26",3,"0","0","0","0","0","0"
"27",1,"NSS","NSS","NSS","NSS","NSS","NSS"
"27",2,"0","0","0","0","0","0"
"27",3,"0","0","0","0","0","0"
"28",1,"NSS","NSS","NSS","NSS","NSS","NSS"
"28",2,"NSS","NSS","NSS","NSS","NSS","NSS"
"28",3,"0","0","0","0","0","0"
"29",1,"0","0","0","0","0","0"
"29",2,"0","0","0","0","0","0"
"29",3,"0","0","0","0","0","0"
"30",1,"NSS","NSS","NSS","NSS","NSS","NSS"
"30",2,"NSS","NSS","NSS","NSS","NSS","NSS"
"30",3,"NSS","NSS","NSS","NSS","NSS","NSS"
"31",1,"70","70","0","0","0","0"
"31",2,"0","0","0","0","0","0"
"31",3,"0","0","0","0","0","0"
"32",1,"946","476","470","0","0","0"
"32",2,"74","0","1","73","0","0"
"32",3,"0","0","0","0","0","0"
