entidad,mat_alte,medsoltt,medsol1,medsol2,medsol3,medsol4,medsol5,medsolne
"01",1,"NA","NA","NA","NA","NA","NA",""
"01",2,"NA","NA","NA","NA","NA","NA",""
"01",3,"NA","NA","NA","NA","NA","NA",""
"02",1,"15108","15029","0","79","0","0",""
"02",2,"0","0","0","0","0","0",""
"02",3,"0","0","0","0","0","0",""
"03",1,"NA","NA","NA","NA","NA","NA",""
"03",2,"NA","NA","NA","NA","NA","NA",""
"03",3,"NA","NA","NA","NA","NA","NA",""
"04",1,"0","0","0","0","0","0",""
"04",2,"0","0","0","0","0","0",""
"04",3,"0","0","0","0","0","0",""
"05",1,"831","831","0","0","0","0",""
"05",2,"0","0","0","0","0","0",""
"05",3,"0","0","0","0","0","0",""
"06",1,"NA","NA","NA","NA","NA","NA",""
"06",2,"NA","NA","NA","NA","NA","NA",""
"06",3,"NA","NA","NA","NA","NA","NA",""
"07",1,"NA","NA","NA","NA","NA","NA",""
"07",2,"NA","NA","NA","NA","NA","NA",""
"07",3,"NA","NA","NA","NA","NA","NA",""
"08",1,"3153","2023","1130","0","0","0",""
"08",2,"0","0","0","0","0","0",""
"08",3,"0","0","0","0","0","0",""
"09",1,"NA","NA","NA","NA","NA","NA",""
"09",2,"NA","NA","NA","NA","NA","NA",""
"09",3,"NA","NA","NA","NA","NA","NA",""
"10",1,"NSS","NSS","NSS","0","0","0",""
"10",2,"NSS","NSS","NSS","0","0","0",""
"10",3,"0","0","0","0","0","0",""
"11",1,"18990","18653","330","7","0","0",""
"11",2,"0","0","0","0","0","0",""
"11",3,"0","0","0","0","0","0",""
"12",1,"NA","NA","NA","NA","NA","NA",""
"12",2,"NA","NA","NA","NA","NA","NA",""
"12",3,"NA","NA","NA","NA","NA","NA",""
"13",1,"1124","1124","0","0","0","0",""
"13",2,"41","41","0","0","0","0",""
"13",3,"0","0","0","0","0","0",""
"14",1,"145","145","0","0","0","0",""
"14",2,"0","0","0","0","0","0",""
"14",3,"0","0","0","0","0","0",""
"15",1,"NA","NA","NA","NA","NA","NA",""
"15",2,"NA","NA","NA","NA","NA","NA",""
"15",3,"NA","NA","NA","NA","NA","NA",""
"16",1,"611","550","61","0","0","0",""
"16",2,"0","0","0","0","0","0",""
"16",3,"0","0","0","0","0","0",""
"17",1,"1481","923","553","5","0","0",""
"17",2,"0","0","0","0","0","0",""
"17",3,"0","0","0","0","0","0",""
"18",1,"562","271","291","0","0","0",""
"18",2,"0","0","0","0","0","0",""
"18",3,"0","0","0","0","0","0",""
"19",1,"4005","4005","0","0","0","0",""
"19",2,"70","70","0","0","0","0",""
"19",3,"0","0","0","0","0","0",""
"20",1,"182","72","100","10","0","0",""
"20",2,"23","0","0","23","0","0",""
"20",3,"269","120","125","24","0","0",""
"21",1,"4288","4229","3","56","0","0",""
"21",2,"0","0","0","0","0","0",""
"21",3,"0","0","0","0","0","0",""
"22",1,"NA","NA","NA","NA","NA","NA",""
"22",2,"NA","NA","NA","NA","NA","NA",""
"22",3,"NA","NA","NA","NA","NA","NA",""
"23",1,"398","246","140","0","12","0",""
"23",2,"33","28","3","0","2","0",""
"23",3,"0","0","0","0","0","0",""
"24",1,"535","3","443","2","0","87",""
"24",2,"19","0","19","0","0","0",""
"24",3,"0","0","0","0","0","0",""
"25",1,"1033","1002","30","1","0","0",""
"25",2,"13","13","0","0","0","0",""
"25",3,"0","0","0","0","0","0",""
"26",1,"1276","1276","0","0","0","0",""
"26",2,"75","75","0","0","0","0",""
"26",3,"0","0","0","0","0","0",""
"27",1,"1261","NSS","NSS","0","0","0","1261"
"27",2,"0","0","0","0","0","0",""
"27",3,"0","0","0","0","0","0",""
"28",1,"NSS","NSS","NSS","NSS","NSS","NSS",""
"28",2,"NSS","NSS","NSS","NSS","NSS","NSS",""
"28",3,"0","0","0","0","0","0",""
"29",1,"NA","NA","NA","NA","NA","NA",""
"29",2,"NA","NA","NA","NA","NA","NA",""
"29",3,"NA","NA","NA","NA","NA","NA",""
"30",1,"NA","NA","NA","NA","NA","NA",""
"30",2,"NA","NA","NA","NA","NA","NA",""
"30",3,"NA","NA","NA","NA","NA","NA",""
"31",1,"525","500","25","0","NSS","NSS",""
"31",2,"10","10","0","0","NSS","NSS",""
"31",3,"0","0","0","0","0","0",""
"32",1,"NA","NA","NA","NA","NA","NA",""
"32",2,"NA","NA","NA","NA","NA","NA",""
"32",3,"NA","NA","NA","NA","NA","NA",""
