entidad,mater_ja,conclstt,concls1,concls2,concls3,concls4,concls5,concls6,concls7,concls8,concls9,no_aplic
"01",1,"607","NSS","NSS","NSS","NSS","NSS","NSS","507","0","100",""
"01",2,"326","NSS","NSS","NSS","NSS","NSS","NSS","293","0","33",""
"01",3,"439","NSS","NSS","NSS","NSS","NSS","NSS","360","0","79",""
"01",4,"43","NSS","NSS","NSS","NSS","NSS","NSS","38","0","5",""
"01",5,"12","NSS","NSS","NSS","NSS","NSS","NSS","10","0","2",""
"01",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"01",7,"0","0","0","0","0","0","0","0","0","0",""
"01",8,"15","NSS","NSS","NSS","NSS","NSS","NSS","14","0","1",""
"02",1,"1139","0","0","0","0","0","0","1139","0","0",""
"02",2,"102","0","0","0","0","0","0","102","0","0",""
"02",3,"914","0","0","0","0","0","0","914","0","0",""
"02",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"02",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"02",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"02",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"02",8,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0",""
"03",1,"462","38","149","25","0","34","41","175","0","0",""
"03",2,"309","10","110","9","0","71","16","93","0","0",""
"03",3,"381","47","68","37","0","19","23","187","0","0",""
"03",4,"79","0","42","7","0","0","0","30","0","0",""
"03",5,"22","0","7","3","0","3","1","8","0","0",""
"03",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"03",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"03",8,"200","34","50","12","0","17","10","77","0","0",""
"04",1,"535","25","138","54","0","18","5","160","135","0",""
"04",2,"781","31","133","93","0","19","3","257","245","0",""
"04",3,"673","31","161","95","0","29","7","292","58","0",""
"04",4,"71","2","7","15","0","2","0","43","2","0",""
"04",5,"0","0","0","0","0","0","0","0","0","0",""
"04",6,"0","0","0","0","0","0","0","0","0","0",""
"04",7,"0","0","0","0","0","0","0","0","0","0",""
"04",8,"0","0","0","0","0","0","0","0","0","0",""
"05",1,"411","13","44","31","0","11","1","311","0","0",""
"05",2,"136","3","16","9","1","0","0","107","0","0",""
"05",3,"1739","46","331","119","1","29","8","1205","0","0",""
"05",4,"18","1","5","2","0","2","0","8","0","0",""
