entidad,mater_ja,mesolutt,mesolu1,mesolu2,mesolu3,mesolu4,mesolu5,mesolu6,mesolu7,mesolu8,mesolu9,mesolu10,mesolu11,mesolunt
"01",1,"507","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","507","507"
"01",2,"293","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","293","293"
"01",3,"360","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","360","360"
"01",4,"38","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","38","38"
"01",5,"10","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","10","10"
"01",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"01",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"01",8,"14","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","14","14"
"01",9,"","","","","","","","","","","","",""
"02",1,"1139","0","0","1139","0","0","0","0","0","0","0","",""
"02",2,"102","0","0","102","0","0","0","0","0","0","0","",""
"02",3,"914","914","0","0","0","0","0","0","0","0","0","",""
"02",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"02",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"02",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"02",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"02",8,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"02",9,"","","","","","","","","","","","",""
"03",1,"175","137","0","0","0","0","0","38","0","0","0","",""
"03",2,"93","83","0","0","0","0","0","10","0","0","0","",""
"03",3,"187","141","0","0","0","0","0","46","0","0","0","",""
"03",4,"30","30","0","0","0","0","0","0","0","0","0","",""
"03",5,"8","8","0","0","0","0","0","0","0","0","0","",""
"03",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"03",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"03",8,"77","67","0","0","0","0","0","10","0","0","0","",""
"03",9,"","","","","","","","","","","","",""
"04",1,"295","160","135","0","0","0","0","0","0","0","0","",""
"04",2,"502","257","245","0","0","0","0","0","0","0","0","",""
"04",3,"350","292","58","0","0","0","0","0","0","0","0","",""
"04",4,"45","43","2","0","0","0","0","0","0","0","0","",""
"04",5,"0","0","0","0","0","0","0","0","0","0","0","",""
"04",6,"0","0","0","0","0","0","0","0","0","0","0","",""
"04",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"04",8,"0","0","0","0","0","0","0","0","0","0","0","",""
"04",9,"","","","","","","","","","","","",""
"05",1,"311","311","0","0","0","0","0","0","0","0","0","",""
"05",2,"107","107","0","0","0","0","0","0","0","0","0","",""
"05",3,"1205","1205","0","0","0","0","0","0","0","0","0","",""
"05",4,"8","7","0","0","0","1","0","0","0","0","0","",""
"05",5,"0","0","0","0","0","0","0","0","0","0","0","",""
"05",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"05",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"05",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"05",9,"","","","","","","","","","","","",""
"06",1,"343","343","0","0","0","0","0","0","0","0","0","",""
"06",2,"108","108","0","0","0","0","0","0","0","0","0","",""
"06",3,"355","355","0","0","0","0","0","0","0","0","0","",""
"06",4,"0","0","0","0","0","0","0","0","0","0","0","",""
"06",5,"3","3","0","0","0","0","0","0","0","0","0","",""
"06",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"06",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"06",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"06",9,"","","","","","","","","","","","",""
"07",1,"184","133","0","51","0","0","0","0","0","0","0","",""
"07",2,"216","176","0","40","0","0","0","0","0","0","0","",""
"07",3,"755","509","0","246","0","0","0","0","0","0","0","",""
"07",4,"24","16","0","8","0","0","0","0","0","0","0","",""
"07",5,"0","0","0","0","0","0","0","0","0","0","0","",""
"07",6,"0","0","0","0","0","0","0","0","0","0","0","",""
"07",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"07",8,"0","0","0","0","0","0","0","0","0","0","0","",""
"07",9,"","","","","","","","","","","","",""
"08",1,"533","484","1","48","0","0","0","0","0","0","0","",""
"08",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"08",3,"1149","1141","1","7","0","0","0","0","0","0","0","",""
"08",4,"138","NSS","0","NSS","0","0","0","0","0","0","0","138","138"
"08",5,"0","0","0","0","0","0","0","0","0","0","0","",""
"08",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"08",7,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"08",8,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"08",9,"","","","","","","","","","","","",""
"09",1,"1341","1341","0","0","0","0","0","0","0","0","0","",""
"09",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",3,"810","810","0","0","0","0","0","0","0","0","0","",""
"09",4,"99","99","0","0","0","0","0","0","0","0","0","",""
"09",5,"28","28","0","0","0","0","0","0","0","0","0","",""
"09",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",8,"6486","6486","0","0","0","0","0","0","0","0","0","",""
"09",9,"","","","","","","","","","","","",""
"10",1,"827","827","0","0","0","0","0","0","0","0","0","",""
"10",2,"304","304","0","0","0","0","0","0","0","0","0","",""
"10",3,"587","587","0","0","0","0","0","0","0","0","0","",""
"10",4,"21","21","0","0","0","0","0","0","0","0","0","",""
"10",5,"6","2","0","0","0","4","0","0","0","0","0","",""
"10",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"10",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"10",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"10",9,"","","","","","","","","","","","",""
"11",1,"1542","1542","0","0","0","0","0","0","0","0","0","",""
"11",2,"1460","1460","0","0","0","0","0","0","0","0","0","",""
"11",3,"6536","1972","0","4456","108","0","0","0","0","0","0","",""
"11",4,"1253","0","0","0","0","1253","0","0","0","0","0","",""
"11",5,"30","0","0","0","0","30","0","0","0","0","0","",""
"11",6,"0","0","0","0","0","0","0","0","0","0","0","",""
"11",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"11",8,"160","160","0","0","0","0","0","0","0","0","0","",""
"11",9,"","","","","","","","","","","","",""
"12",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"12",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"12",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"12",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"12",5,"10","5","0","0","0","5","0","0","0","0","0","",""
"12",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"12",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"12",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"12",9,"","","","","","","","","","","","",""
"13",1,"812","812","0","0","0","0","0","0","0","0","0","",""
"13",2,"231","231","0","0","0","0","0","0","0","0","0","",""
"13",3,"1189","1189","0","0","0","0","0","0","0","0","0","",""
"13",4,"41","41","0","0","0","0","0","0","0","0","0","",""
"13",5,"0","0","0","0","0","0","0","0","0","0","0","",""
"13",6,"408","408","0","0","0","0","0","0","0","0","0","",""
"13",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"13",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"13",9,"","","","","","","","","","","","",""
"14",1,"204","204","0","0","0","0","0","0","0","0","0","",""
"14",2,"60","60","0","0","0","0","0","0","0","0","0","",""
"14",3,"1053","1053","0","0","0","0","0","0","0","0","0","",""
"14",4,"963","963","0","0","0","0","0","0","0","0","0","",""
"14",5,"0","0","0","0","0","0","0","0","0","0","0","",""
"14",6,"0","0","0","0","0","0","0","0","0","0","0","",""
"14",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"14",8,"48","48","0","0","0","0","0","0","0","0","0","",""
"14",9,"","","","","","","","","","","","",""
"15",1,"716","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","716","716"
"15",2,"394","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","394","394"
"15",3,"4336","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","4336","4336"
"15",4,"123","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","123","123"
"15",5,"0","0","0","0","0","0","0","0","0","0","0","",""
"15",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"15",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"15",8,"674","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","674","674"
"15",9,"","","","","","","","","","","","",""
"16",1,"223","223","0","0","0","0","0","0","0","0","0","",""
"16",2,"87","87","0","0","0","0","0","0","0","0","0","",""
"16",3,"663","663","0","0","0","0","0","0","0","0","0","",""
"16",4,"207","207","0","0","0","0","0","0","0","0","0","",""
"16",5,"3","3","0","0","0","0","0","0","0","0","0","",""
"16",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"16",7,"NSS","NSS","0","0","0","0","0","0","0","0","0","",""
"16",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"16",9,"","","","","","","","","","","","",""
"17",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"18",1,"387","387","0","0","0","0","0","0","0","0","0","",""
"18",2,"372","372","0","0","0","0","0","0","0","0","0","",""
"18",3,"245","245","0","0","0","0","0","0","0","0","0","",""
"18",4,"0","0","0","0","0","0","0","0","0","0","0","",""
"18",5,"0","0","0","0","0","0","0","0","0","0","0","",""
"18",6,"0","0","0","0","0","0","0","0","0","0","0","",""
"18",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"18",8,"0","0","0","0","0","0","0","0","0","0","0","",""
"18",9,"","","","","","","","","","","","",""
