entidad,mater_ja,tietaptt,tietap1,tietap2,tietap3,tietap4,tietapne,no_aplic
"01",1,"0","0","0","0","0","",""
"01",2,"0","0","0","0","0","",""
"01",3,"0","0","0","0","0","",""
"01",4,"0","0","0","0","0","",""
"01",5,"0","0","0","0","0","",""
"01",6,"NA","NA","NA","NA","NA","","1"
"01",7,"0","0","0","0","0","",""
"01",8,"0","0","0","0","0","",""
"02",1,"NSS","NSS","NSS","NSS","NSS","",""
"02",2,"NSS","NSS","NSS","NSS","NSS","",""
"02",3,"NSS","NSS","NSS","NSS","NSS","",""
"02",4,"NA","NA","NA","NA","NA","","1"
"02",5,"NA","NA","NA","NA","NA","","1"
"02",6,"NA","NA","NA","NA","NA","","1"
"02",7,"NA","NA","NA","NA","NA","","1"
"02",8,"NSS","NSS","NSS","NSS","NSS","",""
"03",1,"41","0","41","0","0","",""
"03",2,"9","0","9","0","0","",""
"03",3,"27","0","27","0","0","",""
"03",4,"3","0","2","1","0","",""
"03",5,"2","0","1","0","1","",""
"03",6,"NA","NA","NA","NA","NA","","1"
"03",7,"NA","NA","NA","NA","NA","","1"
"03",8,"20","0","20","0","0","",""
"04",1,"81","0","19","47","15","",""
"04",2,"100","0","34","51","15","",""
"04",3,"106","0","14","82","10","",""
"04",4,"7","0","1","6","0","",""
"04",5,"0","0","0","0","0","",""
"04",6,"0","0","0","0","0","",""
"04",7,"0","0","0","0","0","",""
"04",8,"0","0","0","0","0","",""
"05",1,"8","0","0","0","8","",""
"05",2,"1","0","0","0","1","",""
"05",3,"56","0","0","0","56","",""
"05",4,"5","0","0","0","5","",""
"05",5,"0","0","0","0","0","",""
"05",6,"NA","NA","NA","NA","NA","","1"
"05",7,"0","0","0","0","0","",""
"05",8,"NA","NA","NA","NA","NA","","1"
"06",1,"NSS","NSS","NSS","NSS","NSS","",""
"06",2,"NSS","NSS","NSS","NSS","NSS","",""
"06",3,"NSS","NSS","NSS","NSS","NSS","",""
"06",4,"NSS","NSS","NSS","NSS","NSS","",""
"06",5,"NSS","NSS","NSS","NSS","NSS","",""
"06",6,"NA","NA","NA","NA","NA","","1"
"06",7,"NSS","NSS","NSS","NSS","NSS","",""
"06",8,"NA","NA","NA","NA","NA","","1"
"07",1,"NSS","0","0","NSS","0","",""
"07",2,"NSS","0","0","NSS","0","",""
"07",3,"NSS","0","0","NSS","0","",""
"07",4,"NSS","0","0","NSS","0","",""
"07",5,"0","0","0","0","0","",""
"07",6,"0","0","0","0","0","",""
"07",7,"505","0","0","505","0","",""
"07",8,"0","0","0","0","0","",""
"08",1,"5","0","0","0","5","",""
"08",2,"NSS","NSS","NSS","NSS","NSS","",""
"08",3,"44","0","0","0","44","",""
"08",4,"5","0","0","0","5","",""
"08",5,"0","0","0","0","0","",""
"08",6,"NSS","NSS","NSS","NSS","NSS","",""
"08",7,"NSS","NSS","NSS","NSS","NSS","",""
"08",8,"NSS","NSS","NSS","NSS","NSS","",""
"09",1,"754","0","754","0","0","",""
"09",2,"NA","NA","NA","NA","NA","","1"
"09",3,"122","0","122","0","0","",""
"09",4,"10","0","0","10","0","",""
"09",5,"0","0","0","0","0","",""
"09",6,"NA","NA","NA","NA","NA","","1"
"09",7,"NA","NA","NA","NA","NA","","1"
"09",8,"0","0","0","0","0","",""
"10",1,"57","0","0","57","0","",""
"10",2,"16","0","0","16","0","",""
"10",3,"22","0","0","22","0","",""
"10",4,"82","0","0","82","0","",""
"10",5,"3","0","0","3","0","",""
