entidad,tip_conc,sisoemtt,sisoem1,sisoem2
"01",1,"31","31","0"
"01",2,"1","1","0"
"01",3,"6","6","0"
"01",4,"27","27","0"
"01",9,"","",""
"02",1,"133","133","0"
"02",2,"15","15","0"
"02",3,"6","6","0"
"02",4,"363","363","0"
"02",9,"","",""
"03",1,"NSS","NSS","0"
"03",2,"NSS","NSS","0"
"03",3,"NSS","NSS","0"
"03",4,"15","15","0"
"03",9,"","",""
"04",1,"0","0","0"
"04",2,"0","0","0"
"04",3,"0","0","0"
"04",4,"34","0","34"
"04",9,"","",""
"05",1,"12","10","2"
"05",2,"7","7","0"
"05",3,"13","11","2"
"05",4,"61","50","11"
"05",9,"","",""
"07",1,"15","0","15"
"07",2,"10","0","10"
"07",3,"1","0","1"
"07",4,"15","6","9"
"07",9,"","",""
"08",1,"189","0","189"
"08",2,"2","0","2"
"08",3,"570","0","570"
"08",4,"17","0","17"
"08",9,"","",""
"09",1,"512","506","6"
"09",2,"29","29","0"
"09",3,"21","21","0"
"09",4,"100","96","4"
"09",9,"","",""
"10",1,"48","0","48"
"10",2,"31","0","31"
"10",3,"6","0","6"
"10",4,"88","1","87"
"10",9,"","",""
"12",1,"5","0","5"
"12",2,"0","0","0"
"12",3,"6","0","6"
"12",4,"22","0","22"
"12",9,"","",""
"13",1,"4","4","0"
"13",2,"7","7","0"
"13",3,"67","67","0"
"13",4,"1","1","0"
"13",9,"","",""
"14",1,"176","176","0"
"14",2,"6","6","0"
"14",3,"7","7","0"
"14",4,"56","56","0"
"14",9,"","",""
"15",1,"0","0","0"
"15",2,"17","17","0"
"15",3,"0","0","0"
"15",4,"837","835","2"
"15",9,"","",""
"16",1,"2","2","0"
"16",2,"0","0","0"
"16",3,"48","48","0"
"16",4,"2","2","0"
"16",9,"","",""
"17",1,"7","0","7"
"17",2,"5","0","5"
"17",3,"48","0","48"
"17",4,"194","0","194"
"17",9,"","",""
"18",1,"135","135","0"
"18",2,"17","17","0"
"18",3,"87","87","0"
"18",4,"75","75","0"
"18",9,"","",""
"19",1,"42","0","42"
"19",2,"0","0","0"
"19",3,"0","0","0"
"19",4,"868","0","868"
"19",9,"","",""
"20",1,"11","0","11"
"20",2,"2","0","2"
"20",3,"23","0","23"
"20",4,"70","0","70"
"20",9,"","",""
"21",1,"35","35","0"
"21",2,"7","7","0"
"21",3,"2","2","0"
"21",4,"14","5","9"
"21",9,"","",""
"22",1,"8","0","8"
"22",2,"0","0","0"
"22",3,"54","0","54"
"22",4,"17","0","17"
"22",9,"","",""
"23",1,"8","0","8"
"23",2,"0","0","0"
"23",3,"1","0","1"
"23",4,"4","0","4"
"23",9,"","",""
"24",1,"0","0","0"
"24",2,"0","0","0"
"24",3,"0","0","0"
"24",4,"2","2","0"
"24",9,"","",""
"25",1,"31","0","31"
"25",2,"8","0","8"
"25",3,"276","0","276"
"25",4,"7","0","7"
"25",9,"","",""
"26",1,"424","424","0"
"26",2,"12","12","0"
"26",3,"0","0","0"
"26",4,"84","84","0"
"26",9,"","",""
"27",1,"42","0","42"
"27",2,"0","0","0"
"27",3,"0","0","0"
"27",4,"1","1","0"
"27",9,"","",""
"28",1,"NSS","NSS","0"
"28",2,"NSS","NSS","0"
"28",3,"NSS","NSS","0"
"28",4,"468","468","0"
"28",9,"","",""
"29",1,"20","20","0"
"29",2,"3","3","0"
"29",3,"19","19","0"
"29",4,"1","1","0"
"29",9,"","",""
"30",1,"23","0","23"
"30",2,"24","0","24"
"30",3,"15","0","15"
"30",4,"125","0","125"
"30",9,"","",""
"31",1,"20","0","20"
"31",2,"1","0","1"
"31",3,"10","0","10"
"31",4,"6","0","6"
"31",9,"","",""
"32",1,"17","0","17"
"32",2,"3","0","3"
"32",3,"129","0","129"
"32",4,"204","0","204"
"32",9,"","",""
