entidad,cautrast,totalca1
"01",1,"77"
"01",2,"106"
"01",3,"30"
"01",4,"104"
"01",9,""
"02",1,"2"
"02",2,"44"
"02",3,"4"
"02",4,"12"
"02",9,""
"03",1,"0"
"03",2,"0"
"03",3,"331"
"03",4,"0"
"03",9,""
"04",1,"0"
"04",2,"0"
"04",3,"0"
"04",4,"0"
"04",9,""
"05",1,"18"
"05",2,"0"
"05",3,"3"
"05",4,"0"
"05",9,""
"07",1,"0"
"07",2,"0"
"07",3,"0"
"07",4,"3"
"07",9,""
"08",1,"0"
"08",2,"0"
"08",3,"0"
"08",4,"0"
"08",9,""
"09",1,"NSS"
"09",2,"NSS"
"09",3,"NSS"
"09",4,"NSS"
"09",9,""
"10",1,"0"
"10",2,"0"
"10",3,"0"
"10",4,"0"
"10",9,""
"12",1,"0"
"12",2,"0"
"12",3,"0"
"12",4,"0"
"12",9,""
"13",1,"33"
"13",2,"23"
"13",3,"0"
"13",4,"8"
"13",9,""
"14",1,"42"
"14",2,"32"
"14",3,"14"
"14",4,"79"
"14",9,""
"15",1,"NSS"
"15",2,"NSS"
"15",3,"NSS"
"15",4,"NSS"
"15",9,""
"16",1,"12"
"16",2,"1"
"16",3,"1"
"16",4,"1"
"16",9,""
"17",1,"0"
"17",2,"0"
"17",3,"0"
"17",4,"0"
"17",9,""
"18",1,"43"
"18",2,"21"
"18",3,"16"
"18",4,"47"
"18",9,""
"19",1,"0"
"19",2,"0"
"19",3,"0"
"19",4,"0"
"19",9,""
"20",1,"0"
"20",2,"0"
"20",3,"0"
"20",4,"0"
"20",9,""
"21",1,"6"
"21",2,"10"
"21",3,"0"
"21",4,"65"
"21",9,""
"22",1,"0"
"22",2,"0"
"22",3,"0"
"22",4,"0"
"22",9,""
"23",1,"0"
"23",2,"0"
"23",3,"0"
"23",4,"0"
"23",9,""
"24",1,"1"
"24",2,"0"
"24",3,"1"
"24",4,"0"
"24",9,""
"25",1,"0"
"25",2,"0"
"25",3,"0"
"25",4,"0"
"25",9,""
"26",1,"0"
"26",2,"23"
"26",3,"27"
"26",4,"116"
"26",9,""
"27",1,"0"
"27",2,"0"
"27",3,"0"
"27",4,"0"
"27",9,""
"28",1,"0"
"28",2,"41"
"28",3,"0"
"28",4,"14"
"28",9,""
"29",1,"18"
"29",2,"58"
"29",3,"13"
"29",4,"4"
"29",9,""
"30",1,"0"
"30",2,"0"
"30",3,"0"
"30",4,"0"
"30",9,""
"31",1,"0"
"31",2,"0"
"31",3,"0"
"31",4,"0"
"31",9,""
"32",1,"0"
"32",2,"0"
"32",3,"0"
"32",4,"0"
"32",9,""
