entidad,etastrso,totalca1
"01",1,"0"
"01",2,"0"
"01",3,"0"
"01",4,"0"
"01",9,""
"02",1,"0"
"02",2,"0"
"02",3,"0"
"02",4,"0"
"02",9,""
"03",1,"0"
"03",2,"0"
"03",3,"0"
"03",4,"0"
"03",9,""
"04",1,"NSS"
"04",2,"NSS"
"04",3,"NSS"
"04",4,"NSS"
"04",9,""
"05",1,"9"
"05",2,"1"
"05",3,"0"
"05",4,"9"
"05",9,""
"07",1,"4"
"07",2,"4"
"07",3,"5"
"07",4,"25"
"07",9,""
"08",1,"NSS"
"08",2,"NSS"
"08",3,"NSS"
"08",4,"NSS"
"08",9,""
"09",1,"NSS"
"09",2,"59"
"09",3,"1"
"09",4,"NSS"
"09",9,""
"10",1,"33"
"10",2,"17"
"10",3,"1"
"10",4,"1"
"10",9,""
"12",1,"46"
"12",2,"17"
"12",3,"5"
"12",4,"0"
"12",9,""
"13",1,"6"
"13",2,"1"
"13",3,"0"
"13",4,"0"
"13",9,""
"14",1,"0"
"14",2,"0"
"14",3,"0"
"14",4,"0"
"14",9,""
"15",1,"NSS"
"15",2,"NSS"
"15",3,"NSS"
"15",4,"NSS"
"15",9,""
"16",1,"0"
"16",2,"0"
"16",3,"0"
"16",4,"5"
"16",9,""
"17",1,"29"
"17",2,"0"
"17",3,"8"
"17",4,"2"
"17",9,""
"18",1,"0"
"18",2,"0"
"18",3,"0"
"18",4,"0"
"18",9,""
"19",1,"0"
"19",2,"0"
"19",3,"0"
"19",4,"183"
"19",9,""
"20",1,"5"
"20",2,"0"
"20",3,"0"
"20",4,"0"
"20",9,""
"21",1,"0"
"21",2,"0"
"21",3,"0"
"21",4,"3"
"21",9,""
"22",1,"20"
"22",2,"15"
"22",3,"3"
"22",4,"37"
"22",9,""
"23",1,"5"
"23",2,"2"
"23",3,"0"
"23",4,"5"
"23",9,""
"24",1,"0"
"24",2,"0"
"24",3,"0"
"24",4,"1"
"24",9,""
"25",1,"NSS"
"25",2,"NSS"
"25",3,"NSS"
"25",4,"NSS"
"25",9,""
"26",1,"0"
"26",2,"0"
"26",3,"0"
"26",4,"0"
"26",9,""
"27",1,"12"
"27",2,"0"
"27",3,"1"
"27",4,"6"
"27",9,""
"28",1,"0"
"28",2,"0"
"28",3,"0"
"28",4,"0"
"28",9,""
"29",1,"0"
"29",2,"0"
"29",3,"0"
"29",4,"0"
"29",9,""
"30",1,"3"
"30",2,"2"
"30",3,"0"
"30",4,"1"
"30",9,""
"31",1,"66"
"31",2,"2"
"31",3,"1"
"31",4,"8"
"31",9,""
"32",1,"108"
"32",2,"28"
"32",3,"1"
"32",4,"6"
"32",9,""
