entidad,tipovial,asenhuma,nom_unid,nom_enti,municipi,vialidad,nomasent,num_ext,num_int,codigopo
"05",3,7,"DEFENSORIA PUBLICA SAN PEDRO COAHUILA","COAHUILA DE ZARAGOZA","SAN PEDRO","LERDO DE TEJADA","ZONA CENTRO","149","S/N","27800"
"05",3,7,"DEFENSORIA CIVIL, FAMILIAR Y MERCANTIL.","COAHUILA DE ZARAGOZA","TORREÓN","DE LAS FUENTES CRUCE C/CALLE COMERCIANTES","LA MERCED","S/N","S/N","27276"
"05",3,16,"DEFENSORIA PUBLICA MONCLOVA","COAHUILA DE ZARAGOZA","MONCLOVA","CIUDAD DEPORTIVA","CIUDAD DEPORTIVA","1500","","25750"
"05",4,7,"DEFENSORIA PUBLICA PENAL","COAHUILA DE ZARAGOZA","SALTILLO","ISIDRO LÓPEZ ZERTUCHE","LOS MAESTROS","S/N","S/N","25236"
"05",4,16,"DEFENSORIA CIVIL Y FAMILIAR DEL EDIFICIO DEL CERESO","COAHUILA DE ZARAGOZA","TORREÓN","MEXICO","LATINOAMERICANO","S/N","S/N","27275"
"05",5,7,"DEFENSORIA PENAL","COAHUILA DE ZARAGOZA","TORREÓN","MIMBRE","VILLAS LA MERCED","S/N","S/N","27296"
"05",5,7,"DEFENSORIA PUBLICA PARRAS","COAHUILA DE ZARAGOZA","PARRAS","CAYUSO","ZONA CENTRO","107","S/N","27800"
"05",17,33,"DEFENSORIA CIVIL, FAMILIAR Y MERCANTIL","COAHUILA DE ZARAGOZA","SALTILLO","LUIS ECHEVERRIA","PARQUE METROPOLITANO","5402","S/N","25284"
"07",3,3,"SUBDIRECCION REGIONAL TAPACHULA","CHIAPAS","TAPACHULA","3A SUR PROLONGACIÓN CALZADA DEL ZAPATO","TAPACHULA","S/N","S/N","30700"
"07",3,3,"COORDINACION MATERIA PENAL ZONA COSTA","CHIAPAS","TAPACHULA","3A SUR PROLONGACIÓN CALZADA DEL ZAPATO","TAPACHULA","S/N","S/N","30700"
"07",3,3,"MODULO DE ATENCION A MIGRANTES","CHIAPAS","TAPACHULA","3A SUR PROLONGACIÓN CALZADA DEL ZAPATO","TAPACHULA","S/N","S/N","30700"
"07",17,5,"UNIDAD TECNICA PARA LOS DERECHOS DE LA MUJER","CHIAPAS","TUXTLA GUTIÉRREZ","LIBRAMIENTO NORTE ORIENTE","TUXTLA GUTIÉRREZ","2100","S/N","29047"
