entidad,autosttt,autost1,autost2,autost3,autost4,autost5,autost6,autspatt,autspa1,autspa2,autspa3,autspa4,autspa5
"01","570","520","0","50","0","0","0","0","0","0","0","0","0"
"02","3944","3396","42","108","2","0","396","4264","3922","198","0","109","35"
"03","0","0","0","0","0","0","0","423","346","22","11","10","34"
"04","675","407","185","71","12","0","0","658","224","13","0","421","0"
"05","141","83","27","2","12","0","17","1262","1050","153","7","19","33"
"06","285","171","8","1","0","0","105","0","0","0","0","0","0"
"07","787","412","2","64","0","0","309","731","467","152","20","8","84"
"08","NSS","NSS","NSS","NSS","NSS","NSS","NSS","17975","6155","1247","42","2388","8143"
"09","6531","5770","37","682","NSS","NSS","42","4244","4244","NSS","NSS","NSS","NSS"
"10","57","24","1","3","1","0","28","3517","2963","273","72","10","199"
"12","1758","811","5","100","122","4","716","248","216","24","3","3","2"
"13","987","649","22","33","235","0","48","890","604","265","0","0","21"
"14","3358","1661","8","220","1","2","1466","314","253","35","2","17","7"
"15","21","20","1","0","0","0","0","5997","5311","595","0","0","91"
"16","1009","0","46","140","2","821","0","0","0","0","0","0","0"
"17","0","0","0","0","0","0","0","593","376","92","13","5","107"
"18","1205","564","5","77","1","4","554","1051","945","46","13","16","31"
"19","149","102","0","47","0","0","0","0","0","0","0","0","0"
"20","327","303","0","19","1","0","4","1164","716","18","22","408","0"
"21","1770","1019","7","98","1","0","645","873","577","137","8","13","138"
"22","609","420","38","20","2","0","129","573","542","21","5","0","5"
"23","434","164","0","105","1","0","164","574","480","49","5","5","35"
"24","594","414","38","142","NSS","NSS","NSS","328","264","40","10","5","9"
"25","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","3334","2906","39","387","2","0","0","865","829","25","1","4","6"
"27","41","35","0","1","0","4","1","793","681","112","0","0","0"
"28","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"29","384","196","4","35","3","0","146","148","101","33","0","0","14"
"30","1258","694","20","219","12","0","313","832","578","129","6","1","118"
"31","160","121","2","19","0","0","18","670","551","59","11","3","46"
"32","NSS","NSS","NSS","NSS","NSS","NSS","NSS","960","730","97","6","9","118"
