entidad,tipacdet,totalca1
"01",1,"3530"
"01",2,"3947"
"01",3,"7477"
"01",9,""
"02",1,"4283"
"02",2,"37961"
"02",3,"42244"
"02",9,""
"03",1,"28453"
"03",2,"4081"
"03",3,"32534"
"03",9,""
"04",1,"131"
"04",2,"1250"
"04",3,"1381"
"04",9,""
"05",1,"3384"
"05",2,"26447"
"05",3,"29831"
"05",9,""
"06",1,"2435"
"06",2,"8442"
"06",3,"10877"
"06",9,""
"07",1,"809"
"07",2,"2243"
"07",3,"3052"
"07",9,""
"08",1,"NA"
"08",2,"23209"
"08",3,"23209"
"08",9,""
"09",1,"27992"
"09",2,"99048"
"09",3,"127040"
"09",9,""
"10",1,"370"
"10",2,"31813"
"10",3,"32183"
"10",9,""
"11",1,"13160"
"11",2,"84714"
"11",3,"97874"
"11",9,""
"12",1,"5131"
"12",2,"2554"
"12",3,"7685"
"12",9,""
"13",1,"17403"
"13",2,"7317"
"13",3,"24720"
"13",9,""
"14",1,"9066"
"14",2,"9333"
"14",3,"18399"
"14",9,""
"15",1,"NA"
"15",2,"153762"
"15",3,"153762"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",9,""
"17",1,"87"
"17",2,"16796"
"17",3,"16883"
"17",9,""
"18",1,"2925"
"18",2,"1656"
"18",3,"4581"
"18",9,""
"19",1,"92"
"19",2,"48011"
"19",3,"48103"
"19",9,""
"20",1,"7585"
"20",2,"7368"
"20",3,"14953"
"20",9,""
"21",1,"37788"
"21",2,"NSS"
"21",3,"37788"
"21",9,""
"22",1,"9820"
"22",2,"29832"
"22",3,"39652"
"22",9,""
"23",1,"262"
"23",2,"4326"
"23",3,"4588"
"23",9,""
"24",1,"23176"
"24",2,"5360"
"24",3,"28536"
"24",9,""
"25",1,"15385"
"25",2,"4922"
"25",3,"20307"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",9,""
"27",1,"529"
"27",2,"17509"
"27",3,"18038"
"27",9,""
"28",1,"2546"
"28",2,"17599"
"28",3,"20145"
"28",9,""
"29",1,"1324"
"29",2,"347"
"29",3,"1671"
"29",9,""
"30",1,"2563"
"30",2,"14769"
"30",3,"17332"
"30",9,""
"31",1,"0"
"31",2,"16461"
"31",3,"16461"
"31",9,""
"32",1,"213"
"32",2,"4523"
"32",3,"4736"
"32",9,""
